date_obj,Adamant%20full%20helm price
2015-03-26,1889
2015-03-27,1882
2015-03-28,1893
2015-03-29,1893
2015-03-30,1891
2015-03-31,1902
2015-04-01,1890
2015-04-02,1895
2015-04-03,1884
2015-04-04,1869
2015-04-05,1871
2015-04-06,1875
2015-04-07,1890
2015-04-08,1885
2015-04-09,1886
2015-04-10,1890
2015-04-11,1891
2015-04-12,1887
2015-04-13,1901
2015-04-14,1899
2015-04-15,1875
2015-04-16,1882
2015-04-17,1887
2015-04-18,1883
2015-04-19,1875
2015-04-20,1886
2015-04-21,1893
2015-04-22,1876
2015-04-23,1890
2015-04-24,1893
2015-04-25,1888
2015-04-26,1898
2015-04-27,1898
2015-04-28,1896
2015-04-29,1906
2015-04-30,1906
2015-05-01,1896
2015-05-02,1907
2015-05-03,1875
2015-05-04,1881
2015-05-05,1878
2015-05-06,1875
2015-05-07,1882
2015-05-08,1892
2015-05-09,1876
2015-05-10,1865
2015-05-11,1899
2015-05-12,1888
2015-05-13,1890
2015-05-14,1890
2015-05-15,1883
2015-05-16,1879
2015-05-17,1873
2015-05-18,1873
2015-05-19,1889
2015-05-20,1909
2015-05-21,1912
2015-05-22,1923
2015-05-23,1895
2015-05-24,1883
2015-05-25,1888
2015-05-26,1886
2015-05-27,1901
2015-05-28,1910
2015-05-29,1904
2015-05-30,1918
2015-05-31,1896
2015-06-01,1909
2015-06-02,1929
2015-06-03,1920
2015-06-04,1909
2015-06-05,1916
2015-06-06,1932
2015-06-07,1933
2015-06-08,1954
2015-06-09,1934
2015-06-10,1945
2015-06-11,1928
2015-06-12,1940
2015-06-13,1934
2015-06-14,1945
2015-06-15,1944
2015-06-16,1904
2015-06-17,1942
2015-06-18,1941
2015-06-19,1944
2015-06-20,1940
2015-06-21,1937
2015-06-22,1932
2015-06-23,1914
2015-06-24,1935
2015-06-25,1944
2015-06-26,1918
2015-06-27,1914
2015-06-28,1904
2015-06-29,1908
2015-06-30,1914
2015-07-01,1898
2015-07-02,1908
2015-07-03,1921
2015-07-04,1922
2015-07-05,1913
2015-07-06,1912
2015-07-07,1911
2015-07-08,1914
2015-07-09,1939
2015-07-10,1915
2015-07-11,1903
2015-07-12,1904
2015-07-13,1904
2015-07-14,1899
2015-07-15,1897
2015-07-16,1925
2015-07-17,1898
2015-07-18,1887
2015-07-19,1875
2015-07-20,1893
2015-07-21,1901
2015-07-22,1916
2015-07-23,1923
2015-07-24,1910
2015-07-25,1901
2015-07-26,1895
2015-07-27,1890
2015-07-28,1905
2015-07-29,1917
2015-07-30,1936
2015-07-31,1938
2015-08-01,1930
2015-08-02,1916
2015-08-03,1925
2015-08-04,1932
2015-08-05,1941
2015-08-06,1938
2015-08-07,1953
2015-08-08,1951
2015-08-09,1979
2015-08-10,1977
2015-08-11,1944
2015-08-12,1925
2015-08-13,1912
2015-08-14,1914
2015-08-15,1920
2015-08-16,1902
2015-08-17,1906
2015-08-18,1902
2015-08-19,1913
2015-08-20,1928
2015-08-21,1932
2015-08-22,1914
2015-08-23,1911
2015-08-24,1910
2015-08-25,1913
2015-08-26,1924
2015-08-27,1921
2015-08-28,1930
2015-08-29,1916
2015-08-30,1905
2015-08-31,1919
2015-09-01,1912
2015-09-02,1907
2015-09-03,1938
2015-09-04,1934
2015-09-05,1933
2015-09-06,1945
