date_obj,Limestone price
2015-03-26,8296
2015-03-27,8296
2015-03-28,7888
2015-03-29,7888
2015-03-30,7498
2015-03-31,7498
2015-04-01,7498
2015-04-02,7123
2015-04-03,7123
2015-04-04,6769
2015-04-05,6769
2015-04-06,6435
2015-04-07,6435
2015-04-08,6435
2015-04-09,6125
2015-04-10,6125
2015-04-11,5823
2015-04-12,5823
2015-04-13,5823
2015-04-14,5534
2015-04-15,5534
2015-04-16,5534
2015-04-17,5257
2015-04-18,5257
2015-04-19,4997
2015-04-20,4997
2015-04-21,4997
2015-04-22,4751
2015-04-23,4751
2015-04-24,4751
2015-04-25,4513
2015-04-26,4513
2015-04-27,4290
2015-04-28,4290
2015-04-29,4290
2015-04-30,4075
2015-05-01,4075
2015-05-02,3871
2015-05-03,3871
2015-05-04,3871
2015-05-05,3684
2015-05-06,3684
2015-05-07,3500
2015-05-08,3500
2015-05-09,3327
2015-05-10,3327
2015-05-11,3327
2015-05-12,3160
2015-05-13,3160
2015-05-14,3160
2015-05-15,3002
2015-05-16,3002
2015-05-17,2859
2015-05-18,2859
2015-05-19,2859
2015-05-20,2717
2015-05-21,2717
2015-05-22,2717
2015-05-23,2589
2015-05-24,2589
2015-05-25,2464
2015-05-26,2464
2015-05-27,2464
2015-05-28,2340
2015-05-29,2340
2015-05-30,2223
2015-05-31,2223
2015-06-01,2115
2015-06-02,2115
2015-06-03,2115
2015-06-04,2028
2015-06-05,2028
2015-06-06,1926
2015-06-07,1926
2015-06-08,1830
2015-06-09,1830
2015-06-10,1738
2015-06-11,1738
2015-06-12,1738
2015-06-13,1651
2015-06-14,1651
2015-06-15,1569
2015-06-16,1569
2015-06-17,1493
2015-06-18,1493
2015-06-19,1420
2015-06-20,1420
2015-06-21,1352
2015-06-22,1352
2015-06-23,1293
2015-06-24,1293
2015-06-25,1231
2015-06-26,1231
2015-06-27,1173
2015-06-28,1173
2015-06-29,1116
2015-06-30,1116
2015-07-01,1062
2015-07-02,1062
2015-07-03,1015
2015-07-04,1015
2015-07-05,968
2015-07-06,968
2015-07-07,921
2015-07-08,921
2015-07-09,921
2015-07-10,874
2015-07-11,874
2015-07-12,874
2015-07-13,830
2015-07-14,830
