date_obj,Spade price
2015-03-26,157
2015-03-27,157
2015-03-28,156
2015-03-29,156
2015-03-30,155
2015-03-31,154
2015-04-01,161
2015-04-02,169
2015-04-03,175
2015-04-04,181
2015-04-05,186
2015-04-06,179
2015-04-07,181
2015-04-08,181
2015-04-09,178
2015-04-10,169
2015-04-11,163
2015-04-12,164
2015-04-13,167
2015-04-14,168
2015-04-15,168
2015-04-16,175
2015-04-17,181
2015-04-18,190
2015-04-19,188
2015-04-20,188
2015-04-21,184
2015-04-22,181
2015-04-23,174
2015-04-24,173
2015-04-25,166
2015-04-26,168
2015-04-27,174
2015-04-28,176
2015-04-29,176
2015-04-30,169
2015-05-01,168
2015-05-02,164
2015-05-03,164
2015-05-04,165
2015-05-05,160
2015-05-06,153
2015-05-07,154
2015-05-08,156
2015-05-09,154
2015-05-10,150
2015-05-11,150
2015-05-12,151
2015-05-13,153
2015-05-14,158
2015-05-15,162
2015-05-16,162
2015-05-17,164
2015-05-18,164
2015-05-19,159
2015-05-20,159
2015-05-21,164
2015-05-22,164
2015-05-23,161
2015-05-24,165
2015-05-25,168
2015-05-26,174
2015-05-27,176
2015-05-28,170
2015-05-29,173
2015-05-30,173
2015-05-31,165
2015-06-01,165
2015-06-02,165
2015-06-03,160
2015-06-04,157
2015-06-05,158
2015-06-06,155
2015-06-07,154
2015-06-08,152
2015-06-09,156
2015-06-10,154
2015-06-11,153
2015-06-12,153
2015-06-13,156
2015-06-14,157
2015-06-15,161
2015-06-16,165
2015-06-17,170
2015-06-18,175
2015-06-19,182
2015-06-20,185
2015-06-21,190
2015-06-22,199
2015-06-23,206
2015-06-24,213
2015-06-25,213
2015-06-26,215
2015-06-27,215
2015-06-28,219
2015-06-29,222
2015-06-30,218
2015-07-01,226
2015-07-02,226
2015-07-03,229
2015-07-04,220
2015-07-05,212
2015-07-06,218
2015-07-07,226
2015-07-08,234
2015-07-09,234
2015-07-10,234
2015-07-11,234
2015-07-12,225
2015-07-13,218
2015-07-14,215
2015-07-15,219
2015-07-16,218
2015-07-17,220
2015-07-18,230
2015-07-19,235
2015-07-20,237
2015-07-21,241
2015-07-22,245
2015-07-23,245
2015-07-24,244
2015-07-25,241
2015-07-26,235
2015-07-27,234
2015-07-28,234
2015-07-29,235
2015-07-30,237
2015-07-31,242
2015-08-01,247
2015-08-02,250
2015-08-03,248
2015-08-04,245
2015-08-05,247
2015-08-06,250
2015-08-07,247
2015-08-08,247
2015-08-09,241
2015-08-10,233
2015-08-11,224
2015-08-12,224
2015-08-13,214
2015-08-14,213
2015-08-15,219
2015-08-16,226
2015-08-17,223
2015-08-18,217
2015-08-19,226
2015-08-20,229
2015-08-21,235
2015-08-22,233
2015-08-23,227
2015-08-24,230
2015-08-25,230
2015-08-26,227
2015-08-27,224
2015-08-28,222
2015-08-29,216
2015-08-30,211
2015-08-31,211
2015-09-01,214
2015-09-02,214
2015-09-03,218
2015-09-04,213
2015-09-05,213
2015-09-06,214
2015-09-07,219
2015-09-08,225
2015-09-09,230
2015-09-10,226
2015-09-11,237
2015-09-12,245
2015-09-13,244
2015-09-14,254
2015-09-15,260
2015-09-16,260
2015-09-17,256
2015-09-18,250
2015-09-19,239
2015-09-20,232
2015-09-21,235
2015-09-22,239
2015-09-23,240
2015-09-24,240
2015-09-25,242
2015-09-27,246
2015-09-28,244
2015-09-29,236
2015-09-30,229
2015-10-05,206
2015-10-06,196
2015-10-07,198
2015-10-08,203
2015-10-09,211
2015-10-10,211
2015-10-11,213
2015-10-12,211
2015-10-13,211
2015-10-14,207
2015-10-15,214
2015-10-16,221
2015-10-17,221
2015-10-18,223
2015-10-19,233
2015-10-20,223
2015-10-22,224
2015-10-23,220
2015-10-24,216
2015-10-25,216
2015-10-26,223
2015-10-27,223
