date_obj,Steam%20rune price
2015-03-26,146
2015-03-27,146
2015-03-28,146
2015-03-29,146
2015-03-30,146
2015-03-31,146
2015-04-01,146
2015-04-02,146
2015-04-03,146
2015-04-04,146
2015-04-05,146
2015-04-06,146
2015-04-07,146
2015-04-08,146
2015-04-09,146
2015-04-10,141
2015-04-11,141
2015-04-12,141
2015-04-13,141
2015-04-14,141
2015-04-15,141
2015-04-16,141
2015-04-17,141
2015-04-18,141
2015-04-19,133
2015-04-20,133
2015-04-21,133
2015-04-22,133
2015-04-23,133
2015-04-24,133
2015-04-25,133
2015-04-26,133
2015-04-27,133
2015-04-28,133
2015-04-29,133
2015-04-30,128
2015-05-01,128
2015-05-02,128
2015-05-03,128
2015-05-04,128
2015-05-05,128
2015-05-06,128
2015-05-07,128
2015-05-08,128
2015-05-09,128
2015-05-10,128
2015-05-11,126
2015-05-12,126
2015-05-13,126
2015-05-14,126
2015-05-15,126
2015-05-16,126
2015-05-17,126
2015-05-18,126
2015-05-19,126
2015-05-20,126
2015-05-21,126
2015-05-22,126
2015-05-23,121
2015-05-24,121
2015-05-25,121
2015-05-26,121
2015-05-27,121
2015-05-28,121
2015-05-29,121
2015-05-30,121
2015-05-31,114
2015-06-01,114
2015-06-02,114
2015-06-03,114
2015-06-04,114
2015-06-05,114
2015-06-06,114
2015-06-07,114
2015-06-08,114
2015-06-09,108
2015-06-10,108
2015-06-11,108
2015-06-12,108
2015-06-13,108
2015-06-14,108
2015-06-15,108
2015-06-16,108
2015-06-17,108
2015-06-18,108
2015-06-19,102
2015-06-20,102
2015-06-21,102
2015-06-22,102
2015-06-23,102
2015-06-24,102
2015-06-25,102
2015-06-26,102
2015-06-27,102
2015-06-28,96
2015-06-29,96
2015-06-30,96
2015-07-01,96
2015-07-02,96
2015-07-03,96
2015-07-04,96
2015-07-05,96
2015-07-06,96
2015-07-07,91
2015-07-08,91
2015-07-09,91
2015-07-10,91
2015-07-11,91
2015-07-12,91
2015-07-13,91
2015-07-14,91
2015-07-15,91
2015-07-16,91
2015-07-17,91
2015-07-18,91
2015-07-19,86
2015-07-20,86
2015-07-21,86
2015-07-22,86
2015-07-23,86
2015-07-24,86
2015-07-25,86
2015-07-26,86
2015-07-27,86
2015-07-28,86
2015-07-29,86
2015-07-30,81
2015-07-31,81
2015-08-01,81
2015-08-02,81
2015-08-03,81
2015-08-04,81
2015-08-05,81
2015-08-06,81
2015-08-07,81
2015-08-08,81
2015-08-09,76
2015-08-10,76
2015-08-11,76
2015-08-12,76
2015-08-13,76
2015-08-14,76
2015-08-15,76
2015-08-16,76
2015-08-17,76
2015-08-18,76
2015-08-19,76
2015-08-20,76
2015-08-21,76
2015-08-22,76
2015-08-23,76
2015-08-24,72
2015-08-25,72
2015-08-26,72
2015-08-27,72
2015-08-28,72
2015-08-29,72
2015-08-30,72
2015-08-31,72
2015-09-01,72
2015-09-02,72
2015-09-03,72
2015-09-04,72
2015-09-05,72
2015-09-06,72
2015-09-07,72
2015-09-08,72
2015-09-09,69
2015-09-10,69
2015-09-11,69
2015-09-12,69
2015-09-13,69
2015-09-14,69
2015-09-15,69
2015-09-16,69
2015-09-17,69
2015-09-18,69
2015-09-19,69
2015-09-20,69
2015-09-21,69
2015-09-22,69
2015-09-23,69
2015-09-24,69
2015-09-25,69
2015-09-27,69
2015-09-28,69
2015-09-29,69
2015-09-30,69
2015-10-05,69
2015-10-06,69
2015-10-07,69
2015-10-08,69
2015-10-09,69
2015-10-10,69
2015-10-11,69
2015-10-12,69
2015-10-13,69
2015-10-14,69
2015-10-15,69
2015-10-16,69
2015-10-17,69
2015-10-18,69
2015-10-19,69
2015-10-20,69
2015-10-22,67
2015-10-23,67
2015-10-24,67
2015-10-25,67
2015-10-26,67
2015-10-27,67
2015-10-29,67
2015-10-30,67
2015-10-31,67
2015-11-01,67
2015-11-02,67
2015-11-03,67
2015-11-04,67
2015-11-05,67
2015-11-06,67
2015-11-07,67
2015-11-08,67
2015-11-09,67
2015-11-10,67
2015-11-11,67
2015-11-12,67
2015-11-13,63
2015-11-14,63
2015-11-15,63
2015-11-16,63
2015-11-17,63
2015-11-18,63
2015-11-19,63
2015-11-20,63
2015-11-21,63
2015-11-22,63
2015-11-23,63
2015-11-24,63
2015-11-25,63
2015-11-26,63
2015-11-27,63
2015-11-28,63
2015-11-29,63
2015-11-30,63
2015-12-01,63
2015-12-02,63
2015-12-03,63
2015-12-04,63
2015-12-05,61
2015-12-06,61
2015-12-07,61
2015-12-08,61
2015-12-09,61
2015-12-10,61
2015-12-11,61
2015-12-12,61
2015-12-13,61
2015-12-14,61
2015-12-15,61
2015-12-16,61
2015-12-17,61
2015-12-18,61
2015-12-19,61
2015-12-20,61
2015-12-21,61
2015-12-22,61
2015-12-23,61
2015-12-24,61
2015-12-25,61
2015-12-26,61
2015-12-27,61
2015-12-28,61
2015-12-29,61
2015-12-30,61
2015-12-31,61
2016-01-01,61
2016-01-02,61
2016-01-03,61
2016-01-04,61
2016-01-05,61
2016-01-06,61
2016-01-07,61
2016-01-08,61
2016-01-09,61
2016-01-10,61
2016-01-11,61
2016-01-12,63
2016-01-13,63
2016-01-14,63
2016-01-15,63
2016-01-16,63
2016-01-17,63
2016-01-18,63
2016-01-19,63
2016-01-20,63
2016-01-21,63
2016-01-22,63
2016-01-23,63
2016-01-24,63
2016-01-25,63
2016-01-26,63
2016-01-27,63
2016-01-28,63
2016-01-29,64
2016-01-30,64
2016-01-31,64
2016-02-01,64
2016-02-02,64
2016-02-03,64
2016-02-04,64
2016-02-05,64
2016-02-06,64
2016-02-07,64
2016-02-08,64
2016-02-09,64
2016-02-10,64
2016-02-11,64
2016-02-12,64
2016-02-13,64
2016-02-14,64
2016-02-15,64
2016-02-16,66
2016-02-17,66
2016-02-18,66
2016-02-19,66
2016-02-20,66
2016-02-21,66
2016-02-22,66
2016-02-23,66
2016-02-24,66
2016-02-25,66
2016-02-26,66
2016-02-27,66
2016-02-28,66
2016-02-29,66
2016-03-01,66
2016-03-02,66
2016-03-03,66
2016-03-04,66
2016-03-05,68
2016-03-06,68
2016-03-07,68
2016-03-08,68
2016-03-09,68
2016-03-10,68
2016-03-11,68
2016-03-12,68
2016-03-13,68
2016-03-14,68
2016-03-15,68
2016-03-16,68
2016-03-17,68
