date_obj,Fremennik%20beige%20shirt price
2015-03-04,2000
2015-03-05,2000
2015-03-06,2000
2015-03-07,2000
2015-03-08,2000
2015-03-09,2000
2015-03-10,2000
2015-03-11,2000
2015-03-12,2000
2015-03-13,2000
2015-03-14,2000
2015-03-15,2000
2015-03-16,2000
2015-03-17,2000
2015-03-18,2000
2015-03-19,2000
2015-03-20,2000
2015-03-21,2000
2015-03-22,2000
2015-03-23,2000
2015-03-24,2000
2015-03-25,2000
2015-03-26,2000
2015-03-27,2000
2015-03-28,2000
2015-03-29,2000
2015-03-30,2000
2015-03-31,2000
2015-04-01,2000
2015-04-02,2000
2015-04-03,2000
2015-04-04,2000
2015-04-05,2000
2015-04-06,2000
2015-04-07,2000
2015-04-08,2000
2015-04-09,2000
2015-04-10,2000
2015-04-11,2000
2015-04-12,2000
2015-04-13,2000
2015-04-14,2000
2015-04-15,2000
2015-04-16,2000
2015-04-17,2000
2015-04-18,2000
2015-04-19,2000
2015-04-20,2000
2015-04-21,2000
2015-04-22,2000
2015-04-23,2000
2015-04-24,2000
2015-04-25,2000
2015-04-26,2000
2015-04-27,2000
2015-04-28,2000
2015-04-29,2000
2015-04-30,2000
2015-05-01,2000
2015-05-02,2000
2015-05-03,2000
2015-05-04,2000
2015-05-05,2000
2015-05-06,2000
2015-05-07,2000
2015-05-08,2000
2015-05-09,2000
2015-05-10,2000
2015-05-11,2000
2015-05-12,2000
2015-05-13,2000
2015-05-14,2000
2015-05-15,2000
2015-05-16,2000
2015-05-17,2018
2015-05-18,2018
2015-05-19,2018
2015-05-20,2018
2015-05-21,2018
2015-05-22,2018
2015-05-23,2018
2015-05-24,2018
2015-05-25,2018
2015-05-26,2018
2015-05-27,2018
2015-05-28,2018
2015-05-29,2018
2015-05-30,2018
2015-05-31,2018
2015-06-01,2018
2015-06-02,2018
2015-06-03,2018
2015-06-04,2018
2015-06-05,2018
2015-06-06,2018
2015-06-07,2018
2015-06-08,2018
2015-06-09,2018
2015-06-10,2018
2015-06-11,2018
2015-06-12,2018
2015-06-13,2018
2015-06-14,2018
2015-06-15,2018
2015-06-16,2018
2015-06-17,2018
2015-06-18,2018
2015-06-19,2018
2015-06-20,2018
2015-06-21,2018
2015-06-22,2018
2015-06-23,2018
2015-06-24,2018
2015-06-25,2018
2015-06-26,2018
2015-06-27,2018
2015-06-28,2018
2015-06-29,2018
2015-06-30,2018
2015-07-01,2018
2015-07-02,2018
2015-07-03,2018
2015-07-04,2018
2015-07-05,2018
2015-07-06,2018
2015-07-07,2018
2015-07-08,2018
2015-07-09,2018
2015-07-10,2018
2015-07-11,2018
2015-07-12,2018
2015-07-13,2018
2015-07-14,2018
2015-07-15,2040
2015-07-16,2040
2015-07-17,2040
2015-07-18,2040
2015-07-19,2040
2015-07-20,2040
2015-07-21,2040
2015-07-22,2040
2015-07-23,2040
2015-07-24,2040
2015-07-25,2040
2015-07-26,2040
2015-07-27,2040
2015-07-28,2040
2015-07-29,2040
2015-07-30,2040
2015-07-31,2040
2015-08-01,2040
2015-08-02,2040
2015-08-03,2040
2015-08-04,2040
2015-08-05,2040
2015-08-06,2040
2015-08-07,2040
2015-08-08,2040
2015-08-09,2040
2015-08-10,2040
2015-08-11,2040
2015-08-12,2040
2015-08-13,2040
2015-08-14,2040
2015-08-15,2040
2015-08-16,2040
2015-08-17,2040
2015-08-18,2040
2015-08-19,2040
2015-08-20,2040
2015-08-21,2040
2015-08-22,2040
2015-08-23,2040
2015-08-24,2040
2015-08-25,2040
2015-08-26,2040
2015-08-27,2040
2015-08-28,2040
2015-08-29,2040
2015-08-30,2040
2015-08-31,2040
2015-09-02,2040
2015-09-07,2068
2015-09-08,2068
2015-09-10,2068
2015-09-14,2068
2015-09-16,2068
2015-09-22,2068
2015-09-23,2068
2015-09-24,2068
2015-09-25,2068
2015-09-27,2068
2015-09-28,2068
2015-09-29,2068
2015-09-30,2068
2015-10-05,2068
2015-10-06,2068
2015-10-07,2068
2015-10-08,2068
2015-10-09,2068
2015-10-10,2068
2015-10-11,2068
2015-10-12,2068
2015-10-13,2068
2015-10-14,2068
2015-10-15,2068
2015-10-16,2068
2015-10-17,2068
2015-10-18,2068
2015-10-19,2068
2015-10-20,2068
2015-10-22,2068
2015-10-23,2068
2015-10-24,2068
2015-10-25,2027
2015-10-26,2027
2015-10-27,2027
2015-10-29,2027
2015-10-30,2027
2015-10-31,2027
2015-11-01,2027
2015-11-02,2027
2015-11-03,2027
2015-11-04,2027
2015-11-05,2027
2015-11-06,2027
2015-11-07,2027
2015-11-08,2027
2015-11-09,2027
2015-11-10,2027
2015-11-11,2027
2015-11-12,2027
2015-11-13,2027
2015-11-14,2027
2015-11-15,2027
2015-11-16,2027
2015-11-17,2027
2015-11-18,2027
2015-11-19,2027
2015-11-20,2027
2015-11-21,2027
2015-11-22,2027
2015-11-23,2027
2015-11-24,2027
2015-11-25,2027
2015-11-26,2027
2015-11-27,2027
2015-11-28,2027
2015-11-29,2027
2015-11-30,2027
2015-12-01,2027
2015-12-02,2027
2015-12-03,2027
2015-12-04,2027
2015-12-05,2027
2015-12-06,2027
2015-12-07,2027
2015-12-08,2027
2015-12-09,2027
2015-12-10,2027
2015-12-11,2027
2015-12-12,2027
2015-12-13,2027
2015-12-14,2027
2015-12-15,2027
2015-12-16,2027
2015-12-17,2027
2015-12-18,2027
2015-12-19,2027
2015-12-20,2027
2015-12-21,2027
2015-12-22,2027
2015-12-23,2027
2015-12-24,2030
2015-12-25,2030
2015-12-26,2030
2015-12-27,2030
2015-12-28,2030
2015-12-29,2030
2015-12-30,2030
2015-12-31,2030
2016-01-01,2030
2016-01-02,2030
2016-01-03,2030
2016-01-04,2030
2016-01-05,2030
2016-01-06,2030
2016-01-07,2030
2016-01-08,2030
2016-01-09,2030
2016-01-10,2030
2016-01-11,2030
2016-01-12,2030
2016-01-13,2030
2016-01-14,2030
2016-01-15,2030
2016-01-16,2030
2016-01-17,2030
2016-01-18,2030
2016-01-19,2030
2016-01-20,2030
2016-01-21,2030
2016-01-22,2030
2016-01-23,2030
2016-01-24,2030
2016-01-25,2030
2016-01-26,2030
2016-01-27,2030
2016-01-28,2030
2016-01-29,2030
2016-01-30,2030
2016-01-31,2030
2016-02-01,2030
2016-02-02,2030
2016-02-03,2030
2016-02-04,2030
2016-02-05,2030
2016-02-06,2030
2016-02-07,2030
2016-02-08,2030
2016-02-09,2030
2016-02-10,1988
2016-02-11,1988
2016-02-12,1988
2016-02-13,1988
2016-02-14,1988
2016-02-15,1988
2016-02-16,1988
2016-02-17,1988
2016-02-18,1988
2016-02-19,1988
2016-02-20,1988
2016-02-21,1988
2016-02-22,1988
2016-02-23,1988
2016-02-24,1988
2016-02-25,1988
2016-02-26,1988
2016-02-27,1988
2016-02-28,1988
2016-02-29,1988
2016-03-01,1988
2016-03-02,1988
2016-03-03,1988
2016-03-04,1988
2016-03-05,1988
2016-03-06,1988
2016-03-07,1988
2016-03-08,1988
2016-03-09,1988
2016-03-10,1988
2016-03-11,1988
2016-03-12,1988
2016-03-13,1988
2016-03-14,1988
2016-03-15,1988
2016-03-16,1988
2016-03-17,1988
2016-03-18,1988
2016-03-19,1988
2016-03-20,1988
2016-03-21,1988
2016-03-22,1988
2016-03-23,1988
2016-03-24,1988
2016-03-25,1988
2016-03-26,1988
2016-03-27,1988
2016-03-28,1988
2016-03-29,1930
2016-03-30,1930
2016-03-31,1930
2016-04-01,1930
2016-04-02,1930
2016-04-03,1930
2016-04-04,1930
2016-04-05,1930
2016-04-06,1930
2016-04-07,1930
2016-04-08,1930
2016-04-09,1930
2016-04-10,1930
2016-04-11,1930
2016-04-12,1930
2016-04-13,1930
2016-04-14,1930
2016-04-15,1930
2016-04-16,1930
2016-04-17,1930
2016-04-18,1930
2016-04-19,1930
2016-04-20,1930
2016-04-21,1930
2016-04-22,1930
2016-04-23,1930
2016-04-24,1930
2016-04-25,1930
