date_obj,Arcane%20sigil price
2015-03-26,66208399
2015-03-27,66208399
2015-03-28,66208399
2015-03-29,68878286
2015-03-30,68878286
2015-03-31,68878286
2015-04-01,68878286
2015-04-02,68878286
2015-04-03,68878286
2015-04-04,68878286
2015-04-05,71896600
2015-04-06,71896600
2015-04-07,71896600
2015-04-08,71896600
2015-04-09,71896600
2015-04-10,71896600
2015-04-11,71896600
2015-04-12,71896600
2015-04-13,74912351
2015-04-14,74912351
2015-04-15,74912351
2015-04-16,74912351
2015-04-17,74912351
2015-04-18,74912351
2015-04-19,74912351
2015-04-20,74912351
2015-04-21,74912351
2015-04-22,74912351
2015-04-23,77684779
2015-04-24,77684779
2015-04-25,77684779
2015-04-26,77684779
2015-04-27,77684779
2015-04-28,77684779
2015-04-29,77684779
2015-04-30,77684779
2015-05-01,77684779
2015-05-02,77684779
2015-05-03,77684779
2015-05-04,80739148
2015-05-05,80739148
2015-05-06,80739148
2015-05-07,80739148
2015-05-08,80739148
2015-05-09,80739148
2015-05-10,80739148
2015-05-11,80739148
2015-05-12,80739148
2015-05-13,80739148
2015-05-14,80739148
2015-05-15,80739148
2015-05-16,80739148
2015-05-17,80739148
2015-05-18,80739148
2015-05-19,80739148
2015-05-20,83980833
2015-05-21,83980833
2015-05-22,83980833
2015-05-23,83980833
2015-05-24,83980833
2015-05-25,83980833
2015-05-26,83980833
2015-05-27,83980833
2015-05-28,83980833
2015-05-29,83980833
2015-05-30,83980833
2015-05-31,83980833
2015-06-01,83980833
2015-06-02,83980833
2015-06-03,83980833
2015-06-04,83980833
2015-06-05,83980833
2015-06-06,86757009
2015-06-07,86757009
2015-06-08,86757009
2015-06-09,86757009
2015-06-10,86757009
2015-06-11,86757009
2015-06-12,86757009
2015-06-13,86757009
2015-06-14,86757009
2015-06-15,86757009
2015-06-16,86757009
2015-06-17,86757009
2015-06-18,86757009
2015-06-19,86757009
2015-06-20,86757009
2015-06-21,86757009
2015-06-22,86757009
2015-06-23,86757009
2015-06-24,86757009
2015-06-25,86757009
2015-06-26,86757009
2015-06-27,86757009
