date_obj,Steel%20set%20(sk) price
2015-03-26,16029
2015-03-27,16029
2015-03-28,16029
2015-03-29,16029
2015-03-30,16029
2015-03-31,16029
2015-04-01,16029
2015-04-02,16029
2015-04-03,16029
2015-04-04,16029
2015-04-05,16029
2015-04-06,16029
2015-04-07,16029
2015-04-08,16029
2015-04-09,16029
2015-04-10,16029
2015-04-11,15266
2015-04-12,15266
2015-04-13,15266
2015-04-14,15266
2015-04-15,15266
2015-04-16,15266
2015-04-17,15266
2015-04-18,15266
2015-04-19,15266
2015-04-20,15266
2015-04-21,15266
2015-04-22,15266
2015-04-23,15266
2015-04-24,15266
2015-04-25,15266
2015-04-26,15266
2015-04-27,14608
2015-04-28,14608
2015-04-29,14608
2015-04-30,14608
2015-05-01,14608
2015-05-02,14608
2015-05-03,14608
2015-05-04,14608
2015-05-05,14608
2015-05-06,14608
2015-05-07,14608
2015-05-08,14608
2015-05-09,14608
2015-05-10,14608
2015-05-11,14608
2015-05-12,14608
2015-05-13,14608
2015-05-14,13935
2015-05-15,13935
2015-05-16,13935
2015-05-17,13935
2015-05-18,13935
2015-05-19,13935
2015-05-20,13935
2015-05-21,13935
2015-05-22,13935
2015-05-23,13935
2015-05-24,13935
2015-05-25,13935
2015-05-26,13935
2015-05-27,13935
2015-05-28,13238
2015-05-29,13238
2015-05-30,13238
2015-05-31,13238
2015-06-01,13238
2015-06-02,13238
2015-06-03,13238
2015-06-04,13238
2015-06-05,13238
2015-06-06,13238
2015-06-07,13238
2015-06-08,13238
2015-06-09,12582
2015-06-10,12582
2015-06-11,12582
2015-06-12,12582
2015-06-13,12582
2015-06-14,12582
2015-06-15,12582
2015-06-16,12582
2015-06-17,12582
2015-06-18,12582
2015-06-19,12582
2015-06-20,11966
2015-06-21,11966
2015-06-22,11966
2015-06-23,11966
2015-06-24,11966
2015-06-25,11966
2015-06-26,11966
2015-06-27,11966
2015-06-28,11966
2015-06-29,11966
2015-06-30,11966
2015-07-01,11394
2015-07-02,11394
2015-07-03,11394
2015-07-04,11394
2015-07-05,11394
2015-07-06,11394
2015-07-07,11394
2015-07-08,11394
2015-07-09,11394
2015-07-10,11394
2015-07-11,11394
2015-07-12,11394
2015-07-13,11394
2015-07-14,11081
2015-07-15,11081
2015-07-16,11081
2015-07-17,11081
2015-07-18,11081
2015-07-19,11081
2015-07-20,11081
2015-07-21,11081
2015-07-22,11081
2015-07-23,11081
2015-07-24,11081
2015-07-25,10581
2015-07-26,10581
2015-07-27,10581
2015-07-28,10581
2015-07-29,10581
2015-07-30,10581
2015-07-31,10581
2015-08-01,10581
2015-08-02,10058
2015-08-03,10058
2015-08-04,10058
2015-08-05,10058
2015-08-06,10058
2015-08-07,10058
2015-08-08,10058
2015-08-09,10058
2015-08-10,10058
2015-08-11,9570
2015-08-12,9570
2015-08-13,9570
2015-08-14,9570
2015-08-15,9570
2015-08-16,9570
2015-08-17,9570
2015-08-18,9570
2015-08-19,9570
2015-08-20,9570
2015-08-21,9570
2015-08-22,9570
2015-08-23,9143
2015-08-24,9143
2015-08-25,9143
2015-08-26,9143
2015-08-27,9143
2015-08-28,9143
2015-08-29,9143
2015-08-30,9143
2015-08-31,9143
2015-09-01,9143
2015-09-02,8712
2015-09-03,8712
2015-09-04,8712
2015-09-05,8712
2015-09-06,8712
2015-09-07,8712
2015-09-08,8712
2015-09-09,8712
2015-09-10,8712
2015-09-11,8712
2015-09-12,8712
2015-09-13,8318
2015-09-14,8318
2015-09-15,8318
2015-09-16,8318
2015-09-17,8318
2015-09-18,8318
2015-09-19,8318
2015-09-20,8318
2015-09-21,8318
2015-09-22,8318
2015-09-23,7950
2015-09-24,7950
2015-09-25,7950
2015-09-27,7950
2015-09-28,7950
2015-09-29,7950
2015-09-30,7950
2015-10-05,7647
2015-10-06,7647
2015-10-07,7647
2015-10-08,7647
2015-10-09,7647
2015-10-10,7647
2015-10-11,7647
2015-10-12,7647
2015-10-13,7647
2015-10-14,7340
2015-10-15,7340
2015-10-16,7340
2015-10-17,7340
2015-10-18,7340
2015-10-19,7340
2015-10-20,7340
2015-10-22,6982
2015-10-23,6982
2015-10-24,6982
2015-10-25,6982
2015-10-26,6982
2015-10-27,6982
2015-10-29,6982
2015-10-30,6982
2015-10-31,6643
2015-11-01,6643
2015-11-02,6643
2015-11-03,6643
2015-11-04,6643
2015-11-05,6643
2015-11-06,6643
2015-11-07,6643
2015-11-08,6643
2015-11-09,6321
2015-11-10,6321
2015-11-11,6321
2015-11-12,6321
2015-11-13,6321
2015-11-14,6321
2015-11-15,6321
2015-11-16,6321
2015-11-17,6321
2015-11-18,6321
2015-11-19,6021
2015-11-20,6021
2015-11-21,6021
2015-11-22,6021
2015-11-23,6021
2015-11-24,6021
2015-11-25,6021
2015-11-26,6021
2015-11-27,6021
2015-11-28,5899
2015-11-29,5899
2015-11-30,5899
2015-12-01,5899
2015-12-02,5899
2015-12-03,5899
2015-12-04,5899
2015-12-05,5899
2015-12-06,5899
2015-12-07,5899
2015-12-08,5651
2015-12-09,5651
2015-12-10,5651
2015-12-11,5651
2015-12-13,5651
2015-12-14,5651
2015-12-15,5651
2015-12-16,5387
2015-12-17,5387
2015-12-18,5387
2015-12-19,5387
2015-12-20,5387
2015-12-21,5387
2015-12-22,5387
2015-12-23,5387
2015-12-24,5135
2015-12-25,5135
2015-12-26,5135
2015-12-27,5135
2015-12-28,5135
2015-12-29,5135
2015-12-30,5135
2015-12-31,5135
2016-01-01,5135
2016-01-02,4901
2016-01-03,4901
2016-01-04,4901
2016-01-05,4901
2016-01-06,4901
2016-01-07,4901
2016-01-08,4901
2016-01-09,4901
2016-01-10,4751
2016-01-11,4751
2016-01-12,4751
2016-01-13,4751
2016-01-14,4751
2016-01-15,4751
2016-01-16,4751
2016-01-17,4568
2016-01-18,4568
2016-01-19,4568
2016-01-20,4568
2016-01-21,4568
2016-01-22,4568
2016-01-23,4568
2016-01-24,4568
2016-01-25,4436
2016-01-26,4436
2016-01-27,4436
2016-01-28,4436
2016-01-29,4436
2016-01-30,4436
2016-01-31,4436
2016-02-01,4436
2016-02-02,4436
2016-02-03,4496
2016-02-04,4496
2016-02-05,4496
2016-02-06,4496
2016-02-07,4496
2016-02-08,4496
2016-02-09,4496
2016-02-10,4496
2016-02-11,4496
2016-02-12,4496
2016-02-13,4464
2016-02-14,4464
2016-02-15,4464
2016-02-16,4464
2016-02-17,4464
2016-02-18,4464
2016-02-19,4464
2016-02-20,4464
2016-02-21,4320
2016-02-22,4320
2016-02-23,4320
2016-02-24,4320
2016-02-25,4320
2016-02-26,4320
2016-02-27,4320
2016-02-28,4320
2016-02-29,4320
2016-03-01,4183
2016-03-02,4183
2016-03-03,4183
2016-03-04,4183
