date_obj,Ring%20of%203rd%20age price
2019-04-11,90000000
2019-04-11,93969379
2019-04-12,98667848
2019-04-13,103601241
2019-04-14,98962899
2019-04-15,73000000
2019-04-16,73000000
2019-04-17,69350000
2019-04-18,65882500
2019-04-19,62588375
2019-04-20,59458956
2019-04-21,56486008
2019-04-22,53661707
2019-04-23,50978621
2019-04-24,48429689
2019-04-25,46008204
2019-04-26,43707793
2019-04-27,41522403
2019-04-28,39446282
2019-04-29,37473967
2019-04-30,35600268
2019-05-01,33820254
2019-05-02,32129241
2019-05-03,30522778
2019-05-04,28996639
2019-05-05,27546807
2019-05-06,26169466
2019-05-07,24860992
2019-05-08,23617942
2019-05-09,22437044
2019-05-10,21315191
2019-05-11,20249431
2019-05-12,19236959
2019-05-13,18275111
2019-05-14,17361355
2019-05-15,16528416
2019-05-16,15701995
2019-05-17,14916895
2019-05-18,14171050
2019-05-19,13506709
2019-05-20,12831373
2019-05-21,12216471
2019-05-22,11605647
2019-05-23,11025364
2019-05-24,10474095
2019-05-25,9950390
2019-05-26,9452870
2019-05-27,8997436
2019-05-28,8948266
2019-05-29,8816171
2019-05-30,8788449
2019-05-31,8788449
2019-06-01,8732101
2019-06-02,8553104
2019-06-03,8467464
2019-06-04,8360240
2019-06-05,8425471
2019-06-06,8280253
2019-06-07,8313190
2019-06-08,8574208
2019-06-09,8994492
2019-06-10,8994492
2019-06-11,8870601
2019-06-12,8734068
2019-06-13,8623279
2019-06-14,8526061
2019-06-15,8470013
2019-06-16,8474024
2019-06-17,8542004
2019-06-18,8695235
2019-06-19,9039192
2019-06-20,9489771
2019-06-21,9911154
2019-06-22,9911154
2019-06-23,10401079
2019-06-24,10617869
2019-06-25,10742304
2019-06-26,11149949
2019-06-27,11511580
2019-06-28,11511580
2019-06-29,11517712
2019-06-30,11270793
2019-07-01,11270793
2019-07-02,11104242
2019-07-03,10687301
2019-07-04,10687301
2019-07-05,10258113
2019-07-06,9941462
2019-07-07,9631906
2019-07-08,9155235
2019-07-09,8697486
2019-07-10,8262611
2019-07-11,7910664
2019-07-12,8195135
2019-07-13,8195135
2019-07-14,8544629
2019-07-15,8922958
2019-07-16,9241144
2019-07-17,9137819
2019-07-18,8777949
2019-07-19,8548295
2019-07-20,8487563
2019-07-21,8281153
2019-07-22,8093477
2019-07-23,7858173
2019-07-24,7858173
2019-07-25,7494949
2019-07-26,7120201
2019-07-27,6764190
2019-07-28,6425980
2019-07-29,6129669
2019-07-30,6017941
