date_obj,Berserker%20necklace%20ornament%20kit price
2019-04-11,200000
2019-04-11,210000
2019-04-12,220500
2019-04-13,231525
2019-04-14,243102
2019-04-15,550000
2019-04-16,550000
2019-04-17,525633
2019-04-18,499366
2019-04-19,476305
2019-04-20,452489
2019-04-21,429864
2019-04-22,408370
2019-04-23,387951
2019-04-24,368553
2019-04-25,350125
2019-04-26,332618
2019-04-27,315987
2019-04-28,300187
2019-04-29,285177
2019-04-30,270918
2019-05-01,257372
2019-05-02,244503
2019-05-03,232277
2019-05-04,220663
2019-05-05,209629
2019-05-06,199147
2019-05-07,189189
2019-05-08,179729
2019-05-09,170742
2019-05-10,162204
2019-05-11,154093
2019-05-12,146388
2019-05-13,139068
2019-05-14,132114
2019-05-15,125508
2019-05-16,119232
2019-05-17,113270
2019-05-18,107606
2019-05-19,102225
2019-05-20,97113
2019-05-21,92257
2019-05-22,87644
2019-05-23,83261
2019-05-24,79097
2019-05-25,75142
2019-05-26,71384
2019-05-27,67814
2019-05-28,64423
2019-05-29,61201
2019-05-30,58140
2019-05-31,55233
2019-06-01,52471
2019-06-02,49847
2019-06-03,47584
2019-06-04,45204
2019-06-05,42944
2019-06-06,40796
2019-06-07,38762
2019-06-08,37049
2019-06-09,35196
2019-06-10,34196
2019-06-11,32507
2019-06-12,30881
2019-06-13,29336
2019-06-14,27937
2019-06-15,26540
2019-06-16,25213
2019-06-17,24134
2019-06-18,22927
2019-06-19,22079
2019-06-20,21124
2019-06-21,20067
2019-06-22,19083
2019-06-23,18523
2019-06-24,18238
2019-06-25,17863
2019-06-26,17710
2019-06-27,18082
2019-06-28,18985
2019-06-29,19928
2019-06-30,20925
2019-07-01,21959
2019-07-02,23038
2019-07-03,24180
2019-07-04,24753
2019-07-05,23550
2019-07-06,22886
2019-07-07,22472
2019-07-08,21725
2019-07-09,21760
2019-07-10,21281
2019-07-11,20315
2019-07-12,19765
2019-07-13,19765
2019-07-14,19944
2019-07-15,20535
2019-07-16,20340
2019-07-17,20494
2019-07-18,19982
2019-07-19,20289
2019-07-20,19946
2019-07-21,19578
2019-07-22,19440
2019-07-23,19338
2019-07-24,18653
2019-07-25,18154
2019-07-26,18909
2019-07-27,18087
2019-07-28,17433
2019-07-29,17382
2019-07-30,16891
2019-07-31,16707
2019-08-01,16212
2019-08-02,15736
2019-08-03,15095
2019-08-04,14519
2019-08-05,13883
2019-08-06,13599
2019-08-07,13113
2019-08-08,13055
2019-08-09,12876
2019-08-10,13079
2019-08-11,13347
2019-08-12,13156
2019-08-13,13220
2019-08-14,13701
2019-08-15,13784
2019-08-16,14014
2019-08-17,14014
2019-08-18,14111
2019-08-19,13589
2019-08-20,13844
2019-08-21,13934
2019-08-22,14276
2019-08-23,14525
2019-08-24,14475
2019-08-24,14475
2019-08-25,14840
2019-08-25,14840
2019-08-26,14848
2019-08-26,14848
2019-08-27,15027
2019-08-27,15027
2019-08-28,15019
2019-08-29,14918
2019-08-30,15005
2019-08-31,15005
