date_obj,Serpentine%20visage price
2015-03-26,4520324
2015-03-27,4307379
2015-03-28,4307379
2015-03-29,4307379
2015-03-30,4307379
2015-03-31,4104868
2015-04-01,4104868
2015-04-02,4104868
2015-04-03,4104868
2015-04-04,3911891
2015-04-05,3911891
2015-04-06,3911891
2015-04-07,3911891
2015-04-08,3911891
2015-04-09,3723282
2015-04-10,3723282
2015-04-11,3723282
2015-04-12,3723282
2015-04-13,3543890
2015-04-14,3543890
2015-04-15,3543890
2015-04-16,3543890
2015-04-17,3380189
2015-04-18,3380189
2015-04-19,3380189
2015-04-20,3380189
2015-04-21,3214591
2015-04-22,3214591
2015-04-23,3214591
2015-04-24,3214591
2015-04-25,3214591
2015-04-26,3060727
2015-04-27,3060727
2015-04-28,3060727
2015-04-29,3060727
2015-04-30,2932368
2015-05-01,2932368
2015-05-02,2932368
2015-05-03,2932368
2015-05-04,2790489
2015-05-05,2790489
2015-05-06,2790489
2015-05-07,2790489
2015-05-08,2790489
2015-05-09,2655172
2015-05-10,2655172
2015-05-11,2655172
2015-05-12,2655172
2015-05-13,2655172
2015-05-14,2524377
2015-05-15,2524377
2015-05-16,2524377
2015-05-17,2524377
2015-05-18,2524377
2015-05-19,2401736
2015-05-20,2401736
2015-05-21,2401736
2015-05-22,2401736
2015-05-23,2401736
2015-05-24,2283693
2015-05-25,2283693
2015-05-26,2283693
2015-05-27,2283693
2015-05-28,2169508
2015-05-29,2169508
2015-05-30,2063288
2015-05-31,2063288
2015-06-01,1963988
2015-06-02,1963988
2015-06-03,1867750
2015-06-04,1776217
2015-06-05,1776217
2015-06-06,1687406
2015-06-07,1687406
2015-06-08,1603506
2015-06-09,1603506
2015-06-10,1523999
2015-06-11,1523999
2015-06-12,1523999
2015-06-13,1449404
2015-06-14,1449404
2015-06-15,1449404
2015-06-16,1377485
2015-06-17,1377485
2015-06-18,1309777
2015-06-19,1309777
2015-06-20,1244288
2015-06-21,1244288
2015-06-22,1182859
2015-06-23,1182859
2015-06-24,1125198
2015-06-25,1125198
2015-06-26,1068938
2015-06-27,1068938
2015-06-28,1016092
2015-06-29,1016092
2015-06-30,1016092
2015-07-01,966215
2015-07-02,966215
2015-07-03,966215
2015-07-04,917904
2015-07-05,917904
2015-07-06,917904
