date_obj,Te%20salt price
2018-09-05,100
2018-09-06,105
2018-09-07,111
2018-09-08,117
2018-09-09,123
2018-09-10,130
2018-09-11,137
2018-09-12,144
2018-09-13,151
2018-09-14,157
2018-09-15,165
2018-09-16,169
2018-09-17,173
2018-09-18,170
2018-09-19,175
2018-09-20,181
2018-09-21,176
2018-09-22,173
2018-09-23,168
2018-09-24,159
2018-09-25,151
2018-09-26,146
2018-09-27,151
2018-09-28,157
2018-09-29,152
2018-09-30,156
2018-10-02,161
2018-10-03,167
2018-10-04,173
2018-10-05,179
2018-10-06,182
2018-10-07,188
2018-10-08,192
2018-10-09,196
2018-10-10,189
2018-10-11,180
2018-10-12,171
2018-10-13,168
2018-10-14,175
2018-10-15,182
2018-10-16,175
2018-10-17,170
2018-10-18,162
2018-10-19,154
2018-10-20,159
2018-10-21,162
2018-10-22,162
2018-10-23,167
2018-10-24,160
2018-10-25,154
2018-10-26,149
2018-10-27,142
2018-10-28,137
2018-10-29,134
2018-10-30,127
2018-10-31,121
2018-11-01,118
2018-11-03,123
2018-11-04,127
2018-11-05,127
2018-11-06,128
2018-11-07,131
2018-11-08,137
2018-11-09,144
2018-11-10,150
2018-11-11,157
2018-11-12,161
2018-11-13,161
2018-11-14,156
2018-11-15,158
2018-11-16,158
2018-11-17,160
2018-11-18,158
2018-11-19,151
2018-11-20,144
2018-11-21,141
2018-11-22,135
2018-11-23,128
2018-11-24,122
2018-11-25,116
2018-11-26,110
2018-11-27,104
2018-11-28,98
2018-11-29,93
2018-12-01,89
2018-12-02,85
2018-12-03,85
2018-12-04,86
2018-12-05,89
2018-12-07,90
2018-12-09,94
2018-12-10,99
2018-12-11,104
2018-12-12,108
2018-12-13,109
2018-12-14,113
2018-12-15,118
2018-12-16,120
2018-12-17,118
2018-12-18,123
2018-12-19,130
2018-12-20,135
2018-12-21,134
2018-12-22,135
2018-12-23,135
2018-12-24,138
2018-12-25,137
2018-12-26,136
2018-12-27,134
2018-12-28,130
2018-12-29,128
2018-12-30,127
2018-12-31,127
2019-01-01,125
2019-01-02,123
2019-01-03,126
2019-01-04,128
2019-01-05,127
2019-01-06,130
2019-01-08,129
2019-01-10,128
2019-01-11,131
2019-01-12,133
2019-01-13,134
2019-01-14,134
2019-01-15,135
2019-01-16,134
2019-01-17,137
2019-01-18,140
2019-01-19,138
2019-01-20,138
2019-01-21,135
2019-01-22,135
2019-01-23,137
2019-01-24,142
2019-01-25,138
2019-01-26,134
2019-01-27,128
2019-01-28,125
2019-01-29,125
2019-01-30,126
2019-01-31,123
2019-02-01,119
2019-02-02,113
2019-02-03,107
2019-02-04,101
2019-02-05,95
2019-02-06,91
2019-02-07,89
2019-02-08,87
2019-02-09,89
2019-02-10,87
2019-02-11,86
2019-02-12,82
2019-02-13,83
2019-02-14,80
2019-02-15,77
2019-02-16,75
2019-02-17,71
2019-02-18,69
2019-02-19,65
2019-02-20,64
2019-02-21,67
2019-02-22,71
2019-02-23,72
2019-02-24,74
2019-02-25,72
2019-02-26,75
2019-02-27,79
2019-02-28,81
2019-03-01,82
2019-03-02,78
2019-03-03,74
2019-03-04,70
2019-03-05,68
2019-03-06,68
2019-03-07,69
2019-03-08,69
2019-03-09,65
2019-03-10,66
2019-03-11,68
2019-03-12,72
2019-03-13,72
2019-03-14,76
2019-03-15,80
2019-03-16,84
2019-03-17,88
2019-03-18,92
2019-03-19,96
2019-03-20,100
2019-03-21,104
2019-03-22,107
2019-03-23,107
2019-03-24,107
2019-03-25,107
2019-03-26,104
2019-03-27,103
2019-03-28,99
2019-03-29,97
2019-03-30,97
2019-03-31,98
2019-04-01,102
2019-04-02,106
2019-04-03,111
2019-04-04,111
2019-04-05,107
2019-04-06,103
2019-04-07,103
2019-04-08,104
2019-04-09,100
2019-04-10,99
2019-04-11,96
2019-04-12,94
2019-04-13,94
2019-04-14,94
2019-04-15,94
2019-04-16,95
2019-04-17,98
2019-04-18,101
2019-04-19,99
2019-04-20,98
2019-04-21,97
2019-04-22,98
2019-04-23,98
2019-04-24,98
2019-04-25,96
2019-04-26,96
2019-04-27,98
2019-04-28,101
2019-04-29,99
2019-04-30,97
2019-05-01,94
2019-05-02,93
2019-05-03,94
2019-05-04,97
2019-05-05,100
2019-05-06,103
2019-05-07,106
2019-05-08,109
2019-05-09,104
2019-05-10,99
2019-05-11,97
2019-05-12,98
2019-05-13,98
2019-05-14,97
2019-05-15,93
2019-05-16,92
2019-05-17,93
2019-05-18,94
2019-05-19,94
2019-05-20,94
2019-05-21,94
2019-05-22,91
2019-05-23,90
2019-05-24,90
2019-05-25,91
2019-05-26,90
2019-05-27,91
2019-05-28,90
2019-05-29,90
2019-05-30,90
2019-05-31,88
2019-06-01,91
2019-06-02,90
2019-06-03,89
2019-06-04,89
2019-06-05,86
2019-06-06,87
2019-06-07,85
2019-06-08,84
2019-06-09,85
2019-06-10,85
2019-06-11,87
2019-06-12,89
2019-06-13,87
2019-06-14,87
2019-06-15,86
2019-06-16,86
2019-06-17,87
2019-06-18,88
2019-06-19,87
2019-06-20,88
2019-06-21,88
2019-06-22,88
2019-06-23,88
2019-06-24,89
2019-06-25,87
2019-06-26,90
2019-06-27,89
2019-06-28,89
2019-06-29,88
2019-06-30,87
2019-07-01,88
2019-07-02,87
2019-07-03,86
2019-07-04,85
2019-07-05,83
2019-07-06,79
2019-07-07,75
2019-07-08,71
2019-07-09,67
2019-07-10,63
2019-07-11,60
2019-07-12,58
2019-07-13,56
2019-07-14,57
2019-07-15,57
2019-07-16,59
2019-07-17,60
2019-07-18,60
2019-07-19,57
2019-07-20,59
2019-07-21,60
2019-07-22,62
2019-07-23,62
2019-07-24,62
2019-07-25,60
2019-07-26,58
2019-07-27,57
2019-07-28,57
2019-07-29,59
2019-07-30,59
2019-07-31,59
2019-08-01,60
2019-08-02,57
2019-08-03,57
2019-08-04,55
2019-08-05,55
2019-08-06,56
2019-08-07,55
2019-08-08,57
2019-08-09,59
2019-08-10,61
2019-08-11,60
2019-08-12,59
2019-08-13,60
2019-08-14,62
2019-08-15,63
2019-08-16,63
2019-08-17,63
2019-08-18,61
2019-08-19,60
2019-08-20,60
2019-08-21,60
2019-08-22,60
2019-08-23,59
2019-08-24,62
2019-08-24,62
2019-08-25,66
2019-08-25,66
2019-08-26,70
2019-08-26,70
2019-08-27,74
2019-08-27,74
2019-08-28,74
2019-08-29,74
2019-08-30,76
2019-08-31,72
2019-09-01,70
2019-09-02,70
2019-09-03,70
2019-09-04,69
2019-09-05,69
2019-09-06,69
2019-09-07,65
2019-09-08,61
2019-09-09,57
2019-09-10,57
2019-09-11,59
2019-09-12,62
2019-09-13,64
2019-09-14,63
2019-09-15,62
2019-09-16,61
2019-09-17,63
2019-09-18,66
2019-09-19,68
2019-09-20,65
2019-09-21,64
2019-09-22,65
2019-09-23,66
2019-09-24,66
2019-09-25,63
2019-09-26,61
2019-09-27,63
2019-09-28,61
2019-09-29,64
2019-09-30,64
2019-10-01,63
2019-10-02,61
2019-10-03,60
2019-10-04,59
2019-10-05,59
2019-10-06,60
2019-10-07,60
2019-10-08,61
2019-10-09,61
2019-10-10,60
2019-10-11,59
2019-10-12,60
2019-10-13,61
2019-10-14,60
2019-10-15,60
2019-10-16,60
2019-10-17,60
2019-10-18,59
2019-10-19,60
2019-10-20,61
2019-10-21,58
2019-10-22,59
2019-10-23,61
2019-10-24,62
2019-10-25,65
2019-10-26,67
2019-10-27,70
2019-10-28,71
2019-10-29,71
2019-10-30,70
2019-10-31,66
2019-11-01,63
2019-11-02,65
2019-11-03,64
2019-11-04,63
2019-11-05,63
2019-11-06,60
2019-11-07,60
2019-11-08,59
2019-11-09,57
2019-11-10,56
2019-11-11,57
2019-11-12,59
2019-11-13,59
2019-11-14,58
2019-11-15,61
2019-11-16,62
2019-11-17,62
2019-11-18,66
2019-11-19,70
2019-11-20,74
2019-11-21,74
2019-11-22,77
2019-11-23,80
2019-11-24,83
2019-11-25,87
2019-11-26,92
2019-11-27,92
2019-11-28,97
2019-11-29,102
2019-11-30,108
2019-12-01,114
2019-12-02,120
2019-12-03,123
2019-12-04,129
2019-12-05,129
2019-12-06,123
2019-12-07,123
2019-12-08,120
2019-12-09,116
2019-12-10,115
2019-12-11,113
2019-12-12,113
2019-12-13,108
2019-12-14,108
2019-12-15,108
2019-12-16,105
2019-12-17,102
2019-12-18,99
2019-12-19,98
2019-12-20,95
2019-12-21,94
2019-12-22,93
2019-12-23,93
2019-12-24,90
2019-12-25,88
2019-12-26,88
2019-12-27,83
2019-12-28,79
2019-12-29,76
2019-12-30,74
2019-12-31,74
2020-01-01,78
2020-01-02,81
2020-01-03,85
2020-01-04,87
2020-01-05,89
2020-01-06,92
2020-01-07,93
2020-01-08,93
2020-01-09,91
2020-01-10,88
2020-01-11,88
2020-01-12,91
2020-01-13,91
2020-01-14,90
2020-01-15,95
2020-01-16,96
2020-01-17,91
2020-01-18,86
2020-01-19,81
2020-01-20,76
2020-01-21,72
2020-01-22,68
2020-01-23,69
2020-01-24,69
2020-01-25,72
2020-01-26,73
2020-01-27,74
2020-01-28,75
2020-01-29,75
2020-01-30,76
2020-01-31,77
