date_obj,Steam%20battlestaff price
2015-03-26,255817
2015-03-27,255817
2015-03-28,255817
2015-03-29,255817
2015-03-30,249142
2015-03-31,249142
2015-04-01,249142
2015-04-02,249142
2015-04-03,249957
2015-04-04,249957
2015-04-05,249957
2015-04-06,248428
2015-04-07,248428
2015-04-08,248428
2015-04-09,248428
2015-04-10,251584
2015-04-11,251584
2015-04-12,251584
2015-04-13,261192
2015-04-14,261192
2015-04-15,261192
2015-04-16,261192
2015-04-17,270515
2015-04-18,270515
2015-04-19,270515
2015-04-20,270515
2015-04-21,266713
2015-04-22,266713
2015-04-23,266713
2015-04-24,257249
2015-04-25,257249
2015-04-26,257249
2015-04-27,247078
2015-04-28,247078
2015-04-29,247078
2015-04-30,237392
2015-05-01,237392
2015-05-02,237392
2015-05-03,226133
2015-05-04,226133
2015-05-05,226133
2015-05-06,214826
2015-05-07,214826
2015-05-08,214826
2015-05-09,204084
2015-05-10,204084
2015-05-11,204084
2015-05-12,194339
2015-05-13,194339
2015-05-14,194339
2015-05-15,199438
2015-05-16,199438
2015-05-17,199438
2015-05-18,209373
2015-05-19,209373
2015-05-20,209373
2015-05-21,209373
2015-05-22,215738
2015-05-23,215738
2015-05-24,215738
2015-05-25,223553
2015-05-26,223553
2015-05-27,223553
2015-05-28,226005
2015-05-29,226005
2015-05-30,217977
2015-05-31,217977
2015-06-01,214072
2015-06-02,214072
2015-06-03,214072
2015-06-04,212686
2015-06-05,212686
2015-06-06,212770
2015-06-07,212770
2015-06-08,209146
2015-06-09,209146
2015-06-10,201203
2015-06-11,201203
2015-06-12,201203
2015-06-13,195971
2015-06-14,195971
2015-06-15,200573
2015-06-16,200573
2015-06-17,204058
2015-06-18,204058
2015-06-19,205134
2015-06-20,205134
2015-06-21,203235
2015-06-22,203235
2015-06-23,196375
2015-06-24,196375
2015-06-25,186999
2015-06-26,186999
2015-06-27,182422
2015-06-28,182422
2015-06-29,174351
2015-06-30,174351
2015-07-01,165846
2015-07-02,165846
2015-07-03,160048
2015-07-04,160048
2015-07-05,156741
2015-07-06,156741
2015-07-07,150583
2015-07-08,150583
2015-07-09,149497
2015-07-10,149497
2015-07-11,150024
2015-07-12,150024
2015-07-13,152813
2015-07-14,152813
2015-07-15,156256
2015-07-16,156256
2015-07-17,151267
2015-07-18,151267
2015-07-19,148680
2015-07-20,148680
2015-07-21,144999
2015-07-22,145097
