date_obj,Spider%20on%20stick price
2015-03-26,7000
2015-03-27,7000
2015-03-28,7000
2015-03-29,7000
2015-03-30,7000
2015-03-31,7000
2015-04-01,7000
2015-04-02,7000
2015-04-03,7000
2015-04-04,7000
2015-04-05,7000
2015-04-06,7000
2015-04-07,7000
2015-04-08,7000
2015-04-09,7000
2015-04-10,7000
2015-04-11,7000
2015-04-12,7000
2015-04-13,7000
2015-04-14,7000
2015-04-15,7000
2015-04-16,7000
2015-04-17,7000
2015-04-18,7000
2015-04-19,7000
2015-04-20,7000
2015-04-21,7000
2015-04-22,7000
2015-04-23,7000
2015-04-24,7000
2015-04-25,7000
2015-04-26,7000
2015-04-27,7000
2015-04-28,7000
2015-04-29,7000
2015-04-30,7000
2015-05-01,7000
2015-05-02,7000
2015-05-03,7000
2015-05-04,7000
2015-05-05,7000
2015-05-06,7000
2015-05-07,7000
2015-05-08,7000
2015-05-09,7000
2015-05-10,7000
2015-05-11,7000
2015-05-12,7000
2015-05-13,7000
2015-05-14,7000
2015-05-15,7000
2015-05-16,7000
2015-05-17,7000
2015-05-18,7000
2015-05-19,7000
2015-05-20,7000
2015-05-21,7000
2015-05-22,7000
2015-05-23,7000
2015-05-24,7000
2015-05-25,7000
2015-05-26,7000
2015-05-27,7000
2015-05-28,6672
2015-05-29,6672
2015-05-30,6672
2015-05-31,6672
2015-06-01,6672
2015-06-02,6672
2015-06-03,6672
2015-06-04,6672
2015-06-05,6672
2015-06-06,6672
2015-06-07,6672
2015-06-08,6672
2015-06-09,6672
2015-06-10,6672
2015-06-11,6672
2015-06-12,6672
2015-06-13,6672
2015-06-14,6672
2015-06-15,6672
2015-06-16,6672
2015-06-17,6672
2015-06-18,6672
2015-06-19,6672
2015-06-20,6672
2015-06-21,6672
2015-06-22,6672
2015-06-23,6672
2015-06-24,6672
2015-06-25,6672
2015-06-26,6672
2015-06-27,6672
2015-06-28,6672
2015-06-29,6672
2015-06-30,6672
2015-07-01,6672
2015-07-02,6672
2015-07-03,6672
2015-07-04,6672
2015-07-05,6672
2015-07-06,6672
2015-07-07,6672
2015-07-08,6672
2015-07-09,6672
2015-07-10,6672
2015-07-11,6672
2015-07-12,6672
2015-07-13,6672
2015-07-14,6672
2015-07-15,6672
2015-07-16,6672
2015-07-17,6672
2015-07-18,6672
2015-07-19,6672
2015-07-20,6672
2015-07-21,6672
2015-07-22,6672
2015-07-23,6672
2015-07-24,6672
2015-07-25,6672
2015-07-26,6672
2015-07-27,6672
2015-07-28,6672
2015-07-29,6672
2015-07-30,6672
2015-07-31,6672
2015-08-01,6672
2015-08-02,6672
2015-08-03,6672
2015-08-04,6672
2015-08-05,6672
2015-08-06,6672
2015-08-07,6672
2015-08-08,6357
2015-08-09,6357
2015-08-10,6357
2015-08-11,6357
2015-08-12,6357
2015-08-13,6357
2015-08-14,6357
2015-08-15,6357
2015-08-16,6357
2015-08-17,6357
2015-08-18,6357
2015-08-19,6357
2015-08-20,6357
2015-08-21,6357
2015-08-22,6357
2015-08-23,6357
2015-08-24,6357
2015-08-25,6357
2015-08-26,6357
2015-08-27,6357
2015-08-28,6357
2015-08-29,6357
2015-08-30,6357
2015-08-31,6357
2015-09-01,6357
2015-09-02,6357
2015-09-03,6357
2015-09-04,6357
2015-09-05,6357
2015-09-06,6357
2015-09-07,6357
2015-09-08,6357
2015-09-09,6357
2015-09-10,6357
2015-09-11,6357
2015-09-12,6357
2015-09-13,6357
2015-09-14,6357
2015-09-15,6357
2015-09-16,6357
2015-09-17,6357
2015-09-18,6357
2015-09-19,6357
2015-09-20,6357
2015-09-21,6357
2015-09-22,6357
2015-09-23,6357
2015-09-24,6357
2015-09-25,6357
2015-09-27,6357
2015-09-28,6357
2015-09-29,6357
2015-09-30,6357
2015-10-05,6357
2015-10-06,6357
2015-10-07,6357
2015-10-08,6357
2015-10-09,6357
2015-10-10,6357
2015-10-11,6357
2015-10-12,6357
2015-10-13,6357
2015-10-14,6357
2015-10-15,6357
2015-10-16,6357
2015-10-17,6357
2015-10-18,6049
2015-10-19,6049
2015-10-20,6049
2015-10-22,6049
2015-10-23,6049
2015-10-24,6049
2015-10-25,6049
2015-10-26,6049
2015-10-27,6049
2015-10-29,6049
2015-10-30,6049
2015-10-31,6049
2015-11-01,6049
2015-11-02,6049
2015-11-03,6049
2015-11-04,6049
2015-11-05,6049
2015-11-06,6049
2015-11-07,6049
2015-11-08,6049
2015-11-09,6049
2015-11-10,6049
2015-11-11,6049
2015-11-12,6049
2015-11-13,6049
2015-11-14,6049
2015-11-15,6049
2015-11-16,6049
2015-11-17,6049
2015-11-18,6049
2015-11-19,6049
2015-11-20,6049
2015-11-21,6049
2015-11-22,6049
2015-11-23,6049
2015-11-24,6049
2015-11-25,6049
2015-11-26,6049
2015-11-27,6049
2015-11-28,6049
2015-11-29,6049
2015-11-30,6049
2015-12-01,6049
2015-12-02,6049
2015-12-03,6049
2015-12-04,6049
2015-12-05,6049
2015-12-06,6049
2015-12-07,6049
2015-12-08,6049
2015-12-09,6049
2015-12-10,6049
2015-12-11,6049
2015-12-12,6049
2015-12-13,6049
2015-12-14,6049
2015-12-15,6049
2015-12-16,6049
2015-12-17,6049
2015-12-18,6049
2015-12-19,6049
2015-12-20,6049
2015-12-21,6049
2015-12-22,6049
2015-12-23,6049
2015-12-24,6049
2015-12-25,6049
2015-12-26,6049
2015-12-27,5766
2015-12-28,5766
2015-12-29,5766
2015-12-30,5766
2015-12-31,5766
2016-01-01,5766
2016-01-02,5766
2016-01-03,5766
2016-01-04,5766
2016-01-05,5766
2016-01-06,5766
2016-01-07,5766
2016-01-08,5766
2016-01-09,5766
2016-01-10,5766
2016-01-11,5766
2016-01-12,5766
2016-01-13,5766
2016-01-14,5766
2016-01-15,5766
2016-01-16,5766
2016-01-17,5766
2016-01-18,5766
2016-01-19,5766
2016-01-20,5766
2016-01-21,5766
2016-01-22,5766
2016-01-23,5766
2016-01-24,5766
2016-01-25,5766
2016-01-26,5766
2016-01-27,5766
2016-01-28,5766
2016-01-29,5766
2016-01-30,5766
2016-01-31,5766
2016-02-01,5766
2016-02-02,5766
2016-02-03,5766
2016-02-04,5766
2016-02-05,5766
2016-02-06,5766
2016-02-07,5766
2016-02-08,5492
2016-02-09,5492
2016-02-10,5492
2016-02-11,5492
2016-02-12,5492
2016-02-13,5492
2016-02-14,5492
2016-02-15,5492
2016-02-16,5492
2016-02-17,5492
2016-02-18,5492
2016-02-19,5492
2016-02-20,5492
2016-02-21,5492
2016-02-22,5492
2016-02-23,5492
2016-02-24,5492
2016-02-25,5492
2016-02-26,5492
2016-02-27,5492
2016-02-28,5492
2016-02-29,5492
2016-03-01,5492
2016-03-02,5492
2016-03-03,5492
2016-03-04,5492
2016-03-05,5492
2016-03-06,5492
2016-03-07,5492
2016-03-08,5492
2016-03-09,5492
2016-03-10,5492
2016-03-11,5492
2016-03-12,5492
2016-03-13,5492
2016-03-14,5492
2016-03-15,5492
2016-03-16,5492
2016-03-17,5492
2016-03-18,5492
2016-03-19,5492
2016-03-20,5492
2016-03-21,5492
2016-03-22,5234
2016-03-23,5234
2016-03-24,5234
2016-03-25,5234
2016-03-26,5234
2016-03-27,5234
2016-03-28,5234
2016-03-29,5234
2016-03-30,5234
2016-03-31,5234
2016-04-01,5234
2016-04-02,5234
2016-04-03,5234
2016-04-04,5234
2016-04-05,5234
2016-04-06,5234
2016-04-07,5234
2016-04-08,5234
2016-04-09,5234
2016-04-10,5234
2016-04-11,5234
2016-04-12,5234
2016-04-13,5234
2016-04-14,5234
2016-04-15,5234
2016-04-16,5234
2016-04-17,5234
2016-04-18,5234
2016-04-19,5234
2016-04-20,5234
2016-04-21,5234
2016-04-22,5234
2016-04-23,5234
2016-04-24,5234
2016-04-25,5234
2016-04-26,5234
2016-04-27,5234
2016-04-28,5234
2016-04-29,5234
2016-04-30,5234
2016-05-01,5234
2016-05-02,5234
2016-05-03,5234
2016-05-04,5052
2016-05-05,5052
2016-05-06,5052
2016-05-07,5052
2016-05-08,5052
2016-05-09,5052
2016-05-10,5052
2016-05-11,5052
2016-05-12,5052
2016-05-13,5052
2016-05-14,5052
2016-05-15,5052
2016-05-16,5052
2016-05-17,5052
2016-05-18,5052
2016-05-19,5052
2016-05-22,5052
2016-05-23,5052
2016-05-24,5052
2016-05-25,5052
2016-05-26,5052
2016-05-27,5052
2016-05-28,5052
2016-05-29,5052
2016-05-30,5052
