date_obj,Adamant%20warhammer price
2015-03-26,5264
2015-03-27,5264
2015-03-28,5013
2015-03-29,5013
2015-03-30,4772
2015-03-31,4772
2015-04-01,4544
2015-04-02,4544
2015-04-03,4327
2015-04-04,4127
2015-04-05,4127
2015-04-06,3931
2015-04-07,3931
2015-04-08,3746
2015-04-09,3746
2015-04-10,3568
2015-04-11,3568
2015-04-12,3402
2015-04-13,3402
2015-04-14,3239
2015-04-15,3239
2015-04-16,3083
2015-04-17,3083
2015-04-18,2928
2015-04-19,2928
2015-04-20,2800
2015-04-21,2800
2015-04-22,2676
2015-04-23,2676
2015-04-24,2561
2015-04-25,2561
2015-04-26,2521
2015-04-27,2521
2015-04-28,2412
2015-04-29,2412
2015-04-30,2412
2015-05-01,2306
2015-05-02,2306
2015-05-03,2306
2015-05-04,2215
2015-05-05,2215
2015-05-06,2212
2015-05-07,2212
2015-05-08,2247
2015-05-09,2247
2015-05-10,2238
2015-05-11,2238
2015-05-12,2211
2015-05-13,2211
2015-05-14,2157
2015-05-15,2157
2015-05-16,2157
2015-05-17,2219
2015-05-18,2219
2015-05-19,2219
2015-05-20,2219
2015-05-21,2219
2015-05-22,2239
2015-05-23,2239
2015-05-24,2237
2015-05-25,2237
2015-05-26,2225
2015-05-27,2225
2015-05-28,2243
2015-05-29,2243
2015-05-30,2288
2015-05-31,2288
2015-06-01,2333
2015-06-02,2333
2015-06-03,2368
2015-06-04,2368
2015-06-05,2284
2015-06-06,2284
2015-06-07,2251
2015-06-08,2251
2015-06-09,2251
2015-06-10,2259
2015-06-11,2259
2015-06-12,2189
2015-06-13,2189
2015-06-14,2237
2015-06-15,2237
2015-06-16,2291
2015-06-17,2291
2015-06-18,2295
2015-06-19,2295
2015-06-20,2240
2015-06-21,2240
2015-06-22,2294
2015-06-23,2294
2015-06-24,2239
2015-06-25,2239
2015-06-26,2230
2015-06-27,2230
2015-06-28,2277
2015-06-29,2277
2015-06-30,2294
2015-07-01,2294
2015-07-02,2273
2015-07-03,2187
2015-07-04,2187
2015-07-05,2234
2015-07-06,2234
2015-07-07,2229
2015-07-08,2229
2015-07-09,2241
2015-07-10,2241
2015-07-11,2262
2015-07-12,2262
2015-07-13,2254
2015-07-14,2254
2015-07-15,2248
2015-07-16,2248
2015-07-17,2217
2015-07-18,2217
2015-07-19,2234
2015-07-20,2234
2015-07-21,2321
2015-07-22,2240
2015-07-23,2240
2015-07-24,2327
2015-07-25,2327
2015-07-26,2289
2015-07-27,2289
2015-07-28,2285
2015-07-29,2308
2015-07-30,2308
2015-07-31,2305
2015-08-01,2305
2015-08-02,2303
2015-08-03,2303
2015-08-04,2294
2015-08-05,2294
2015-08-06,2275
2015-08-07,2275
2015-08-08,2253
2015-08-09,2253
2015-08-10,2254
2015-08-11,2254
2015-08-12,2269
2015-08-13,2269
2015-08-14,2268
2015-08-15,2268
2015-08-16,2255
2015-08-17,2255
2015-08-18,2240
2015-08-19,2240
2015-08-20,2242
2015-08-21,2242
2015-08-22,2259
2015-08-23,2259
2015-08-24,2232
2015-08-25,2232
2015-08-26,2232
2015-08-27,2236
2015-08-28,2236
2015-08-29,2252
2015-08-30,2252
2015-08-31,2243
2015-09-01,2243
2015-09-02,2238
2015-09-03,2238
2015-09-04,2244
2015-09-05,2244
2015-09-06,2287
2015-09-07,2287
2015-09-08,2263
2015-09-09,2263
2015-09-10,2214
2015-09-11,2214
2015-09-12,2226
