date_obj,Crystal%20weapon%20seed price
2015-03-26,31516
2015-03-27,31516
2015-03-28,30038
2015-03-29,30038
2015-03-30,30038
2015-03-31,28626
2015-04-01,28626
2015-04-02,28626
2015-04-03,27252
2015-04-04,27252
2015-04-05,27252
2015-04-06,25928
2015-04-07,25928
2015-04-08,25928
2015-04-09,25928
2015-04-10,24671
2015-04-11,24671
2015-04-12,24671
2015-04-13,23478
2015-04-14,23478
2015-04-15,23478
2015-04-16,22357
2015-04-17,22357
2015-04-18,22357
2015-04-19,21279
2015-04-20,21279
2015-04-21,21279
2015-04-22,20300
2015-04-23,20300
2015-04-24,20300
2015-04-25,19341
2015-04-26,19341
2015-04-27,19341
2015-04-28,18403
2015-04-29,18403
2015-04-30,18403
2015-05-01,17524
2015-05-02,17524
2015-05-03,17524
2015-05-04,17524
2015-05-05,16683
2015-05-06,16683
2015-05-07,16683
2015-05-08,15897
2015-05-09,15897
2015-05-10,15897
2015-05-11,15897
2015-05-12,15128
2015-05-13,15128
2015-05-14,15128
2015-05-15,15128
2015-05-16,14412
2015-05-17,14412
2015-05-18,14412
2015-05-19,13724
2015-05-20,13724
2015-05-21,13724
2015-05-22,13724
2015-05-23,13724
2015-05-24,13070
2015-05-25,13070
2015-05-26,13070
2015-05-27,13070
2015-05-28,12440
2015-05-29,12440
2015-05-30,11845
2015-05-31,11845
2015-06-01,11845
2015-06-02,11273
2015-06-03,11273
2015-06-04,11273
2015-06-05,10744
2015-06-06,10744
2015-06-07,10744
2015-06-08,10246
2015-06-09,10246
2015-06-10,10246
2015-06-11,9774
2015-06-12,9774
2015-06-13,9774
2015-06-14,9774
2015-06-15,9304
2015-06-16,9304
2015-06-17,9304
2015-06-18,8880
2015-06-19,8880
2015-06-20,8880
2015-06-21,8880
2015-06-22,8451
2015-06-23,8451
2015-06-24,8451
2015-06-25,8451
2015-06-26,8044
2015-06-27,8044
2015-06-28,8044
2015-06-29,8044
2015-06-30,7662
2015-07-01,7662
2015-07-02,7662
2015-07-03,7662
2015-07-04,7304
2015-07-05,7304
2015-07-06,7304
2015-07-07,7304
2015-07-08,6955
2015-07-09,6955
2015-07-10,6955
2015-07-11,6955
2015-07-12,6632
2015-07-13,6632
2015-07-14,6632
2015-07-15,6322
2015-07-16,6322
2015-07-17,6322
2015-07-18,6322
2015-07-19,6034
2015-07-20,6034
2015-07-21,6034
2015-07-22,6034
2015-07-23,5753
2015-07-24,5753
2015-07-25,5753
2015-07-26,5753
2015-07-27,5496
2015-07-28,5496
2015-07-29,5496
2015-07-30,5496
2015-07-31,5237
2015-08-01,5237
2015-08-02,5237
2015-08-03,5237
2015-08-04,4999
2015-08-05,4999
2015-08-06,4999
2015-08-07,4999
2015-08-08,4763
2015-08-09,4763
2015-08-10,4763
2015-08-11,4763
2015-08-12,4535
2015-08-13,4535
2015-08-14,4535
2015-08-15,4535
2015-08-16,4535
2015-08-17,4646
2015-08-18,4646
2015-08-19,4646
2015-08-20,4646
2015-08-21,4646
2015-08-22,4646
2015-08-23,4646
2015-08-24,4702
2015-08-25,4702
2015-08-26,4702
2015-08-27,4702
2015-08-28,4702
2015-08-29,4702
2015-08-30,4702
2015-08-31,4886
2015-09-01,4886
2015-09-02,4886
2015-09-03,4886
2015-09-04,4886
2015-09-05,4886
2015-09-06,4886
2015-09-07,4886
2015-09-08,5047
2015-09-09,5047
2015-09-10,5047
2015-09-11,5047
2015-09-12,5047
2015-09-13,5047
2015-09-14,5047
2015-09-15,4891
2015-09-16,4891
2015-09-17,4891
2015-09-18,4891
2015-09-19,4891
2015-09-20,4891
2015-09-21,4891
2015-09-22,4891
2015-09-23,4655
2015-09-24,4655
2015-09-25,4655
2015-09-27,4655
2015-09-28,4655
2015-09-29,4655
2015-09-30,4432
2015-10-05,4432
2015-10-06,4432
2015-10-07,4432
2015-10-08,4376
