date_obj,Onyx%20bolt%20tips price
2016-02-14,8412
2016-02-15,8411
2016-02-16,8445
2016-02-17,8534
2016-02-18,8529
2016-02-19,8476
2016-02-20,8447
2016-02-21,8451
2016-02-22,8614
2016-02-23,8500
2016-02-24,8537
2016-02-25,8567
2016-02-26,8400
2016-02-27,8375
2016-02-28,8420
2016-02-29,8444
2016-03-01,8423
2016-03-02,8441
2016-03-03,8492
2016-03-04,8441
2016-03-05,8435
2016-03-06,8441
2016-03-07,8433
2016-03-08,8363
2016-03-09,8418
2016-03-10,8443
2016-03-11,8459
2016-03-12,8466
2016-03-13,8405
2016-03-14,8434
2016-03-15,8452
2016-03-16,8468
2016-03-17,8499
2016-03-18,8420
2016-03-19,8459
2016-03-20,8441
2016-03-21,8429
2016-03-22,8396
2016-03-23,8472
2016-03-24,8437
2016-03-25,8379
2016-03-26,8402
2016-03-27,8401
2016-03-28,8399
2016-03-29,8441
2016-03-30,8435
2016-03-31,8434
2016-04-01,8452
2016-04-02,8467
2016-04-03,8463
2016-04-04,8421
2016-04-05,8419
2016-04-06,8412
2016-04-07,8484
2016-04-08,8499
2016-04-09,8454
2016-04-10,8458
2016-04-11,8458
2016-04-12,8478
2016-04-13,8481
2016-04-14,8466
2016-04-15,8485
2016-04-16,8450
2016-04-17,8481
2016-04-18,8471
2016-04-19,8430
2016-04-20,8476
2016-04-21,8429
2016-04-22,8431
2016-04-23,8457
2016-04-24,8475
2016-04-25,8452
2016-04-26,8419
2016-04-27,8455
2016-04-28,8454
2016-04-29,8409
2016-04-30,8427
2016-05-01,8479
2016-05-02,8470
2016-05-03,8516
2016-05-04,8533
2016-05-05,8464
2016-05-06,8468
2016-05-07,8462
2016-05-08,8523
2016-05-09,8510
2016-05-10,8443
2016-05-11,8379
2016-05-12,8386
2016-05-13,8434
2016-05-14,8458
2016-05-15,8454
2016-05-16,8504
2016-05-17,8515
2016-05-18,8496
2016-05-19,8505
2016-05-22,8544
2016-05-23,8653
2016-05-24,8657
2016-05-25,8546
2016-05-26,8567
2016-05-27,8598
2016-05-28,8588
2016-05-29,8554
2016-05-30,8571
2016-05-31,8531
2016-06-01,8569
2016-06-02,8570
2016-06-03,8551
2016-06-04,8471
2016-06-05,8450
2016-06-06,8519
2016-06-07,8502
2016-06-08,8451
2016-06-09,8493
2016-06-10,8444
2016-06-11,8463
2016-06-12,8470
2016-06-13,8477
2016-06-14,8508
2016-06-15,8570
2016-06-16,8548
2016-06-17,8507
2016-06-18,8485
2016-06-19,8495
2016-06-20,8534
2016-06-21,8560
2016-06-22,8519
2016-06-23,8534
2016-06-24,8548
2016-06-25,8568
2016-06-26,8584
2016-06-27,8590
2016-06-28,8636
2016-06-29,8613
2016-06-30,8574
2016-07-01,8613
2016-07-02,8673
2016-07-03,8707
2016-07-04,8722
2016-07-05,8731
2016-07-06,8735
2016-07-07,8515
2016-07-08,8518
2016-07-09,8513
2016-07-10,8545
2016-07-11,8474
2016-07-12,8456
2016-07-13,8498
2016-07-14,8511
2016-07-15,8435
2016-07-16,8411
2016-07-17,8436
2016-07-18,8477
2016-07-23,8501
2016-07-24,8502
2016-07-25,8525
2016-07-26,8542
2016-07-27,8571
2016-07-28,8573
2016-07-29,8576
2016-07-30,8545
2016-07-31,8491
2016-08-01,8469
2016-08-02,8494
2016-08-03,8482
2016-08-04,8491
2016-08-05,8536
2016-08-06,8515
2016-08-07,8488
2016-08-08,8527
2016-08-09,8663
2016-08-10,8605
2016-08-11,8516
2016-08-12,8469
2016-08-13,8484
2016-08-14,8499
2016-08-15,8523
2016-08-16,8507
2016-08-17,8450
2016-08-18,8440
2016-08-19,8465
2016-08-20,8500
2016-08-21,8539
2016-08-22,8500
2016-08-23,8484
2016-08-24,8528
2016-08-25,8476
