date_obj,Sapphire%20necklace price
2015-03-26,1344
2015-03-27,1344
2015-03-28,1344
2015-03-29,1278
2015-03-30,1278
2015-03-31,1278
2015-04-01,1278
2015-04-02,1219
2015-04-03,1219
2015-04-04,1219
2015-04-05,1219
2015-04-06,1160
2015-04-07,1160
2015-04-08,1160
2015-04-09,1160
2015-04-10,1160
2015-04-11,1102
2015-04-12,1102
2015-04-13,1102
2015-04-14,1102
2015-04-15,1050
2015-04-16,1050
2015-04-17,1050
2015-04-18,1050
2015-04-19,999
2015-04-20,999
2015-04-21,999
2015-04-22,999
2015-04-23,950
2015-04-24,950
2015-04-25,950
2015-04-26,950
2015-04-27,903
2015-04-28,903
2015-04-29,903
2015-04-30,903
2015-05-01,857
2015-05-02,857
2015-05-03,857
2015-05-04,814
2015-05-05,814
2015-05-06,814
2015-05-07,775
2015-05-08,775
2015-05-09,775
2015-05-10,736
2015-05-11,736
2015-05-12,736
2015-05-13,736
2015-05-14,699
2015-05-15,699
2015-05-16,699
2015-05-17,679
2015-05-18,679
2015-05-19,679
2015-05-20,679
2015-05-21,679
2015-05-22,689
2015-05-23,689
2015-05-24,689
2015-05-25,689
2015-05-26,706
2015-05-27,706
2015-05-28,706
2015-05-29,706
2015-05-30,714
2015-05-31,714
2015-06-01,714
2015-06-02,714
2015-06-03,745
2015-06-04,745
2015-06-05,745
2015-06-06,745
2015-06-07,776
2015-06-08,776
2015-06-09,776
2015-06-10,776
2015-06-11,776
2015-06-12,809
2015-06-13,809
2015-06-14,809
2015-06-15,844
2015-06-16,844
2015-06-17,844
2015-06-18,844
2015-06-19,884
2015-06-20,884
2015-06-21,884
2015-06-22,884
2015-06-23,884
2015-06-24,926
2015-06-25,926
2015-06-26,926
2015-06-27,926
2015-06-28,926
2015-06-29,970
2015-06-30,970
2015-07-01,970
2015-07-02,970
2015-07-03,1016
2015-07-04,1016
2015-07-05,1016
2015-07-06,1016
2015-07-07,1016
2015-07-08,1063
2015-07-09,1063
2015-07-10,1063
2015-07-11,1063
2015-07-12,1063
2015-07-13,1113
2015-07-14,1113
2015-07-15,1113
2015-07-16,1113
2015-07-17,1164
2015-07-18,1164
2015-07-19,1164
2015-07-20,1164
2015-07-21,1164
2015-07-22,1215
2015-07-23,1215
2015-07-24,1215
2015-07-25,1215
2015-07-26,1215
2015-07-27,1264
2015-07-28,1264
2015-07-29,1264
2015-07-30,1264
2015-07-31,1264
2015-08-01,1274
2015-08-02,1274
2015-08-03,1274
2015-08-04,1274
2015-08-05,1328
2015-08-06,1328
2015-08-07,1328
2015-08-08,1328
2015-08-09,1342
2015-08-10,1342
2015-08-11,1342
2015-08-12,1342
2015-08-13,1342
2015-08-14,1342
2015-08-15,1342
2015-08-16,1374
2015-08-17,1374
2015-08-18,1374
2015-08-19,1374
2015-08-20,1374
2015-08-21,1374
2015-08-22,1374
2015-08-23,1397
2015-08-24,1397
2015-08-25,1397
2015-08-26,1397
2015-08-27,1397
2015-08-28,1397
2015-08-29,1397
2015-08-30,1397
2015-08-31,1413
2015-09-01,1413
2015-09-02,1413
2015-09-03,1413
2015-09-04,1413
2015-09-05,1413
2015-09-06,1413
2015-09-07,1413
2015-09-08,1444
2015-09-09,1444
2015-09-10,1444
2015-09-11,1444
2015-09-12,1444
2015-09-13,1444
2015-09-14,1444
2015-09-15,1444
2015-09-16,1444
2015-09-17,1419
2015-09-18,1419
2015-09-19,1419
2015-09-20,1419
2015-09-21,1419
2015-09-22,1419
2015-09-23,1419
2015-09-24,1419
2015-09-25,1419
2015-09-27,1364
2015-09-28,1364
2015-09-29,1364
2015-09-30,1364
2015-10-05,1299
2015-10-06,1299
2015-10-07,1299
2015-10-08,1299
2015-10-09,1299
2015-10-10,1299
2015-10-11,1299
2015-10-12,1299
2015-10-13,1304
2015-10-14,1304
2015-10-15,1304
2015-10-16,1304
2015-10-17,1304
2015-10-18,1304
2015-10-19,1304
2015-10-20,1304
2015-10-22,1303
2015-10-23,1303
2015-10-24,1303
2015-10-25,1303
2015-10-26,1303
2015-10-27,1303
2015-10-29,1303
2015-10-30,1284
2015-10-31,1284
2015-11-01,1284
2015-11-02,1284
2015-11-03,1284
2015-11-04,1284
2015-11-05,1284
2015-11-06,1284
2015-11-07,1243
2015-11-08,1243
2015-11-09,1243
2015-11-10,1243
2015-11-11,1243
2015-11-12,1243
2015-11-13,1243
2015-11-14,1243
2015-11-15,1243
2015-11-16,1225
