date_obj,Studded%20body%20(g) price
2015-03-26,17024
2015-03-27,17024
2015-03-28,16911
2015-03-29,17478
2015-03-30,17456
2015-03-31,18003
2015-04-01,18003
2015-04-02,18671
2015-04-03,19212
2015-04-04,19944
2015-04-05,19944
2015-04-06,20115
2015-04-07,20135
2015-04-08,20135
2015-04-09,19591
2015-04-10,19531
2015-04-11,19845
2015-04-12,19929
2015-04-13,20253
2015-04-14,20253
2015-04-15,19994
2015-04-16,19132
2015-04-17,18526
2015-04-18,18074
2015-04-19,17843
2015-04-20,17843
2015-04-21,17721
2015-04-22,18105
2015-04-23,17823
2015-04-24,17823
2015-04-25,17446
2015-04-26,17220
2015-04-27,16963
2015-04-28,16564
2015-04-29,16564
2015-04-30,16108
2015-05-01,15637
2015-05-02,15004
2015-05-03,15004
2015-05-04,14525
2015-05-05,13921
2015-05-06,13920
2015-05-07,13857
2015-05-08,13690
2015-05-09,14098
2015-05-10,14308
2015-05-11,14308
2015-05-12,14546
2015-05-13,14731
2015-05-14,14708
2015-05-15,15246
2015-05-16,15733
2015-05-17,16082
2015-05-18,15736
2015-05-19,15426
2015-05-20,15426
2015-05-21,14855
2015-05-22,14553
2015-05-23,14367
2015-05-24,14088
2015-05-25,13713
2015-05-26,13591
2015-05-27,13628
2015-05-28,13930
2015-05-29,13911
2015-05-30,14158
2015-05-31,14158
2015-06-01,14170
2015-06-02,14170
2015-06-03,14510
2015-06-04,15162
2015-06-05,15705
2015-06-06,15822
2015-06-07,15911
2015-06-08,15911
2015-06-09,16300
2015-06-10,16992
2015-06-11,16992
2015-06-12,17754
2015-06-13,18416
2015-06-14,19133
2015-06-15,19133
2015-06-16,19709
2015-06-17,19709
2015-06-18,20358
2015-06-19,20358
2015-06-20,20273
2015-06-21,20273
2015-06-22,19959
2015-06-23,19959
2015-06-24,20568
2015-06-25,20568
2015-06-26,20546
2015-06-27,20546
2015-06-28,20945
2015-06-29,20945
2015-06-30,21322
2015-07-01,21322
2015-07-02,21508
2015-07-03,21357
2015-07-04,21357
2015-07-05,21862
2015-07-06,21862
2015-07-07,22212
2015-07-08,21529
2015-07-09,21529
2015-07-10,21101
2015-07-11,21101
2015-07-12,20664
2015-07-13,20467
2015-07-14,20903
2015-07-15,20903
2015-07-16,21007
2015-07-17,21211
2015-07-18,21211
2015-07-19,21295
2015-07-20,21762
2015-07-21,21762
2015-07-22,22289
2015-07-23,22289
2015-07-24,22648
2015-07-25,22648
2015-07-26,22595
2015-07-27,21829
2015-07-28,21829
2015-07-29,21697
2015-07-30,21697
2015-07-31,21401
2015-08-01,21564
2015-08-02,21748
2015-08-03,21748
2015-08-04,21352
2015-08-05,21339
2015-08-06,21274
2015-08-07,21274
2015-08-08,21278
2015-08-09,21193
2015-08-10,20719
2015-08-11,20444
2015-08-12,20444
2015-08-13,20135
2015-08-14,20283
2015-08-15,20283
2015-08-16,21023
2015-08-17,21045
2015-08-18,21045
2015-08-19,21162
2015-08-20,21162
2015-08-21,21642
2015-08-22,21660
2015-08-23,21660
2015-08-24,21588
2015-08-25,21588
2015-08-26,21546
2015-08-27,20972
2015-08-28,20972
2015-08-29,21005
2015-08-30,21005
2015-08-31,20565
2015-09-01,20922
2015-09-02,20922
2015-09-03,21613
2015-09-04,22281
2015-09-05,22281
2015-09-06,22829
2015-09-07,23733
2015-09-08,24582
2015-09-09,24582
2015-09-10,24675
2015-09-11,24675
2015-09-12,24121
2015-09-13,24904
2015-09-14,24904
2015-09-15,25900
2015-09-16,25900
2015-09-17,27095
2015-09-18,27095
2015-09-19,28236
2015-09-20,28236
2015-09-21,29373
2015-09-22,29373
2015-09-23,30526
2015-09-24,30526
2015-09-25,30526
2015-09-27,31596
2015-09-28,33154
2015-09-29,33154
2015-09-30,34754
2015-10-05,37798
2015-10-06,37536
2015-10-07,37536
2015-10-08,36585
2015-10-09,36022
2015-10-10,36022
2015-10-11,35682
2015-10-12,35682
2015-10-13,35504
2015-10-14,35504
2015-10-15,34970
2015-10-16,34564
2015-10-17,34564
2015-10-18,34276
2015-10-19,33429
2015-10-20,31981
2015-10-22,31344
2015-10-23,31452
2015-10-24,31452
2015-10-25,29973
2015-10-26,28673
2015-10-27,28673
2015-10-29,28024
2015-10-30,26945
2015-10-31,26416
2015-11-01,26416
2015-11-02,25288
2015-11-03,25288
2015-11-04,24736
2015-11-05,24754
2015-11-06,24754
2015-11-07,25498
2015-11-08,25498
2015-11-09,25935
2015-11-10,26052
2015-11-11,25907
2015-11-12,25907
2015-11-13,25567
2015-11-14,25567
2015-11-15,25090
2015-11-16,25090
2015-11-17,25835
2015-11-18,25835
2015-11-19,25963
2015-11-20,25643
2015-11-21,25643
2015-11-22,25784
2015-11-23,25784
2015-11-24,25653
2015-11-25,25427
2015-11-26,25427
2015-11-27,25889
2015-11-28,25889
2015-11-29,25553
2015-11-30,24782
2015-12-01,24782
2015-12-02,24416
2015-12-03,24652
2015-12-04,24652
2015-12-05,24071
2015-12-06,23824
2015-12-07,23824
2015-12-08,23852
2015-12-09,23726
2015-12-10,23726
2015-12-11,23527
2015-12-13,23758
2015-12-14,23758
2015-12-15,23493
2015-12-16,23307
2015-12-17,23307
2015-12-18,23193
2015-12-19,23193
2015-12-20,22895
2015-12-21,22705
2015-12-22,23330
2015-12-23,23476
2015-12-24,23476
2015-12-25,23589
2015-12-26,23589
2015-12-27,23493
2015-12-28,23493
2015-12-29,24234
2015-12-30,25134
2015-12-31,25819
2016-01-01,25819
2016-01-02,26243
2016-01-03,27070
2016-01-04,28004
2016-01-05,28004
2016-01-06,28763
2016-01-07,28763
2016-01-08,29908
2016-01-09,29908
2016-01-10,29510
2016-01-11,29510
2016-01-12,29452
2016-01-13,29452
2016-01-14,29578
2016-01-15,29578
2016-01-16,29211
2016-01-17,28674
2016-01-18,27967
2016-01-19,27967
2016-01-20,27398
2016-01-21,27398
2016-01-22,27300
2016-01-23,27300
2016-01-24,27263
2016-01-25,26752
2016-01-26,26752
2016-01-27,26624
2016-01-28,26624
2016-01-29,26653
2016-01-30,26653
2016-01-31,26006
2016-02-01,25723
2016-02-02,25476
2016-02-03,25361
2016-02-04,25216
2016-02-05,25216
2016-02-06,24415
2016-02-07,24415
2016-02-08,24324
2016-02-09,24324
2016-02-10,24326
2016-02-11,24326
2016-02-12,23706
2016-02-13,23140
2016-02-14,23140
2016-02-15,22988
2016-02-16,22477
2016-02-17,22476
2016-02-18,22476
2016-02-19,22546
2016-02-20,22546
2016-02-21,22879
2016-02-22,22879
2016-02-23,22957
2016-02-24,23496
2016-02-25,24314
2016-02-26,24314
2016-02-27,24667
2016-02-28,24667
2016-02-29,24700
2016-03-01,23529
2016-03-02,23542
2016-03-03,23086
2016-03-04,22990
2016-03-05,23334
2016-03-06,23810
2016-03-07,23810
2016-03-08,24112
2016-03-09,24449
2016-03-10,24322
2016-03-11,24322
2016-03-12,24595
2016-03-13,24595
2016-03-14,24765
2016-03-15,25153
2016-03-16,25538
2016-03-17,25538
2016-03-18,24923
2016-03-19,24923
2016-03-20,24425
2016-03-21,24425
2016-03-22,23960
2016-03-23,23382
2016-03-24,22956
2016-03-25,23150
2016-03-26,23631
2016-03-27,24243
2016-03-28,23996
2016-03-29,24070
2016-03-30,24070
2016-03-31,23988
2016-04-01,23555
2016-04-02,23751
2016-04-03,24296
2016-04-04,24731
2016-04-05,24731
2016-04-06,24574
2016-04-07,24606
2016-04-08,24644
2016-04-09,24424
2016-04-10,24826
2016-04-11,24826
2016-04-12,24865
2016-04-13,24865
2016-04-14,24865
2016-04-15,24643
2016-04-16,24611
2016-04-17,24056
2016-04-18,24811
2016-04-19,24811
2016-04-20,25456
2016-04-21,25456
2016-04-22,25788
2016-04-23,26324
2016-04-24,26698
2016-04-25,27354
2016-04-26,27932
2016-04-27,28603
2016-04-28,28603
2016-04-29,29033
2016-04-30,28663
2016-05-01,27685
2016-05-02,27282
2016-05-03,26590
2016-05-04,25802
2016-05-05,25404
2016-05-06,25404
2016-05-07,24911
2016-05-08,24911
2016-05-09,24362
2016-05-10,23240
2016-05-11,22260
2016-05-12,21729
2016-05-13,21231
2016-05-14,21384
2016-05-15,21861
2016-05-16,21861
2016-05-17,22860
2016-05-18,23138
2016-05-19,23138
2016-05-22,23181
2016-05-23,22875
2016-05-24,21856
2016-05-25,20845
2016-05-26,20603
2016-05-27,20351
2016-05-28,20351
2016-05-29,20179
2016-05-30,20179
2016-05-31,20803
2016-06-01,20873
2016-06-02,20888
2016-06-03,20888
2016-06-04,21254
2016-06-05,21254
2016-06-06,21524
2016-06-07,21524
2016-06-08,21922
2016-06-09,22012
2016-06-10,22030
2016-06-11,22030
2016-06-12,22048
2016-06-13,22048
2016-06-14,21803
2016-06-15,21803
2016-06-16,21362
2016-06-17,21247
2016-06-18,21247
2016-06-19,20753
2016-06-20,20545
2016-06-21,20444
2016-06-22,20383
2016-06-23,20300
2016-06-24,20300
2016-06-25,20895
2016-06-26,20895
2016-06-27,20851
2016-06-28,20850
2016-06-29,20889
2016-06-30,20997
2016-07-01,21360
2016-07-02,21360
2016-07-03,21306
2016-07-04,21089
2016-07-05,21089
2016-07-06,20566
2016-07-07,19898
2016-07-08,19363
2016-07-09,18826
2016-07-10,18413
2016-07-11,17696
2016-07-12,16851
2016-07-13,16023
2016-07-14,15314
2016-07-15,14857
2016-07-16,14486
2016-07-17,14374
2016-07-18,14084
2016-07-24,13389
2016-07-25,13453
2016-07-26,13453
2016-07-27,13336
2016-07-28,13217
2016-07-29,13007
2016-07-30,13022
2016-07-31,13022
2016-08-01,13631
2016-08-02,14020
2016-08-03,14617
2016-08-04,14617
2016-08-05,15338
2016-08-06,15338
2016-08-07,15919
2016-08-08,15919
2016-08-09,16463
2016-08-10,16790
2016-08-11,16790
2016-08-12,17533
2016-08-13,17533
2016-08-14,17861
2016-08-15,18367
2016-08-16,18407
2016-08-17,18407
2016-08-18,18433
2016-08-19,18349
2016-08-20,18184
2016-08-21,18094
2016-08-22,17595
2016-08-23,17189
2016-08-24,16934
2016-08-25,17008
2016-08-26,17008
2016-08-28,16077
2016-08-31,15699
2016-09-01,15512
2016-09-02,15512
2016-09-03,15439
2016-09-04,15484
2016-09-05,15571
2016-09-06,15704
2016-09-07,15704
2016-09-08,16083
2016-09-09,16083
2016-09-10,16380
2016-09-11,16380
2016-09-12,16748
2016-09-13,16979
2016-09-14,16979
2016-09-15,17568
2016-09-16,17568
2016-09-17,17386
2016-09-18,17105
2016-09-19,17416
2016-09-20,17416
2016-09-21,16873
2016-09-22,16648
2016-09-23,16655
2016-09-24,16655
2016-09-25,16427
2016-09-26,16427
2016-09-27,16296
2016-09-28,15609
2016-09-29,15609
2016-09-30,15421
2016-10-01,15150
2016-10-02,15150
2016-10-03,14564
2016-10-04,14968
2016-10-05,14968
2016-10-06,15178
2016-10-07,15178
2016-10-08,15556
2016-10-09,15556
2016-10-10,15783
2016-10-11,15734
2016-10-12,15734
2016-10-13,15896
2016-10-14,16036
2016-10-15,16024
2016-10-16,16351
2016-10-17,16262
2016-10-18,16262
2016-10-19,16843
2016-10-20,17559
2016-10-21,18389
2016-10-22,18389
2016-10-23,18771
2016-10-24,18909
2016-10-25,18909
2016-10-26,19225
2016-10-27,19225
2016-10-28,19718
2016-10-29,20486
2016-10-30,20486
2016-10-31,20481
2016-11-01,20481
2016-11-02,20409
2016-11-03,20409
2016-11-04,19937
2016-11-05,19937
2016-11-06,19943
2016-11-07,19943
2016-11-08,19763
2016-11-09,19408
2016-11-10,19634
2016-11-11,19634
2016-11-12,19547
2016-11-13,19547
2016-11-14,19272
2016-12-08,18416
2016-12-09,18381
2016-12-10,18381
2016-12-11,18330
2016-12-12,18330
2016-12-13,18312
2016-12-14,18273
2016-12-15,18273
2016-12-16,18221
2016-12-17,18559
2016-12-18,18559
2016-12-19,18149
2016-12-20,18700
2016-12-21,19199
2016-12-22,19199
2016-12-23,19229
2016-12-24,19229
2016-12-25,19479
2016-12-26,20334
2016-12-27,20966
2016-12-28,20966
2016-12-29,21222
2016-12-30,21222
2016-12-31,21215
2017-01-01,21215
2017-01-02,21009
2017-01-03,21009
2017-01-04,20753
2017-01-05,20753
2017-01-06,20328
2017-01-07,20307
2017-01-08,19977
2017-01-09,19764
2017-01-10,19464
2017-01-11,19087
2017-01-12,19137
2017-01-13,19137
2017-01-14,19560
2017-01-15,20405
2017-01-16,20925
2017-01-17,21106
2017-01-18,20973
2017-01-19,20973
2017-01-20,20885
2017-01-21,20502
2017-01-22,19855
2017-01-27,20983
2017-01-28,21057
2017-01-29,20893
2017-01-30,20893
2017-01-31,20881
