date_obj,Wood%20camo%20top price
2015-03-26,10000
2015-03-27,10000
2015-03-28,10000
2015-03-29,10000
2015-03-30,10000
2015-03-31,10000
2015-04-01,10000
2015-04-02,10000
2015-04-03,10000
2015-04-04,10240
2015-04-05,10240
2015-04-06,10240
2015-04-07,10240
2015-04-08,10240
2015-04-09,10240
2015-04-10,10240
2015-04-11,10240
2015-04-12,10240
2015-04-13,10240
2015-04-14,10240
2015-04-15,10240
2015-04-16,10240
2015-04-17,10240
2015-04-18,10240
2015-04-19,10240
2015-04-20,10240
2015-04-21,10240
2015-04-22,10240
2015-04-23,10240
2015-04-24,10240
2015-04-25,10240
2015-04-26,10240
2015-04-27,10240
2015-04-28,10240
2015-04-29,10240
2015-04-30,10240
2015-05-01,10240
2015-05-02,10240
2015-05-03,10240
2015-05-04,10240
2015-05-05,10240
2015-05-06,10240
2015-05-07,10240
2015-05-08,10240
2015-05-09,10240
2015-05-10,10240
2015-05-11,10412
2015-05-12,10412
2015-05-13,10412
2015-05-14,10412
2015-05-15,10412
2015-05-16,10412
2015-05-17,10412
2015-05-18,10412
2015-05-19,10412
2015-05-20,10412
2015-05-21,10412
2015-05-22,10412
2015-05-23,10412
2015-05-24,10412
2015-05-25,10412
2015-05-26,10412
2015-05-27,10412
2015-05-28,10412
2015-05-29,10412
2015-05-30,10412
2015-05-31,10412
2015-06-01,10412
2015-06-02,10412
2015-06-03,10412
2015-06-04,10412
2015-06-05,10412
2015-06-06,10412
2015-06-07,10412
2015-06-08,10412
2015-06-09,10412
2015-06-10,10412
2015-06-11,10412
2015-06-12,10412
2015-06-13,10582
2015-06-14,10582
2015-06-15,10582
2015-06-16,10582
2015-06-17,10582
2015-06-18,10582
2015-06-19,10582
2015-06-20,10582
2015-06-21,10582
2015-06-22,10582
2015-06-23,10582
2015-06-24,10582
2015-06-25,10582
2015-06-26,10582
2015-06-27,10582
2015-06-28,10582
2015-06-29,10582
2015-06-30,10582
2015-07-01,10582
2015-07-02,10582
2015-07-03,10582
2015-07-04,10582
2015-07-05,10582
2015-07-06,10582
2015-07-07,10582
2015-07-08,10582
2015-07-09,10582
2015-07-10,10582
2015-07-11,10582
2015-07-12,10582
2015-07-13,10540
2015-07-14,10540
2015-07-15,10540
2015-07-16,10540
2015-07-17,10540
2015-07-18,10540
2015-07-19,10540
2015-07-20,10540
2015-07-21,10540
2015-07-22,10540
2015-07-23,10540
2015-07-24,10540
2015-07-25,10540
2015-07-26,10540
2015-07-27,10540
2015-07-28,10540
2015-07-29,10540
2015-07-30,10540
2015-07-31,10540
2015-08-01,10540
2015-08-02,10540
2015-08-03,10540
2015-08-04,10540
2015-08-05,10540
2015-08-06,10540
2015-08-07,10540
2015-08-08,10540
2015-08-09,10540
2015-08-10,10540
2015-08-11,10475
2015-08-12,10475
2015-08-13,10475
2015-08-14,10475
2015-08-15,10475
2015-08-16,10475
2015-08-17,10475
2015-08-18,10475
2015-08-19,10475
2015-08-20,10475
2015-08-21,10475
2015-08-22,10475
2015-08-23,10475
2015-08-24,10475
2015-08-25,10475
2015-08-26,10475
2015-08-27,10475
2015-08-28,10475
2015-08-29,10475
2015-08-30,10475
2015-08-31,10475
2015-09-01,10475
2015-09-02,10475
2015-09-03,10475
2015-09-04,10475
2015-09-05,10475
2015-09-06,10475
2015-09-07,10475
2015-09-08,10475
2015-09-09,10475
2015-09-10,10475
2015-09-11,10475
2015-09-12,10475
2015-09-13,10144
2015-09-14,10144
2015-09-15,10144
2015-09-16,10144
2015-09-17,10144
2015-09-18,10144
2015-09-19,10144
2015-09-20,10144
2015-09-21,10144
2015-09-22,10144
2015-09-23,10144
2015-09-24,10144
2015-09-25,10144
2015-09-27,10144
2015-09-28,10144
2015-09-29,10144
2015-09-30,10144
2015-10-05,10144
2015-10-06,10144
2015-10-07,10144
2015-10-08,10144
2015-10-09,10144
2015-10-10,10144
2015-10-11,10144
2015-10-12,10144
2015-10-13,10144
2015-10-14,10144
2015-10-15,10144
2015-10-16,10122
2015-10-17,10122
2015-10-18,10122
2015-10-19,10122
2015-10-20,10122
2015-10-22,10122
2015-10-23,10122
2015-10-24,10122
2015-10-25,10122
2015-10-26,10122
2015-10-27,10122
2015-10-29,10122
2015-10-30,10122
2015-10-31,10122
2015-11-01,10122
2015-11-02,10122
2015-11-03,10122
2015-11-05,10122
2015-11-06,10122
2015-11-07,10122
2015-11-08,10122
2015-11-09,10122
2015-11-10,10122
2015-11-11,10122
2015-11-12,10122
2015-11-13,10122
2015-11-14,10122
2015-11-15,10122
2015-11-16,10122
2015-11-17,10122
2015-11-18,10323
2015-11-19,10323
2015-11-20,10323
2015-11-21,10323
2015-11-22,10323
2015-11-23,10323
2015-11-24,10323
2015-11-25,10323
2015-11-26,10323
2015-11-27,10323
2015-11-28,10323
2015-11-29,10323
2015-11-30,10323
2015-12-01,10323
2015-12-02,10323
2015-12-03,10323
2015-12-04,10323
2015-12-05,10323
2015-12-06,10323
2015-12-07,10323
2015-12-08,10323
2015-12-09,10323
2015-12-10,10323
2015-12-11,10323
2015-12-13,10323
2015-12-14,10323
2015-12-15,10323
2015-12-16,10323
2015-12-17,10323
2015-12-18,10293
2015-12-19,10293
2015-12-20,10293
2015-12-21,10293
2015-12-22,10293
2015-12-23,10293
2015-12-24,10293
2015-12-25,10293
2015-12-26,10293
2015-12-27,10293
2015-12-28,10293
2015-12-29,10293
2015-12-30,10293
2015-12-31,10293
2016-01-01,10293
2016-01-02,10293
2016-01-03,10293
2016-01-04,10293
2016-01-05,10293
2016-01-06,10293
2016-01-07,10293
2016-01-08,10293
2016-01-09,10293
2016-01-10,10293
2016-01-11,10293
2016-01-12,10293
2016-01-13,10293
2016-01-14,10293
2016-01-15,10293
2016-01-16,10293
2016-01-17,10312
2016-01-18,10312
2016-01-19,10312
2016-01-20,10312
2016-01-21,10312
2016-01-22,10312
2016-01-23,10312
2016-01-24,10312
2016-01-25,10312
2016-01-26,10312
2016-01-27,10312
2016-01-28,10312
2016-01-29,10312
2016-01-30,10312
2016-01-31,10312
2016-02-01,10312
2016-02-02,10312
2016-02-03,10312
2016-02-04,10312
2016-02-05,10312
2016-02-06,10312
2016-02-07,10312
2016-02-08,10312
2016-02-09,10312
2016-02-10,10312
2016-02-11,10312
2016-02-12,10312
2016-02-13,10079
2016-02-14,10079
2016-02-15,10079
2016-02-16,10079
2016-02-17,10079
2016-02-18,10079
2016-02-19,10079
2016-02-20,10079
2016-02-21,10079
2016-02-22,10079
2016-02-23,10079
2016-02-24,10079
2016-02-25,10079
2016-02-26,10079
2016-02-27,10079
2016-02-28,10079
