date_obj,Tzhaar-ket-om price
2015-03-26,177242
2015-03-27,177242
2015-03-28,181927
2015-03-29,185967
2015-03-30,192246
2015-03-31,197682
2015-04-01,197682
2015-04-02,200840
2015-04-03,205212
2015-04-04,208897
2015-04-05,208897
2015-04-06,201692
2015-04-07,200444
2015-04-08,200444
2015-04-09,195614
2015-04-10,195815
2015-04-11,194908
2015-04-12,197827
2015-04-13,198072
2015-04-14,198072
2015-04-15,194681
2015-04-16,194298
2015-04-17,196126
2015-04-18,197414
2015-04-19,195230
2015-04-20,195230
2015-04-21,195369
2015-04-22,195369
2015-04-23,195036
2015-04-24,195036
2015-04-25,193014
2015-04-26,193014
2015-04-27,196893
2015-04-28,194916
2015-04-29,194916
2015-04-30,199778
2015-05-01,198862
2015-05-02,196974
2015-05-03,196974
2015-05-04,195612
2015-05-05,197219
2015-05-06,196166
2015-05-07,195363
2015-05-08,195363
2015-05-09,193929
2015-05-10,195332
2015-05-11,195332
2015-05-12,196229
2015-05-13,196229
2015-05-14,200772
2015-05-15,200772
2015-05-16,198049
2015-05-17,196276
2015-05-18,196276
2015-05-19,196865
2015-05-20,196865
2015-05-21,200997
2015-05-22,198906
2015-05-23,198906
2015-05-24,196204
2015-05-25,201718
2015-05-26,201718
2015-05-27,207247
2015-05-28,204137
2015-05-29,197850
2015-05-30,196170
2015-05-31,196170
2015-06-01,200524
2015-06-02,200524
2015-06-03,202156
2015-06-04,202128
2015-06-05,202291
2015-06-06,206973
2015-06-07,211251
2015-06-08,208030
2015-06-09,204612
2015-06-10,202273
2015-06-11,202273
2015-06-12,199076
2015-06-13,194537
2015-06-14,190876
2015-06-15,196709
2015-06-16,202277
2015-06-17,199559
2015-06-18,202331
2015-06-19,210177
2015-06-20,206886
2015-06-21,202382
2015-06-22,197630
2015-06-23,193563
2015-06-24,186155
2015-06-25,186155
2015-06-26,190683
2015-06-27,190683
2015-06-28,192123
2015-06-29,193524
2015-06-30,196986
2015-07-01,198692
2015-07-02,198692
2015-07-03,192611
2015-07-04,191138
2015-07-05,191094
2015-07-06,196406
2015-07-07,198579
2015-07-08,205553
2015-07-09,205553
2015-07-10,215068
2015-07-11,224419
2015-07-12,219875
2015-07-13,210140
2015-07-14,203617
2015-07-15,201063
2015-07-16,207634
2015-07-17,205298
2015-07-18,201929
2015-07-19,200105
2015-07-20,196467
2015-07-21,186755
2015-07-22,184644
2015-07-23,184644
2015-07-24,189168
2015-07-25,191511
2015-07-26,196778
2015-07-27,198235
2015-07-28,199523
2015-07-29,201749
2015-07-30,202380
2015-07-31,203412
2015-08-01,203739
2015-08-02,203786
2015-08-03,203870
2015-08-04,202026
2015-08-05,204289
2015-08-06,210382
2015-08-07,201849
2015-08-08,198164
2015-08-09,202079
2015-08-10,204657
2015-08-11,198074
2015-08-12,194062
2015-08-13,197302
2015-08-14,200868
2015-08-15,200793
2015-08-16,197826
2015-08-17,198292
2015-08-18,202742
2015-08-19,196517
2015-08-20,193392
2015-08-21,191112
2015-08-22,190362
2015-08-23,193120
2015-08-24,195675
2015-08-25,195675
2015-08-26,200376
2015-08-27,197349
2015-08-28,200053
2015-08-29,199933
2015-08-30,200792
2015-08-31,200782
2015-09-01,200191
2015-09-02,200191
2015-09-03,200038
2015-09-04,197908
2015-09-05,191412
2015-09-06,185861
2015-09-07,193481
2015-09-08,200625
2015-09-09,197543
2015-09-10,195066
2015-09-11,192353
2015-09-12,190992
2015-09-13,192948
2015-09-14,194179
2015-09-15,188116
2015-09-16,181400
2015-09-17,179285
2015-09-18,179663
2015-09-19,185387
2015-09-20,187228
2015-09-21,187723
2015-09-22,189998
2015-09-23,186388
2015-09-24,181993
2015-09-25,183284
2015-09-27,174160
2015-09-28,170236
2015-09-29,175073
2015-09-30,177044
2015-10-05,178304
2015-10-06,184199
2015-10-07,186419
2015-10-08,182637
2015-10-09,181791
2015-10-10,181791
2015-10-11,183455
2015-10-12,182528
2015-10-13,182678
2015-10-14,185692
2015-10-15,180635
2015-10-16,178568
2015-10-17,178568
2015-10-18,179443
2015-10-19,180131
2015-10-20,180491
2015-10-22,175511
2015-10-23,176379
2015-10-24,182161
2015-10-25,189954
2015-10-26,192982
2015-10-27,189079
2015-10-29,186182
2015-10-30,185954
2015-10-31,182558
2015-11-01,182558
2015-11-02,187259
2015-11-03,185785
2015-11-04,187349
2015-11-05,187203
2015-11-06,185422
2015-11-07,178143
2015-11-08,175226
2015-11-09,178574
2015-11-10,184032
2015-11-11,187061
2015-11-12,189895
2015-11-13,193794
2015-11-14,191830
2015-11-15,188064
2015-11-16,186118
2015-11-17,185860
2015-11-18,183566
2015-11-19,184127
2015-11-20,191681
2015-11-21,191681
2015-11-22,193408
2015-11-23,193408
2015-11-24,193557
2015-11-25,196149
2015-11-26,196149
2015-11-27,190665
2015-11-28,191961
2015-11-29,197043
2015-11-30,203729
2015-12-01,207116
2015-12-02,208812
2015-12-03,207313
2015-12-04,207313
2015-12-05,208615
2015-12-06,209149
2015-12-07,207522
2015-12-08,208473
2015-12-09,206864
2015-12-10,197715
2015-12-11,188635
2015-12-13,190953
2015-12-14,190953
2015-12-15,196896
2015-12-16,196945
2015-12-17,201048
2015-12-18,202612
2015-12-19,204287
2015-12-20,209240
2015-12-21,209494
2015-12-22,208881
2015-12-23,209159
2015-12-24,206728
2015-12-25,207327
2015-12-26,204122
2015-12-27,204343
2015-12-28,206331
2015-12-29,198883
2015-12-30,195932
2015-12-31,194171
2016-01-01,194169
2016-01-02,188062
2016-01-03,187642
2016-01-04,186961
2016-01-05,190353
2016-01-07,194767
2016-01-08,194667
2016-01-09,196112
2016-01-10,194033
2016-01-11,191921
2016-01-12,194713
2016-01-13,192346
2016-01-14,188238
2016-01-15,190132
2016-01-16,192982
2016-01-17,194706
2016-01-18,193178
2016-01-19,195961
2016-01-20,199057
2016-01-21,198232
2016-01-22,200065
2016-01-23,195637
2016-01-24,190360
2016-01-25,187075
2016-01-26,195089
2016-01-27,201411
2016-01-28,201411
2016-01-29,200914
2016-01-30,200914
2016-01-31,208479
2016-02-01,215621
2016-02-02,207567
2016-02-03,201983
2016-02-04,198324
2016-02-05,198899
2016-02-06,197437
2016-02-07,195104
2016-02-08,197307
2016-02-09,199454
2016-02-10,196362
2016-02-11,197941
2016-02-12,196381
2016-02-13,199681
2016-02-14,198147
2016-02-15,196249
2016-02-16,195272
2016-02-17,194969
2016-02-18,197100
2016-02-19,193655
2016-02-20,190910
2016-02-21,193242
2016-02-22,193242
2016-02-23,196616
2016-02-24,205740
2016-02-25,205253
2016-02-26,205253
2016-02-27,202713
2016-02-28,200600
2016-02-29,201029
2016-03-01,211003
2016-03-02,211831
2016-03-03,207898
2016-03-04,206868
2016-03-05,204487
2016-03-06,203912
2016-03-07,205507
2016-03-08,204119
2016-03-09,201521
2016-03-10,200597
2016-03-11,199714
2016-03-12,198617
2016-03-13,200014
2016-03-14,197368
2016-03-15,200202
2016-03-16,199958
2016-03-17,198964
2016-03-18,200201
2016-03-19,199413
2016-03-20,198884
2016-03-21,199285
2016-03-22,197784
2016-03-23,198651
2016-03-24,198437
2016-03-25,199136
2016-03-26,198966
2016-03-27,196488
2016-03-28,197822
2016-03-29,196623
2016-03-30,196623
2016-03-31,194367
2016-04-01,194523
2016-04-02,193739
2016-04-03,193637
2016-04-04,196249
2016-04-05,197517
2016-04-06,202338
2016-04-07,199679
2016-04-08,202281
2016-04-09,206448
2016-04-10,205740
2016-04-11,205740
2016-04-12,202464
2016-04-13,202985
2016-04-14,200259
2016-04-15,201413
2016-04-16,199270
2016-04-17,198174
2016-04-18,196901
2016-04-19,198826
2016-04-20,198349
2016-04-21,197986
2016-04-22,197986
2016-04-23,201008
2016-04-24,203205
2016-04-25,207295
2016-04-26,205508
2016-04-27,203578
2016-04-28,201846
