date_obj,Coconut price
2015-03-26,808
2015-03-27,808
2015-03-28,830
2015-03-29,803
2015-03-30,776
2015-03-31,742
2015-04-01,730
2015-04-02,711
2015-04-03,691
2015-04-04,710
2015-04-05,718
2015-04-06,746
2015-04-07,779
2015-04-08,765
2015-04-09,777
2015-04-10,774
2015-04-11,800
2015-04-12,827
2015-04-13,839
2015-04-14,839
2015-04-15,875
2015-04-16,904
2015-04-17,950
2015-04-18,991
2015-04-19,1003
2015-04-20,953
2015-04-21,941
2015-04-22,926
2015-04-23,948
2015-04-24,975
2015-04-25,959
2015-04-26,921
2015-04-27,918
2015-04-28,939
2015-04-29,939
2015-04-30,931
2015-05-01,898
2015-05-02,858
2015-05-03,826
2015-05-04,798
2015-05-05,779
2015-05-06,772
2015-05-07,804
2015-05-08,797
2015-05-09,830
2015-05-10,850
2015-05-11,850
2015-05-12,815
2015-05-13,804
2015-05-14,809
2015-05-15,842
2015-05-16,812
2015-05-17,789
2015-05-18,765
2015-05-19,767
2015-05-20,767
2015-05-21,786
2015-05-22,791
2015-05-23,780
2015-05-24,781
2015-05-25,780
2015-05-26,793
2015-05-27,831
2015-05-28,840
2015-05-29,852
2015-05-30,875
2015-05-31,916
2015-06-01,962
2015-06-02,1010
2015-06-03,1060
2015-06-04,1113
2015-06-05,1169
2015-06-06,1211
2015-06-07,1200
2015-06-08,1239
2015-06-09,1266
2015-06-10,1207
2015-06-11,1146
2015-06-12,1113
2015-06-13,1122
2015-06-14,1082
2015-06-15,1054
2015-06-16,1020
2015-06-17,992
2015-06-18,969
2015-06-19,927
2015-06-20,912
2015-06-21,914
2015-06-22,921
2015-06-23,926
2015-06-24,914
2015-06-25,919
2015-06-26,883
2015-06-27,860
2015-06-28,824
2015-06-29,858
2015-06-30,896
2015-07-01,908
2015-07-02,894
2015-07-03,902
2015-07-04,891
2015-07-05,868
2015-07-06,840
2015-07-07,849
2015-07-08,839
2015-07-09,841
2015-07-10,836
2015-07-11,833
2015-07-12,822
2015-07-13,807
2015-07-14,797
2015-07-15,788
2015-07-16,813
2015-07-17,792
2015-07-18,754
2015-07-19,721
2015-07-20,693
2015-07-21,683
2015-07-22,671
2015-07-23,680
2015-07-24,714
2015-07-25,729
2015-07-26,722
2015-07-27,726
2015-07-28,736
2015-07-29,764
2015-07-30,759
2015-07-31,784
2015-08-01,802
2015-08-02,808
2015-08-03,814
2015-08-04,825
2015-08-05,824
2015-08-06,851
2015-08-07,829
2015-08-08,842
2015-08-09,836
2015-08-10,868
2015-08-11,859
2015-08-12,854
2015-08-13,864
2015-08-14,896
2015-08-15,920
2015-08-16,910
