date_obj,Shade%20robe%20top price
2016-01-05,1940
2016-01-06,1940
2016-01-07,1880
2016-01-08,1880
2016-01-09,1880
2016-01-10,1832
2016-01-11,1832
2016-01-12,1807
2016-01-13,1807
2016-01-14,1818
2016-01-15,1818
2016-01-16,1821
2016-01-17,1821
2016-01-18,1848
2016-01-19,1848
2016-01-20,1845
2016-01-21,1845
2016-01-22,1837
2016-01-23,1837
2016-01-24,1817
2016-01-25,1817
2016-01-26,1897
2016-01-27,1897
2016-01-28,1947
2016-01-29,1947
2016-01-30,1951
2016-01-31,1951
2016-02-01,1967
2016-02-02,1967
2016-02-03,2036
2016-02-04,2036
2016-02-05,2036
2016-02-06,2021
2016-02-07,2021
2016-02-08,1955
2016-02-09,1955
2016-02-10,1884
2016-02-11,1884
2016-02-12,1884
2016-02-13,1822
2016-02-14,1822
2016-02-15,1750
2016-02-16,1750
2016-02-17,1715
2016-02-18,1715
2016-02-19,1711
2016-02-20,1711
2016-02-21,1667
2016-02-22,1667
2016-02-23,1636
2016-02-24,1636
2016-02-25,1634
2016-02-26,1634
2016-02-27,1673
2016-02-28,1673
2016-02-29,1749
2016-03-01,1749
2016-03-02,1785
2016-03-03,1785
2016-03-04,1814
2016-03-05,1814
2016-03-06,1829
2016-03-07,1829
2016-03-08,1829
2016-03-10,1869
2016-03-11,1893
2016-03-12,1893
2016-03-13,1941
2016-03-14,1941
2016-03-15,1972
2016-03-16,1972
2016-03-17,1986
2016-03-18,1986
2016-03-19,2024
2016-03-20,2024
2016-03-21,2070
2016-03-22,2070
2016-03-23,2003
2016-03-24,2003
2016-03-25,1979
2016-03-26,1979
2016-03-27,1904
2016-03-28,1904
2016-03-29,1809
2016-03-30,1809
2016-03-31,1817
2016-04-01,1817
2016-04-02,1737
2016-04-03,1737
2016-04-04,1696
2016-04-05,1696
2016-04-06,1655
2016-04-07,1655
2016-04-08,1604
2016-04-09,1604
2016-04-10,1604
2016-04-11,1604
2016-04-12,1604
2016-04-13,1602
2016-04-14,1602
2016-04-15,1641
2016-04-16,1641
2016-04-17,1648
2016-04-18,1648
2016-04-19,1664
2016-04-20,1664
2016-04-21,1605
2016-04-22,1605
2016-04-23,1605
2016-04-24,1605
2016-04-25,1605
2016-04-26,1599
2016-04-27,1599
2016-04-28,1542
2016-04-29,1542
2016-04-30,1543
2016-05-01,1543
2016-05-02,1520
2016-05-03,1520
2016-05-04,1475
2016-05-05,1475
2016-05-06,1471
2016-05-07,1471
2016-05-08,1437
2016-05-09,1437
2016-05-10,1487
2016-05-11,1487
2016-05-12,1480
2016-05-13,1480
2016-05-14,1458
2016-05-15,1458
2016-05-16,1445
2016-05-17,1445
2016-05-18,1441
2016-05-19,1441
2016-05-22,1469
2016-05-23,1469
2016-05-24,1447
2016-05-25,1447
2016-05-26,1404
2016-05-27,1452
2016-05-28,1452
2016-05-29,1493
2016-05-30,1493
2016-05-31,1493
2016-06-01,1536
2016-06-02,1536
2016-06-03,1536
2016-06-04,1538
2016-06-05,1538
2016-06-06,1601
2016-06-07,1601
2016-06-08,1599
2016-06-09,1599
2016-06-10,1598
2016-06-11,1598
2016-06-12,1582
2016-06-13,1582
2016-06-14,1591
2016-06-15,1591
2016-06-16,1572
2016-06-17,1548
2016-06-18,1548
2016-06-19,1507
2016-06-20,1507
2016-06-21,1484
2016-06-22,1484
2016-06-23,1501
2016-06-24,1501
2016-06-25,1504
2016-06-26,1504
2016-06-27,1474
2016-06-28,1474
2016-06-29,1461
2016-06-30,1461
2016-07-01,1440
2016-07-02,1440
2016-07-03,1425
2016-07-04,1394
2016-07-05,1394
2016-07-06,1417
2016-07-07,1417
2016-07-08,1420
2016-07-09,1420
2016-07-10,1363
2016-07-11,1363
2016-07-12,1321
2016-07-13,1321
2016-07-14,1278
2016-07-15,1278
2016-07-16,1274
2016-07-17,1274
2016-07-18,1256
2016-07-23,1212
2016-07-24,1212
2016-07-25,1230
2016-07-26,1230
2016-07-27,1230
2016-07-28,1247
2016-07-29,1247
2016-07-30,1260
2016-07-31,1260
2016-08-01,1260
2016-08-02,1248
2016-08-03,1248
2016-08-04,1248
2016-08-05,1252
2016-08-06,1252
2016-08-07,1238
2016-08-08,1238
2016-08-09,1283
2016-08-10,1283
2016-08-11,1283
2016-08-12,1319
2016-08-13,1319
2016-08-14,1319
2016-08-15,1345
2016-08-16,1345
2016-08-17,1345
2016-08-18,1355
2016-08-19,1355
2016-08-20,1372
2016-08-21,1372
2016-08-22,1372
2016-08-23,1351
2016-08-24,1351
2016-08-25,1351
2016-08-26,1340
2016-08-28,1376
2016-08-31,1361
2016-09-01,1361
2016-09-02,1361
2016-09-03,1337
2016-09-04,1337
2016-09-05,1352
2016-09-06,1352
2016-09-07,1352
2016-09-08,1383
2016-09-09,1383
2016-09-10,1381
2016-09-11,1381
2016-09-12,1381
2016-09-13,1377
2016-09-14,1377
2016-09-15,1377
2016-09-16,1362
2016-09-17,1362
2016-09-18,1331
2016-09-19,1331
2016-09-20,1331
2016-09-21,1339
2016-09-22,1339
2016-09-23,1339
2016-09-24,1339
2016-09-25,1339
2016-09-26,1317
2016-09-27,1317
2016-09-28,1335
2016-09-29,1335
2016-09-30,1336
2016-10-01,1336
2016-10-02,1336
2016-10-03,1327
2016-10-04,1327
2016-10-05,1285
2016-10-06,1285
2016-10-07,1285
2016-10-08,1289
2016-10-09,1289
2016-10-11,1273
2016-10-12,1273
2016-10-13,1273
2016-10-14,1249
2016-10-15,1249
2016-10-16,1222
2016-10-17,1222
2016-10-18,1253
2016-10-19,1253
2016-10-20,1300
2016-10-21,1300
2016-10-22,1318
2016-10-23,1318
2016-10-24,1316
2016-10-25,1316
2016-10-26,1305
2016-10-27,1305
2016-10-28,1305
2016-10-29,1318
2016-10-30,1318
2016-10-31,1286
2016-11-01,1286
2016-11-02,1286
2016-11-03,1281
2016-11-04,1281
2016-11-05,1343
2016-11-06,1343
2016-11-07,1368
2016-11-08,1368
2016-11-09,1394
2016-11-10,1394
2016-11-11,1394
2016-11-12,1386
2016-11-13,1386
2016-11-14,1386
2016-12-08,1440
2016-12-09,1462
2016-12-10,1462
2016-12-11,1440
2016-12-12,1440
2016-12-13,1456
2016-12-14,1456
2016-12-15,1431
2016-12-16,1431
2016-12-17,1383
2016-12-18,1383
2016-12-19,1378
2016-12-20,1378
2016-12-21,1380
2016-12-22,1380
2016-12-23,1376
2016-12-24,1376
2016-12-25,1372
2016-12-26,1372
2016-12-27,1361
2016-12-28,1361
2016-12-29,1349
2016-12-30,1349
2016-12-31,1300
2017-01-01,1300
2017-01-02,1266
2017-01-03,1266
2017-01-04,1230
2017-01-05,1230
2017-01-06,1195
2017-01-07,1195
2017-01-08,1198
2017-01-09,1198
2017-01-10,1179
2017-01-11,1179
2017-01-12,1187
2017-01-13,1187
2017-01-14,1177
2017-01-15,1152
2017-01-16,1152
2017-01-17,1153
2017-01-18,1153
2017-01-19,1165
2017-01-20,1165
2017-01-21,1151
2017-01-22,1151
2017-01-27,1148
2017-01-28,1160
2017-01-29,1160
2017-01-30,1149
2017-01-31,1149
2017-02-01,1151
2017-02-02,1151
2017-02-03,1137
2017-02-04,1175
2017-02-05,1175
2017-02-06,1233
2017-02-07,1233
2017-02-08,1293
2017-02-09,1293
2017-02-10,1295
2017-02-11,1295
2017-02-12,1276
2017-02-13,1276
2017-02-14,1265
2017-02-15,1265
2017-02-16,1254
2017-02-18,1286
2017-02-19,1298
2017-02-20,1298
2017-02-21,1270
2017-02-22,1270
2017-02-23,1263
2017-02-24,1263
2017-02-25,1284
2017-02-26,1284
2017-02-27,1253
2017-02-28,1253
2017-03-01,1255
2017-03-02,1255
2017-03-03,1253
2017-03-04,1253
2017-03-05,1210
2017-03-06,1210
2017-03-07,1196
2017-03-08,1196
2017-03-09,1200
2017-03-10,1200
2017-03-11,1248
2017-03-12,1248
2017-03-13,1248
2017-03-14,1248
2017-03-15,1254
2017-03-16,1254
2017-03-17,1274
2017-03-18,1274
2017-03-19,1261
2017-03-20,1261
2017-03-21,1262
2017-03-22,1262
2017-03-23,1228
2017-03-24,1228
2017-03-25,1232
2017-03-26,1232
2017-03-27,1234
2017-03-28,1234
2017-03-29,1235
2017-03-30,1235
2017-03-31,1219
2017-04-01,1219
2017-04-02,1235
2017-04-03,1235
2017-04-04,1297
2017-04-12,1566
2017-04-13,1642
2017-04-14,1642
2017-04-15,1695
2017-04-16,1695
2017-04-17,1653
2017-04-18,1653
2017-04-19,1648
2017-04-20,1648
2017-04-21,1658
2017-04-22,1658
2017-04-23,1708
2017-04-24,1708
2017-04-25,1671
2017-04-26,1671
2017-04-27,1616
2017-04-28,1616
2017-04-29,1589
2017-04-30,1589
2017-05-01,1605
2017-05-02,1605
2017-05-03,1582
2017-05-04,1582
2017-05-05,1570
2017-05-06,1570
2017-05-07,1575
2017-05-08,1575
2017-05-09,1535
2017-05-10,1535
2017-05-11,1535
2017-05-12,1535
2017-05-13,1535
2017-05-14,1532
2017-05-15,1532
2017-05-16,1527
2017-05-17,1527
2017-05-18,1579
2017-05-19,1579
2017-05-20,1616
2017-05-21,1616
2017-05-22,1616
2017-05-23,1677
2017-05-24,1677
2017-05-25,1757
2017-05-26,1757
2017-05-27,1834
2017-05-28,1834
2017-05-29,1922
2017-05-30,1922
2017-05-31,1897
2017-06-01,1897
2017-06-02,1809
2017-06-03,1809
2017-06-06,1875
2017-06-07,1875
2017-06-08,1875
2017-06-09,1927
2017-06-10,1927
2017-06-11,1959
2017-06-12,1959
2017-06-13,1987
2017-06-14,1987
2017-06-15,1981
2017-06-16,1981
2017-06-17,1967
2017-06-18,1967
2017-06-19,1943
2017-06-20,1900
2017-06-21,1900
2017-06-22,1809
2017-06-23,1809
2017-06-24,1729
2017-06-25,1729
2017-06-26,1665
2017-06-27,1665
2017-06-28,1581
2017-06-29,1581
2017-06-30,1501
2017-07-01,1501
2017-07-02,1501
2017-07-03,1456
2017-07-04,1456
2017-07-05,1452
2017-07-06,1452
2017-07-07,1427
2017-07-08,1427
2017-07-13,1399
2017-07-14,1345
2017-07-15,1345
2017-07-16,1317
2017-07-17,1317
2017-07-18,1266
2017-07-19,1266
2017-07-20,1222
2017-07-21,1222
2017-07-22,1195
2017-07-23,1195
2017-07-24,1142
2017-07-25,1142
2017-07-26,1084
2017-07-27,1084
2017-07-28,1031
2017-07-29,1031
2017-07-30,1024
2017-07-31,1024
2017-08-01,1024
2017-08-02,1050
2017-08-03,1050
2017-08-04,1050
2017-08-05,1058
2017-08-06,1058
2017-08-09,999
2017-08-10,999
2017-08-11,980
2017-08-12,980
2017-08-13,971
2017-08-14,971
2017-08-15,965
2017-08-17,955
2017-08-18,955
2017-08-19,916
2017-08-20,916
2017-08-21,935
2017-08-22,935
2017-08-23,901
2017-08-24,901
2017-08-25,901
2017-08-26,911
2017-08-27,911
2017-08-28,882
2017-08-29,882
2017-08-30,888
2017-08-31,888
2017-09-01,888
2017-09-02,875
2017-09-03,875
2017-09-04,859
2017-09-05,859
2017-09-06,841
2017-09-07,841
2017-09-08,855
2017-09-09,897
2017-09-10,897
