date_obj,Partyhat%20set price
2015-03-26,332452
2015-03-27,332452
2015-03-28,332452
2015-03-29,316943
2015-03-30,316943
2015-03-31,301475
2015-04-01,301475
2015-04-02,301475
2015-04-03,286657
2015-04-04,286657
2015-04-05,273072
2015-04-06,273072
2015-04-07,259967
2015-04-08,259967
2015-04-09,259967
2015-04-10,247289
2015-04-11,247289
2015-04-12,235851
2015-04-13,235851
2015-04-14,235851
2015-04-15,224097
2015-04-16,224097
2015-04-17,224097
2015-04-18,214033
2015-04-19,214033
2015-04-20,214033
2015-04-21,211818
2015-04-22,211818
2015-04-23,211818
2015-04-24,211835
2015-04-25,211835
2015-04-26,211835
2015-04-27,206004
2015-04-28,206004
2015-04-29,206004
2015-04-30,198674
2015-05-01,198674
2015-05-02,193269
2015-05-03,193269
2015-05-04,193269
2015-05-05,194429
2015-05-06,194429
2015-05-07,191574
2015-05-08,191574
2015-05-09,191574
2015-05-10,184826
2015-05-11,184826
2015-05-12,184826
2015-05-13,187751
2015-05-14,187751
2015-05-15,187751
2015-05-16,189945
2015-05-17,189945
2015-05-18,190833
2015-05-19,190833
2015-05-20,190833
2015-05-21,190833
2015-05-22,190094
2015-05-23,190094
2015-05-24,190094
2015-05-25,191500
2015-05-26,191500
2015-05-27,191500
2015-05-28,192050
2015-05-29,192050
2015-05-30,188314
2015-05-31,188314
2015-06-01,193376
2015-06-02,193376
2015-06-03,193376
2015-06-04,194683
2015-06-05,194683
2015-06-06,197036
2015-06-07,197036
2015-06-08,197036
2015-06-09,203191
2015-06-10,203191
2015-06-11,212418
2015-06-12,212418
2015-06-13,221332
2015-06-14,221332
2015-06-15,231430
2015-06-16,241633
2015-06-17,241633
2015-06-18,253186
2015-06-19,253186
2015-06-20,264483
2015-06-21,264483
2015-06-22,276678
2015-06-23,276678
2015-06-24,289281
2015-06-25,289281
2015-06-26,301376
2015-06-27,301376
2015-06-28,301376
2015-06-29,313234
2015-06-30,313234
2015-07-01,327993
2015-07-02,327993
2015-07-03,327993
2015-07-04,340175
2015-07-05,340175
2015-07-06,340175
2015-07-07,330329
2015-07-08,330329
2015-07-09,330329
2015-07-10,315464
2015-07-11,315464
2015-07-12,315464
2015-07-13,301452
2015-07-14,301452
2015-07-15,301452
2015-07-16,286534
2015-07-17,286534
2015-07-18,286534
2015-07-19,277288
2015-07-20,277288
2015-07-21,277288
2015-07-22,282726
2015-07-23,282726
2015-07-24,294836
2015-07-25,294836
2015-07-26,294836
2015-07-27,308042
2015-07-28,308042
2015-07-29,321637
2015-07-30,321637
2015-07-31,321637
2015-08-01,336009
2015-08-02,336009
2015-08-03,346296
2015-08-04,346296
2015-08-05,360210
2015-08-06,360210
2015-08-07,360210
2015-08-08,373998
2015-08-09,373998
2015-08-10,390811
2015-08-11,408972
2015-08-12,408972
2015-08-13,424869
2015-08-14,424869
2015-08-15,424869
2015-08-16,442590
2015-08-17,442590
2015-08-18,442590
2015-08-19,461895
2015-08-20,461895
2015-08-21,461895
2015-08-22,481912
2015-08-23,481912
2015-08-24,481912
2015-08-25,503229
2015-08-26,503229
2015-08-27,525646
2015-08-28,525646
2015-08-29,525646
2015-08-30,548829
2015-08-31,548829
2015-09-01,548829
2015-09-02,573694
2015-09-03,573694
2015-09-04,600118
2015-09-05,600118
2015-09-06,600118
2015-09-07,626612
2015-09-08,626612
2015-09-09,626612
2015-09-10,655570
2015-09-11,655570
2015-09-12,655570
2015-09-13,685181
2015-09-14,685181
2015-09-15,717827
2015-09-16,717827
2015-09-17,717827
2015-09-18,712031
2015-09-19,712031
2015-09-20,712031
2015-09-21,712031
2015-09-22,679036
2015-09-23,679036
2015-09-24,679036
2015-09-25,679036
2015-09-27,647000
2015-09-28,647000
2015-09-29,647000
2015-09-30,619018
2015-10-05,589338
2015-10-06,589338
2015-10-07,589338
2015-10-08,589338
2015-10-09,561015
2015-10-10,561015
2015-10-11,561015
2015-10-12,561015
2015-10-13,561015
2015-10-14,533769
2015-10-15,533769
2015-10-16,533769
2015-10-17,533769
2015-10-18,533769
2015-10-19,507106
2015-10-20,507106
2015-10-22,507106
2015-10-23,507106
2015-10-24,483945
2015-10-25,483945
2015-10-26,483945
2015-10-27,483945
2015-10-29,466617
2015-10-30,466617
2015-10-31,458703
2015-11-01,458703
2015-11-02,458703
2015-11-03,458703
2015-11-04,458703
2015-11-05,439460
2015-11-06,439460
2015-11-07,439460
2015-11-08,439460
2015-11-09,439460
2015-11-10,418725
2015-11-11,418725
2015-11-12,418725
2015-11-13,418725
2015-11-14,418725
2015-11-15,398589
2015-11-16,398589
2015-11-17,398589
2015-11-18,398589
2015-11-19,398589
2015-11-20,378675
2015-11-21,378675
2015-11-22,378675
2015-11-23,378675
2015-11-24,378675
2015-11-25,363015
2015-11-26,363015
2015-11-27,363015
2015-11-28,363015
2015-11-29,363015
2015-11-30,347336
2015-12-01,347336
2015-12-02,347336
2015-12-03,347336
2015-12-04,347336
2015-12-05,336080
2015-12-06,336080
2015-12-07,336080
2015-12-08,336080
2015-12-09,320128
2015-12-10,320128
2015-12-11,320128
2015-12-12,320128
2015-12-13,307716
2015-12-14,307716
2015-12-15,292452
2015-12-16,277829
2015-12-17,263937
2015-12-18,250741
2015-12-19,238203
2015-12-20,226292
2015-12-21,214983
2015-12-22,204233
2015-12-23,194021
2015-12-24,184319
2015-12-25,175103
2015-12-26,166351
2015-12-27,158037
2015-12-28,150135
2015-12-29,142628
2015-12-30,135496
2015-12-31,129042
2016-01-01,123141
2016-01-02,116983
2016-01-03,111135
2016-01-04,105578
2016-01-05,100560
2016-01-06,95539
2016-01-07,95539
2016-01-08,92102
2016-01-09,92102
2016-01-10,89812
2016-01-11,89812
2016-01-12,90511
2016-01-13,90511
2016-01-14,91491
2016-01-15,91491
2016-01-16,91762
2016-01-17,91762
2016-01-18,92817
2016-01-19,92817
2016-01-20,94502
2016-01-21,94502
2016-01-22,94990
2016-01-23,94990
2016-01-24,95399
2016-01-25,95399
2016-01-26,99573
2016-01-27,99573
2016-01-28,103018
2016-01-29,106079
2016-01-30,106079
2016-01-31,107848
2016-02-01,107848
2016-02-02,112865
2016-02-03,112865
2016-02-04,118144
2016-02-05,118144
2016-02-06,114400
2016-02-07,114400
2016-02-08,114400
2016-02-09,118734
2016-02-10,118734
2016-02-11,123639
2016-02-12,123639
2016-02-13,128762
2016-02-14,128762
2016-02-15,128762
2016-02-16,131709
2016-02-17,131709
2016-02-18,131709
2016-02-19,126354
2016-02-20,126354
2016-02-21,120999
2016-02-22,120999
2016-02-23,120999
2016-02-24,115014
2016-02-25,115014
2016-02-26,109571
2016-02-27,109571
2016-02-28,106683
2016-02-29,106683
2016-03-01,104376
2016-03-02,104376
2016-03-03,104376
2016-03-04,102935
2016-03-05,102935
2016-03-06,100629
2016-03-07,100629
2016-03-08,100629
2016-03-09,101958
2016-03-10,101958
2016-03-11,101958
2016-03-12,100904
2016-03-13,100904
2016-03-14,100904
2016-03-15,98803
2016-03-16,98803
2016-03-17,98803
2016-03-18,95652
2016-03-19,95652
2016-03-20,95652
2016-03-21,94523
2016-03-22,94523
2016-03-23,94523
2016-03-24,94968
2016-03-25,94968
2016-03-26,94968
2016-03-27,91743
2016-03-28,91743
2016-03-29,87582
2016-03-30,87582
2016-03-31,87582
2016-04-01,83568
2016-04-02,83568
2016-04-03,83568
2016-04-04,80228
2016-04-05,80228
2016-04-06,80228
2016-04-07,78611
2016-04-08,78611
2016-04-09,78611
2016-04-10,75643
2016-04-11,75643
2016-04-12,75643
2016-04-13,75643
2016-04-14,73075
2016-04-15,73075
2016-04-16,73075
2016-04-17,71282
2016-04-18,71282
2016-04-19,71282
2016-04-20,71266
2016-04-21,71266
2016-04-22,71266
2016-04-23,68576
2016-04-24,68576
2016-04-25,68576
2016-04-26,65636
2016-04-27,65636
2016-04-28,65636
2016-04-29,63651
2016-04-30,63651
2016-05-01,63651
2016-05-02,60753
2016-05-03,60753
2016-05-04,60753
2016-05-05,60802
2016-05-06,60802
2016-05-07,60802
2016-05-08,59567
2016-05-09,59567
2016-05-10,60769
2016-05-11,60769
2016-05-12,60769
2016-05-13,61531
2016-05-14,61531
2016-05-15,61531
2016-05-16,60844
2016-05-17,60844
2016-05-18,60844
2016-05-19,57889
2016-05-22,55409
2016-05-23,55409
2016-05-24,54676
2016-05-25,54676
2016-05-26,54676
2016-05-27,53690
2016-05-28,53690
2016-05-29,53690
2016-05-30,54703
2016-05-31,54703
2016-06-01,54703
2016-06-02,54838
2016-06-03,54838
2016-06-04,54838
2016-06-05,55136
2016-06-06,55136
2016-06-07,55136
2016-06-08,56461
2016-06-09,56461
2016-06-10,57954
2016-06-11,57954
2016-06-12,57954
2016-06-13,57428
2016-06-14,57428
2016-06-15,54688
2016-06-16,54688
2016-06-17,54788
2016-06-18,54788
2016-06-19,54788
2016-06-20,54235
2016-06-21,54235
2016-06-22,54235
2016-06-23,54602
2016-06-24,54602
2016-06-25,54602
2016-06-26,54602
2016-06-27,54353
2016-06-28,54353
2016-06-29,54353
2016-06-30,54754
2016-07-01,54754
