date_obj,Ward%20upgrade%20kit price
2015-03-26,151255
2015-03-27,151255
2015-03-28,151255
2015-03-29,151255
2015-03-30,151255
2015-03-31,151255
2015-04-01,151255
2015-04-02,151255
2015-04-03,151255
2015-04-04,151255
2015-04-05,151255
2015-04-06,151255
2015-04-07,144897
2015-04-08,144897
2015-04-09,144897
2015-04-10,144897
2015-04-11,144897
2015-04-12,144897
2015-04-13,144897
2015-04-14,144897
2015-04-15,144897
2015-04-16,144897
2015-04-17,144897
2015-04-18,144897
2015-04-19,144897
2015-04-20,143167
2015-04-21,143167
2015-04-22,143167
2015-04-23,143167
2015-04-24,143167
2015-04-25,143167
2015-04-26,143167
2015-04-27,143167
2015-04-28,143167
2015-04-29,143167
2015-04-30,143167
2015-05-01,143167
2015-05-02,138024
2015-05-03,138024
2015-05-04,138024
2015-05-05,138024
2015-05-06,138024
2015-05-07,138024
2015-05-08,138024
2015-05-09,138024
2015-05-10,138024
2015-05-11,138024
2015-05-12,138024
2015-05-13,138024
2015-05-14,134754
2015-05-15,134754
2015-05-16,134754
2015-05-17,134754
2015-05-18,134754
2015-05-19,134754
2015-05-20,134754
2015-05-21,134754
2015-05-22,134754
2015-05-23,134754
2015-05-24,134754
2015-05-25,130954
2015-05-26,130954
2015-05-27,130954
2015-05-28,130954
2015-05-29,130954
2015-05-30,130954
2015-05-31,129319
2015-06-01,129319
2015-06-02,129319
2015-06-03,129319
2015-06-04,129319
2015-06-05,129319
2015-06-06,125638
2015-06-07,125638
2015-06-08,125638
2015-06-09,125638
2015-06-10,125638
2015-06-11,125638
2015-06-12,125638
2015-06-13,119769
2015-06-14,119769
2015-06-15,119769
2015-06-16,119769
2015-06-17,119769
2015-06-18,119769
2015-06-19,119769
2015-06-20,117806
2015-06-21,117806
2015-06-22,117806
2015-06-23,117806
2015-06-24,117806
2015-06-25,117806
2015-06-26,117094
2015-06-27,117094
2015-06-28,117094
2015-06-29,117094
2015-06-30,117094
2015-07-01,117094
2015-07-02,113009
2015-07-03,113009
2015-07-04,113009
2015-07-05,113009
2015-07-06,113009
2015-07-07,113009
2015-07-08,107358
2015-07-09,107358
2015-07-10,107358
2015-07-11,107358
2015-07-12,107358
2015-07-13,107358
2015-07-14,107358
2015-07-15,102764
2015-07-16,102764
2015-07-17,102764
2015-07-18,102764
2015-07-19,102764
2015-07-20,105307
2015-07-21,105307
2015-07-22,105307
2015-07-23,105307
2015-07-24,105307
2015-07-25,105307
2015-07-26,109047
2015-07-27,109047
2015-07-28,109047
2015-07-29,109047
2015-07-30,109047
2015-07-31,112089
2015-08-01,112089
2015-08-02,112089
2015-08-03,112089
2015-08-04,112089
2015-08-05,109434
2015-08-06,109434
2015-08-07,109434
2015-08-08,109434
2015-08-09,109434
2015-08-10,108093
2015-08-11,108093
2015-08-12,108093
2015-08-13,108093
2015-08-14,108093
2015-08-15,108093
2015-08-16,107747
2015-08-17,107747
2015-08-18,107747
2015-08-19,107747
2015-08-20,107747
2015-08-21,108947
2015-08-22,108947
2015-08-23,108947
2015-08-24,108947
2015-08-25,108947
2015-08-26,113119
2015-08-27,113119
2015-08-28,113119
2015-08-29,113119
2015-08-30,113126
2015-08-31,113126
2015-09-01,113126
2015-09-02,113126
2015-09-03,113126
2015-09-04,110892
2015-09-05,110892
2015-09-06,110892
2015-09-07,110892
2015-09-08,110892
2015-09-09,110813
2015-09-10,110813
2015-09-11,110813
2015-09-12,110813
2015-09-13,110813
2015-09-14,107098
2015-09-15,107098
2015-09-16,107098
2015-09-17,107098
2015-09-18,107098
2015-09-19,101743
2015-09-20,101743
2015-09-21,101743
2015-09-22,101743
2015-09-23,101743
2015-09-24,104053
2015-09-25,104053
2015-09-27,104053
2015-09-28,104053
2015-09-29,106960
2015-09-30,106960
2015-10-05,111397
2015-10-06,111397
2015-10-07,111397
2015-10-08,111397
2015-10-09,111776
2015-10-10,111776
2015-10-11,111776
2015-10-12,111776
2015-10-13,111776
2015-10-14,111776
2015-10-15,106422
2015-10-16,106422
2015-10-17,106422
2015-10-18,106422
2015-10-19,106422
2015-10-20,106422
2015-10-22,101100
2015-10-23,101100
2015-10-24,101100
2015-10-25,101100
2015-10-26,96163
2015-10-27,96163
2015-10-29,96163
2015-10-30,96163
2015-10-31,96163
2015-11-01,96163
2015-11-02,93585
2015-11-03,93585
2015-11-04,93585
2015-11-05,93585
2015-11-06,93585
2015-11-07,93585
2015-11-08,90217
2015-11-09,90217
2015-11-10,90217
2015-11-11,90217
2015-11-12,90217
2015-11-13,90217
2015-11-14,90217
2015-11-15,93338
2015-11-16,93338
