date_obj,Eternal%20crystal price
2015-03-26,10000000
2015-03-27,10000000
2015-03-28,10000000
2015-03-29,10000000
2015-03-30,10000000
2015-03-31,10000000
2015-04-01,10000000
2015-04-02,10000000
2015-04-03,10000000
2015-04-04,10000000
2015-04-05,10000000
2015-04-06,10000000
2015-04-07,10000000
2015-04-08,10000000
2015-04-09,10000000
2015-04-10,10000000
2015-04-11,10000000
2015-04-12,10000000
2015-04-13,10000000
2015-04-14,10000000
2015-04-15,10000000
2015-04-16,10000000
2015-04-17,10000000
2015-04-18,10000000
2015-04-19,10000000
2015-04-20,10000000
2015-04-21,10000000
2015-04-22,10000000
2015-04-23,10000000
2015-04-24,10000000
2015-04-25,10000000
2015-04-26,10000000
2015-04-27,10000000
2015-04-28,10000000
2015-04-29,10000000
2015-04-30,10000000
2015-05-01,10000000
2015-05-02,10000000
2015-05-03,10000000
2015-05-04,10000000
2015-05-05,10000000
2015-05-06,10000000
2015-05-07,10000000
2015-05-08,10000000
2015-05-09,10000000
2015-05-10,10000000
2015-05-11,10000000
2015-05-12,10000000
2015-05-13,10000000
2015-05-14,10000000
2015-05-15,10000000
2015-05-16,10000000
2015-05-17,10000000
2015-05-18,10000000
2015-05-19,10000000
2015-05-20,10000000
2015-05-21,10000000
2015-05-22,10000000
2015-05-23,10000000
2015-05-24,10000000
2015-05-25,10000000
2015-05-26,10000000
2015-05-27,10000000
2015-05-28,10000000
2015-05-29,10000000
2015-05-30,10000000
2015-05-31,10000000
2015-06-01,10000000
2015-06-02,10000000
2015-06-03,10000000
2015-06-04,10000000
2015-06-05,10000000
2015-06-06,10000000
2015-06-07,10000000
2015-06-08,10000000
2015-06-09,10000000
2015-06-10,10000000
2015-06-11,10000000
2015-06-12,10000000
2015-06-13,10000000
2015-06-14,10000000
2015-06-15,10000000
2015-06-16,10000000
2015-06-17,10000000
2015-06-18,10000000
2015-06-19,10000000
2015-06-20,10000000
2015-06-21,10000000
2015-06-22,10000000
2015-06-23,10000000
2015-06-24,10000000
2015-06-25,10000000
2015-06-26,10000000
2015-06-27,10000000
2015-06-28,10000000
2015-06-29,10000000
2015-06-30,10000000
2015-07-01,10000000
2015-07-02,10000000
2015-07-03,10000000
2015-07-04,10000000
2015-07-05,10000000
2015-07-06,10000000
2015-07-07,10000000
2015-07-08,10000000
2015-07-09,10000000
2015-07-10,10000000
2015-07-11,10000000
2015-07-12,10000000
2015-07-13,10000000
2015-07-14,10000000
2015-07-15,10000000
2015-07-16,10000000
2015-07-17,10000000
2015-07-18,10000000
2015-07-19,10000000
2015-07-20,10000000
2015-07-21,10000000
2015-07-22,10000000
2015-07-23,10000000
2015-07-24,10000000
2015-07-25,10000000
2015-07-26,10000000
2015-07-27,10000000
2015-07-28,10000000
2015-07-29,10000000
2015-07-30,10000000
2015-07-31,10000000
2015-08-01,10000000
2015-08-02,10000000
2015-08-03,10000000
2015-08-04,10000000
2015-08-05,10000000
2015-08-06,10000000
2015-08-07,10000000
2015-08-08,10000000
2015-08-09,10000000
2015-08-10,10000000
2015-08-11,10000000
2015-08-12,10000000
2015-08-13,10000000
2015-08-14,10000000
2015-08-15,10000000
2015-08-16,10000000
2015-08-17,10000000
2015-08-18,10000000
2015-08-19,10000000
2015-08-20,10000000
2015-08-21,10000000
2015-08-22,10000000
2015-08-23,10000000
2015-08-24,10000000
2015-08-25,10000000
2015-08-26,10000000
2015-08-27,9847749
2015-08-28,9355361
2015-08-29,8887592
2015-08-30,8887592
2015-08-31,8443212
2015-09-01,8443212
2015-09-02,8021051
2015-09-03,8021051
2015-09-04,7622492
2015-09-05,7622492
2015-09-06,7622492
2015-09-07,7270322
2015-09-08,7270322
2015-09-09,7270322
2015-09-10,6961465
2015-09-11,6961465
2015-09-12,6617465
2015-09-13,6617465
2015-09-14,6617465
2015-09-15,6286591
2015-09-16,6286591
2015-09-17,6286591
2015-09-18,5972261
2015-09-19,5972261
2015-09-20,5972261
2015-09-21,5681506
2015-09-22,5681506
2015-09-23,5681506
2015-09-24,5645383
2015-09-25,5645383
2015-09-27,5645383
2015-09-28,5392600
2015-09-29,5392600
2015-09-30,5392600
2015-10-05,5377408
2015-10-06,5377408
2015-10-07,5377408
2015-10-08,5616308
2015-10-09,5616308
2015-10-10,5616308
2015-10-11,5616308
2015-10-12,5841772
2015-10-13,5841772
2015-10-14,5841772
2015-10-15,5841772
2015-10-16,5841772
2015-10-17,5577360
2015-10-18,5577360
2015-10-19,5577360
2015-10-20,5577360
2015-10-22,5298939
2015-10-23,5298939
2015-10-24,5298939
2015-10-25,5298939
2015-10-26,5269353
2015-10-27,5269353
2015-10-29,5269353
2015-10-30,5269353
2015-10-31,5269353
2015-11-01,5269353
2015-11-02,5069845
2015-11-03,5069845
2015-11-04,5069845
2015-11-05,5069845
2015-11-06,5069845
2015-11-07,5069845
2015-11-08,5069845
2015-11-09,5069845
2015-11-10,4892143
2015-11-11,4892143
2015-11-12,4892143
2015-11-13,4892143
2015-11-14,4892143
2015-11-15,4892143
2015-11-16,4672113
2015-11-17,4672113
2015-11-18,4672113
2015-11-19,4672113
2015-11-20,4672113
2015-11-21,4672113
2015-11-22,4803347
2015-11-23,4803347
2015-11-24,4803347
2015-11-25,4803347
2015-11-26,4803347
2015-11-27,4803347
2015-11-28,4803347
2015-11-29,4845016
2015-11-30,4845016
2015-12-01,4845016
2015-12-02,4845016
2015-12-03,4845016
2015-12-04,4845016
2015-12-05,4907343
2015-12-06,4907343
2015-12-07,4907343
2015-12-08,4907343
2015-12-09,5122424
2015-12-10,5122424
2015-12-11,5122424
2015-12-12,5122424
2015-12-13,5122424
2015-12-14,5343554
