date_obj,Blue%20headband price
2015-03-26,114649
2015-03-27,114649
2015-03-28,112315
2015-03-29,108947
2015-03-30,105933
2015-03-31,102970
2015-04-01,101840
2015-04-02,100636
2015-04-03,98644
2015-04-04,97321
2015-04-05,97905
2015-04-06,95519
2015-04-07,92793
2015-04-08,92793
2015-04-09,90655
2015-04-10,88866
2015-04-11,86728
2015-04-12,84698
2015-04-13,82313
2015-04-14,80435
2015-04-15,79081
2015-04-16,79682
2015-04-17,78712
2015-04-18,78027
2015-04-19,76957
2015-04-20,77532
2015-04-21,76924
2015-04-22,76924
2015-04-23,75677
2015-04-24,75677
2015-04-25,74692
2015-04-26,72582
2015-04-27,71447
2015-04-28,69592
2015-04-29,69592
2015-04-30,68751
2015-05-01,67514
2015-05-02,65885
2015-05-03,64758
2015-05-04,63319
2015-05-05,62574
2015-05-06,60910
2015-05-07,59872
2015-05-08,60307
2015-05-09,58667
2015-05-10,58443
2015-05-11,59001
2015-05-12,58784
2015-05-13,59357
2015-05-14,59426
2015-05-15,60874
2015-05-16,62653
2015-05-17,63776
2015-05-18,65354
2015-05-19,67009
2015-05-20,67009
2015-05-21,67491
2015-05-22,67222
2015-05-23,67900
2015-05-24,67770
2015-05-25,66332
2015-05-26,64454
2015-05-27,61966
2015-05-28,59581
2015-05-29,58290
2015-05-30,56374
2015-05-31,56374
2015-06-01,54056
2015-06-02,54056
2015-06-03,52122
2015-06-04,52122
2015-06-05,50789
2015-06-06,49605
2015-06-07,48705
2015-06-08,48705
2015-06-09,46908
2015-06-10,45841
2015-06-11,45841
2015-06-12,44771
2015-06-13,44606
2015-06-14,43324
2015-06-15,43324
2015-06-16,41933
2015-06-17,42016
2015-06-18,40680
2015-06-19,40663
2015-06-20,39854
2015-06-21,39854
2015-06-22,39183
2015-06-23,39333
2015-06-24,39340
2015-06-25,39340
2015-06-26,38538
2015-06-27,38538
2015-06-28,38470
2015-06-29,38470
2015-06-30,38144
2015-07-01,37965
2015-07-02,37965
2015-07-03,36876
2015-07-04,37386
2015-07-05,37386
2015-07-06,35795
2015-07-07,35734
2015-07-08,35831
2015-07-09,35831
2015-07-10,35030
2015-07-11,35030
2015-07-12,34527
2015-07-13,34435
2015-07-14,34435
2015-07-15,33933
2015-07-16,33933
2015-07-17,33588
2015-07-18,33588
2015-07-19,32524
2015-07-20,32919
2015-07-21,32919
2015-07-22,32371
2015-07-23,32371
2015-07-24,31783
2015-07-25,31783
2015-07-26,31221
2015-07-27,31221
2015-07-28,30546
2015-07-29,30077
2015-07-30,30077
2015-07-31,29653
2015-08-01,29867
2015-08-02,30112
2015-08-03,30112
2015-08-04,29380
2015-08-05,29562
2015-08-06,29538
2015-08-07,30313
2015-08-08,30872
2015-08-09,31114
2015-08-10,31347
2015-08-11,31347
2015-08-12,30909
2015-08-13,30909
2015-08-14,30385
2015-08-15,30385
2015-08-16,29053
2015-08-17,28296
2015-08-18,28296
2015-08-19,27535
2015-08-20,27535
2015-08-21,26774
2015-08-22,26774
2015-08-23,26706
2015-08-24,26512
2015-08-25,26512
2015-08-26,25992
2015-08-27,24745
2015-08-28,24745
2015-08-29,24339
2015-08-30,24339
2015-08-31,23573
2015-09-01,23573
2015-09-02,22989
2015-09-03,22989
2015-09-04,23048
2015-09-05,23048
2015-09-06,23265
2015-09-07,23265
2015-09-08,22683
2015-09-09,22683
2015-09-10,22509
2015-09-11,22584
2015-09-12,22821
2015-09-13,22859
2015-09-14,22859
2015-09-15,22506
2015-09-16,22506
2015-09-17,22273
2015-09-18,22273
2015-09-19,22672
2015-09-20,23014
2015-09-21,23173
2015-09-22,23699
2015-09-23,24068
2015-09-24,24068
2015-09-25,24886
2015-09-27,26396
2015-09-28,27179
2015-09-29,27179
2015-09-30,28370
2015-10-05,31008
2015-10-06,31154
2015-10-07,32012
2015-10-08,32783
2015-10-09,33412
2015-10-10,33412
2015-10-11,34025
2015-10-12,34025
2015-10-13,34774
2015-10-14,34774
2015-10-15,35071
2015-10-16,35071
2015-10-17,35098
2015-10-18,35098
2015-10-19,35466
2015-10-20,36248
2015-10-22,37149
2015-10-23,37283
2015-10-24,37283
2015-10-25,37678
2015-10-26,37678
2015-10-27,37972
2015-10-29,38267
2015-10-30,38267
2015-10-31,37935
2015-11-01,37935
2015-11-02,37871
2015-11-03,37871
2015-11-04,37016
2015-11-05,35876
2015-11-06,35876
2015-11-07,35402
2015-11-08,35402
2015-11-09,35412
2015-11-10,35412
2015-11-11,35764
2015-11-12,35764
2015-11-13,36003
2015-11-14,36003
2015-11-15,35253
2015-11-16,35253
2015-11-17,35835
2015-11-18,35835
2015-11-19,34843
2015-11-20,34844
2015-11-21,34844
2015-11-22,34874
2015-11-23,34874
2015-11-24,34221
2015-11-25,34149
2015-11-26,34149
2015-11-27,33456
2015-11-28,34065
2015-11-29,34264
2015-11-30,35314
2015-12-01,35314
2015-12-02,35764
2015-12-03,35764
2015-12-04,35684
2015-12-05,35684
2015-12-06,34586
2015-12-07,34586
2015-12-08,34445
2015-12-09,34111
2015-12-10,34111
2015-12-11,33676
2015-12-12,33676
2015-12-13,33895
2015-12-14,33895
2015-12-15,35088
2015-12-16,35088
2015-12-17,35280
2015-12-18,34927
2015-12-19,34927
2015-12-20,34244
2015-12-21,34244
2015-12-22,33850
2015-12-23,33850
2015-12-24,33881
2015-12-25,33881
2015-12-26,33258
2015-12-27,32599
2015-12-28,32599
2015-12-29,31888
2015-12-30,31169
2015-12-31,31169
2016-01-01,30834
2016-01-02,30834
2016-01-03,30139
2016-01-04,29302
2016-01-05,29302
2016-01-06,29142
2016-01-07,29288
2016-01-08,28914
