date_obj,Dragonstone%20bracelet price
2015-03-26,28777
2015-03-27,28777
2015-03-28,28777
2015-03-29,27361
2015-03-30,27361
2015-03-31,27361
2015-04-01,27361
2015-04-02,27361
2015-04-03,27361
2015-04-04,27361
2015-04-05,27361
2015-04-06,26028
2015-04-07,26028
2015-04-08,26028
2015-04-09,26028
2015-04-10,26028
2015-04-11,26028
2015-04-12,26028
2015-04-13,26028
2015-04-14,24734
2015-04-15,24734
2015-04-16,24734
2015-04-17,24734
2015-04-18,24734
2015-04-19,24734
2015-04-20,24734
2015-04-21,23843
2015-04-22,23843
2015-04-23,23843
2015-04-24,23843
2015-04-25,23843
2015-04-26,23843
2015-04-27,23843
2015-04-28,22670
2015-04-29,22670
2015-04-30,22670
2015-05-01,22670
2015-05-02,22487
2015-05-03,22487
2015-05-04,22487
2015-05-05,22487
2015-05-06,22569
2015-05-07,22569
2015-05-08,22569
2015-05-09,22569
2015-05-10,21757
2015-05-11,21757
2015-05-12,21757
2015-05-13,21757
2015-05-14,21657
2015-05-15,21657
2015-05-16,21657
2015-05-17,21657
2015-05-18,21049
2015-05-19,21049
2015-05-20,21049
2015-05-21,21049
2015-05-22,21049
2015-05-23,20332
2015-05-24,20332
2015-05-25,20332
2015-05-26,20381
2015-05-27,20381
2015-05-28,20381
2015-05-29,21037
2015-05-30,21037
2015-05-31,21330
2015-06-01,21330
2015-06-02,21330
2015-06-03,21330
2015-06-04,21330
2015-06-05,21436
2015-06-06,21436
2015-06-07,21436
2015-06-08,21436
2015-06-09,21436
2015-06-10,21412
2015-06-11,21412
2015-06-12,21412
2015-06-13,21412
2015-06-14,21412
2015-06-15,21412
2015-06-16,20683
2015-06-17,20683
2015-06-18,20683
2015-06-19,20683
2015-06-20,20683
2015-06-21,20925
2015-06-22,20925
2015-06-23,20925
2015-06-24,20925
2015-06-25,20925
2015-06-26,20795
2015-06-27,20795
2015-06-28,20795
2015-06-29,20795
2015-06-30,20795
2015-07-01,19861
2015-07-02,19861
2015-07-03,19861
2015-07-04,19861
2015-07-05,19861
2015-07-06,19861
2015-07-07,20372
2015-07-08,20372
2015-07-09,20372
2015-07-10,20372
2015-07-11,20372
2015-07-12,20372
2015-07-13,20741
2015-07-14,20741
2015-07-15,20741
2015-07-16,20741
2015-07-17,20741
2015-07-18,21488
2015-07-19,21488
2015-07-20,21488
2015-07-21,21488
2015-07-22,21488
2015-07-23,21714
2015-07-24,21714
2015-07-25,21714
2015-07-26,21714
2015-07-27,21714
2015-07-28,22268
2015-07-29,22268
2015-07-30,22268
2015-07-31,22268
2015-08-01,22268
2015-08-02,22616
2015-08-03,22616
2015-08-04,22616
2015-08-05,22616
2015-08-06,22616
2015-08-07,23695
2015-08-08,23695
2015-08-09,23695
2015-08-10,23695
2015-08-11,23696
2015-08-12,23696
2015-08-13,23696
2015-08-14,23696
2015-08-15,23696
2015-08-16,23697
2015-08-17,23697
2015-08-18,23697
2015-08-19,23697
2015-08-20,24702
2015-08-21,24702
2015-08-22,24702
2015-08-23,24702
2015-08-24,25366
2015-08-25,25366
2015-08-26,25366
2015-08-27,25366
2015-08-28,25366
2015-08-29,25657
2015-08-30,25657
2015-08-31,25657
2015-09-01,25657
2015-09-02,25657
2015-09-03,26226
2015-09-04,26226
2015-09-05,26226
