date_obj,Zamorak%20mjolnir price
2015-03-26,161500
2015-03-27,161500
2015-03-28,161500
2015-03-29,161500
2015-03-30,161500
2015-03-31,161500
2015-04-01,161500
2015-04-02,161500
2015-04-03,161500
2015-04-04,161500
2015-04-05,161500
2015-04-06,153848
2015-04-07,153848
2015-04-08,153848
2015-04-09,153848
2015-04-10,153848
2015-04-11,153848
2015-04-12,153848
2015-04-13,153848
2015-04-14,153848
2015-04-15,153848
2015-04-16,153848
2015-04-17,153848
2015-04-18,153848
2015-04-19,153848
2015-04-20,153848
2015-04-21,153848
2015-04-22,153848
2015-04-23,153848
2015-04-24,153848
2015-04-25,153848
2015-04-26,153848
2015-04-27,153848
2015-04-28,153848
2015-04-29,153848
2015-04-30,153848
2015-05-01,153848
2015-05-02,153848
2015-05-03,153848
2015-05-04,146266
2015-05-05,146266
2015-05-06,146266
2015-05-07,146266
2015-05-08,146266
2015-05-09,146266
2015-05-10,146266
2015-05-11,146266
2015-05-12,146266
2015-05-13,146266
2015-05-14,146266
2015-05-15,146266
2015-05-16,146266
2015-05-17,146266
2015-05-18,146266
2015-05-19,146266
2015-05-20,146266
2015-05-21,146266
2015-05-22,146266
2015-05-23,146266
2015-05-24,146266
2015-05-25,146266
2015-05-26,146266
2015-05-27,146266
2015-05-28,138952
2015-05-29,138952
2015-05-30,138952
2015-05-31,138952
2015-06-01,138952
2015-06-02,138952
2015-06-03,138952
2015-06-04,138952
2015-06-05,138952
2015-06-06,138952
2015-06-07,138952
2015-06-08,138952
2015-06-09,138952
2015-06-10,138952
2015-06-11,138952
2015-06-12,138952
2015-06-13,138952
2015-06-14,138952
2015-06-15,138952
2015-06-16,138952
2015-06-17,138952
2015-06-18,138952
2015-06-19,138952
2015-06-20,132128
2015-06-21,132128
2015-06-22,132128
2015-06-23,132128
2015-06-24,132128
2015-06-25,132128
2015-06-26,132128
2015-06-27,132128
2015-06-28,132128
2015-06-29,132128
2015-06-30,132128
2015-07-01,132128
2015-07-02,132128
2015-07-03,132128
2015-07-04,132128
2015-07-05,132128
2015-07-06,132128
2015-07-07,132128
2015-07-08,132128
2015-07-09,132128
2015-07-10,132128
2015-07-11,132128
2015-07-12,132128
2015-07-13,132128
2015-07-14,132128
2015-07-15,125725
2015-07-16,125725
2015-07-17,125725
2015-07-18,125725
2015-07-19,125725
2015-07-20,125725
2015-07-21,125725
2015-07-22,125725
2015-07-23,125725
2015-07-24,125725
2015-07-25,125725
2015-07-26,125725
2015-07-27,125725
2015-07-28,125725
2015-07-29,125725
2015-07-30,125725
2015-07-31,125725
2015-08-01,125725
2015-08-02,125725
2015-08-03,125725
2015-08-04,125725
2015-08-05,125725
2015-08-06,125725
2015-08-07,125725
2015-08-08,119670
2015-08-09,119670
2015-08-10,119670
2015-08-11,119670
2015-08-12,119670
2015-08-13,119670
2015-08-14,119670
2015-08-15,119670
2015-08-16,119670
2015-08-17,119670
2015-08-18,119670
2015-08-19,119670
2015-08-20,119670
2015-08-21,119670
2015-08-22,119670
2015-08-23,119670
2015-08-24,119670
2015-08-25,119670
2015-08-26,119670
2015-08-27,119670
2015-08-28,119670
2015-08-29,119670
2015-08-30,113815
2015-08-31,113815
2015-09-01,113815
2015-09-02,113815
2015-09-03,113815
2015-09-04,113815
2015-09-05,113815
2015-09-06,113815
2015-09-07,113815
2015-09-08,113815
2015-09-09,113815
2015-09-10,113815
2015-09-11,113815
2015-09-12,113815
2015-09-13,113815
2015-09-14,113815
2015-09-15,113815
2015-09-16,113815
2015-09-17,113815
2015-09-18,113815
2015-09-19,113815
2015-09-20,113815
2015-09-21,113815
2015-09-22,113815
2015-09-23,113815
2015-09-24,113815
2015-09-25,108237
2015-09-27,108237
2015-09-28,108237
2015-09-29,108237
2015-09-30,108237
2015-10-05,108237
2015-10-06,108237
2015-10-07,108237
2015-10-08,108237
2015-10-09,108237
