date_obj,Desert%20camo%20legs price
2015-03-26,7500
2015-03-27,7500
2015-03-28,7500
2015-03-29,7500
2015-03-30,7500
2015-03-31,7500
2015-04-01,7500
2015-04-02,7500
2015-04-03,7500
2015-04-04,7500
2015-04-05,7500
2015-04-06,7500
2015-04-07,7500
2015-04-08,7500
2015-04-09,7500
2015-04-10,7500
2015-04-11,7500
2015-04-12,7500
2015-04-13,7500
2015-04-14,7500
2015-04-15,7500
2015-04-16,7500
2015-04-17,7500
2015-04-18,7500
2015-04-19,7500
2015-04-20,7500
2015-04-21,7500
2015-04-22,7500
2015-04-23,7500
2015-04-24,7500
2015-04-25,7500
2015-04-26,7500
2015-04-27,7500
2015-04-28,7680
2015-04-29,7680
2015-04-30,7680
2015-05-01,7680
2015-05-02,7680
2015-05-03,7680
2015-05-04,7680
2015-05-05,7680
2015-05-06,7680
2015-05-07,7680
2015-05-08,7680
2015-05-09,7680
2015-05-10,7680
2015-05-11,7680
2015-05-12,7680
2015-05-13,7680
2015-05-14,7680
2015-05-15,7680
2015-05-16,7680
2015-05-17,7680
2015-05-18,7680
2015-05-19,7680
2015-05-20,7680
2015-05-21,7680
2015-05-22,7680
2015-05-23,7680
2015-05-24,7680
2015-05-25,7680
2015-05-26,7680
2015-05-27,7680
2015-05-28,7680
2015-05-29,7680
2015-05-30,7680
2015-05-31,7680
2015-06-01,7680
2015-06-02,7680
2015-06-03,7680
2015-06-04,7680
2015-06-05,7680
2015-06-06,7680
2015-06-07,7680
2015-06-08,7680
2015-06-09,7680
2015-06-10,7680
2015-06-11,7680
2015-06-12,7680
2015-06-13,7680
2015-06-14,7680
2015-06-15,7680
2015-06-16,7680
2015-06-17,7680
2015-06-18,7680
2015-06-19,7860
2015-06-20,7860
2015-06-21,7860
2015-06-22,7860
2015-06-23,7860
2015-06-24,7860
2015-06-25,7860
2015-06-26,7860
2015-06-27,7860
2015-06-28,7860
2015-06-29,7860
2015-06-30,7860
2015-07-01,7860
2015-07-02,7860
2015-07-03,7860
2015-07-04,7860
2015-07-05,7860
2015-07-06,7860
2015-07-07,7860
2015-07-08,7860
2015-07-09,7860
2015-07-10,7860
2015-07-11,7860
2015-07-12,7860
2015-07-13,7860
2015-07-14,7860
2015-07-15,7860
2015-07-16,7860
2015-07-17,7860
2015-07-18,7860
2015-07-19,7860
2015-07-20,7860
2015-07-21,7860
2015-07-22,7860
2015-07-23,7860
2015-07-24,7860
2015-07-25,7860
2015-07-26,7860
2015-07-27,7860
2015-07-28,7860
2015-07-29,7860
2015-07-30,7860
2015-07-31,7860
2015-08-01,7860
2015-08-02,7860
