date_obj,Armadyl%20full%20helm price
2015-03-26,26569
2015-03-27,26569
2015-03-28,26642
2015-03-29,26598
2015-03-30,25864
2015-03-31,25720
2015-04-01,25720
2015-04-02,25532
2015-04-03,25565
2015-04-04,25214
2015-04-05,25214
2015-04-06,24233
2015-04-07,23152
2015-04-08,23152
2015-04-09,22244
2015-04-10,21819
2015-04-11,21456
2015-04-12,21114
2015-04-13,20750
2015-04-14,20750
2015-04-15,20564
2015-04-16,20682
2015-04-17,20779
2015-04-18,20673
2015-04-19,21150
2015-04-20,21150
2015-04-21,21530
2015-04-22,21530
2015-04-23,21842
2015-04-24,22037
2015-04-25,22263
2015-04-26,22263
2015-04-27,22207
2015-04-28,21644
2015-04-29,21644
2015-04-30,21501
2015-05-01,21327
2015-05-02,21025
2015-05-03,21025
2015-05-04,20707
2015-05-05,20274
2015-05-06,20363
2015-05-07,19776
2015-05-08,19805
2015-05-09,20009
2015-05-10,20315
2015-05-11,20315
2015-05-12,20335
2015-05-13,20335
2015-05-14,20624
2015-05-15,20624
2015-05-16,20700
2015-05-17,21039
2015-05-18,20768
2015-05-19,21123
2015-05-20,21123
2015-05-21,20826
2015-05-22,21281
2015-05-23,21415
2015-05-24,21283
2015-05-25,21325
2015-05-26,21329
2015-05-27,20628
2015-05-28,20517
2015-05-29,20517
2015-05-30,20629
2015-05-31,20629
2015-06-01,20658
2015-06-02,20658
2015-06-03,20636
2015-06-04,20636
2015-06-05,20858
2015-06-06,20912
2015-06-07,20912
2015-06-08,21258
2015-06-09,21258
2015-06-10,21914
2015-06-11,21914
2015-06-12,22160
2015-06-13,22016
2015-06-14,22773
2015-06-15,22773
2015-06-16,22425
2015-06-17,22425
2015-06-18,21942
2015-06-19,21942
2015-06-20,21836
2015-06-21,21836
2015-06-22,21577
2015-06-23,21104
2015-06-24,20523
2015-06-25,20523
2015-06-26,20844
2015-06-27,20844
2015-06-28,21090
2015-06-29,21090
2015-06-30,21371
2015-07-01,21900
2015-07-02,21900
2015-07-03,21876
2015-07-04,21876
2015-07-05,22544
2015-07-06,22544
2015-07-07,22322
2015-07-08,21822
2015-07-09,21822
2015-07-10,21139
2015-07-11,21139
2015-07-12,20455
2015-07-13,20420
2015-07-14,20420
2015-07-15,20351
2015-07-16,20351
2015-07-17,20644
2015-07-18,20644
2015-07-19,20490
2015-07-20,20036
2015-07-21,20036
2015-07-22,20208
2015-07-23,20208
2015-07-24,20422
2015-07-25,20422
2015-07-26,20680
2015-07-27,20680
2015-07-28,20717
2015-07-29,20832
2015-07-30,20832
2015-07-31,21132
2015-08-01,21132
2015-08-02,20854
2015-08-03,20854
2015-08-04,20780
2015-08-05,20924
2015-08-06,20924
2015-08-07,20809
2015-08-08,21008
2015-08-09,20698
2015-08-10,20676
2015-08-11,20814
2015-08-12,20814
2015-08-13,21212
2015-08-14,21583
2015-08-15,21583
2015-08-16,21655
2015-08-17,21468
2015-08-18,20877
2015-08-19,20659
2015-08-20,20659
2015-08-21,21079
2015-08-22,21297
2015-08-23,21297
2015-08-24,20836
2015-08-25,20836
2015-08-26,21024
2015-08-27,21567
2015-08-28,21567
2015-08-29,21237
2015-08-30,21237
2015-08-31,20989
2015-09-01,20989
2015-09-02,21204
2015-09-03,20764
2015-09-04,20722
2015-09-05,20722
2015-09-06,20671
2015-09-07,20671
2015-09-08,20961
2015-09-09,21487
2015-09-10,21938
2015-09-11,21938
2015-09-12,21836
2015-09-13,21496
2015-09-14,21496
2015-09-15,21854
2015-09-16,21854
2015-09-17,22383
2015-09-18,22383
2015-09-19,22042
2015-09-20,22042
2015-09-21,21753
2015-09-22,21980
2015-09-23,22125
2015-09-24,22125
2015-09-25,22125
2015-09-27,21939
2015-09-28,21997
2015-09-29,21997
2015-09-30,22223
2015-10-05,22845
2015-10-06,23130
2015-10-07,23130
2015-10-08,23508
2015-10-09,23508
2015-10-10,23814
2015-10-11,23888
2015-10-12,23407
2015-10-13,23407
2015-10-14,23158
2015-10-15,22579
2015-10-16,22047
2015-10-17,22047
2015-10-18,21808
2015-10-19,21727
2015-10-20,21727
2015-10-22,21441
2015-10-23,21120
2015-10-24,21120
2015-10-25,21117
2015-10-26,21269
2015-10-27,21269
2015-10-28,21259
2015-10-29,21259
2015-10-30,21708
2015-10-31,21708
2015-11-01,21825
2015-11-02,21263
2015-11-03,21263
2015-11-04,20613
2015-11-05,20613
2015-11-06,20271
2015-11-07,21002
2015-11-08,21002
2015-11-09,21401
2015-11-10,21401
2015-11-11,21850
2015-11-12,21850
2015-11-13,21973
2015-11-14,21973
2015-11-15,21459
2015-11-16,21459
2015-11-17,21738
2015-11-18,21738
2015-11-19,21356
2015-11-20,21356
2015-11-21,21325
2015-11-22,21312
2015-11-23,21312
2015-11-24,21538
2015-11-25,21722
2015-11-26,21722
2015-11-27,21545
2015-11-28,21545
2015-11-29,21795
2015-11-30,21509
2015-12-01,21509
2015-12-02,21721
2015-12-03,22164
2015-12-04,22164
2015-12-05,22091
2015-12-06,22127
2015-12-07,22127
2015-12-08,22659
2015-12-09,22311
2015-12-10,22311
2015-12-11,21884
2015-12-12,21884
2015-12-13,21725
2015-12-14,21725
2015-12-15,22486
2015-12-16,22201
2015-12-17,22201
2015-12-18,22362
2015-12-19,22362
2015-12-20,22489
2015-12-21,23017
2015-12-22,23026
2015-12-23,22723
2015-12-24,22723
2015-12-25,23106
2015-12-26,23106
2015-12-27,22542
2015-12-28,22542
2015-12-29,22675
2015-12-30,22730
2015-12-31,21795
2016-01-01,21795
2016-01-02,21648
2016-01-03,21203
2016-01-04,20168
2016-01-05,19880
2016-01-06,19711
2016-01-07,19711
2016-01-08,20197
2016-01-09,20197
2016-01-10,20473
2016-01-11,20855
2016-01-12,20728
2016-01-13,20728
2016-01-14,21053
2016-01-15,21053
2016-01-16,21603
2016-01-17,21806
2016-01-18,21020
2016-01-19,21020
2016-01-20,20948
2016-01-21,20948
2016-01-22,20585
2016-01-23,20585
2016-01-24,20532
2016-01-25,20766
2016-01-26,20766
2016-01-27,20690
2016-01-28,20690
2016-01-29,20462
2016-01-30,20462
2016-01-31,20448
2016-02-01,20913
2016-02-02,20913
2016-02-03,21057
2016-02-04,21057
2016-02-05,20809
2016-02-06,20459
2016-02-07,20459
2016-02-08,20675
2016-02-09,20675
2016-02-10,20806
2016-02-11,20806
2016-02-12,20757
2016-02-13,20915
2016-02-14,20915
2016-02-15,21054
2016-02-16,21054
2016-02-17,21194
2016-02-18,21194
2016-02-19,21289
2016-02-20,21134
2016-02-21,21545
2016-02-22,21545
2016-02-23,22322
2016-02-24,22322
2016-02-25,21724
2016-02-26,21724
2016-02-27,20918
2016-02-28,20918
2016-02-29,20832
2016-03-01,21116
2016-03-02,21116
2016-03-03,21141
2016-03-04,21257
2016-03-05,20969
2016-03-06,20431
2016-03-07,20431
2016-03-08,20406
2016-03-09,21082
2016-03-10,21513
2016-03-11,21513
2016-03-12,21084
2016-03-13,21084
2016-03-14,20893
2016-03-15,20552
2016-03-16,20460
2016-03-17,20328
2016-03-18,20595
2016-03-19,20662
2016-03-20,20555
2016-03-21,20555
2016-03-22,20770
2016-03-23,20848
2016-03-24,20848
2016-03-25,21097
2016-03-26,21097
2016-03-27,21113
2016-03-28,20446
2016-03-29,20257
2016-03-30,20257
2016-03-31,20996
2016-04-01,20996
2016-04-02,22046
2016-04-03,23093
2016-04-04,23242
2016-04-05,23242
2016-04-06,24360
2016-04-07,25551
2016-04-08,26034
2016-04-09,27117
2016-04-10,27796
2016-04-11,27796
2016-04-12,27393
2016-04-13,27524
2016-04-14,28300
2016-04-15,29316
2016-04-16,29898
2016-04-17,29162
2016-04-18,28124
2016-04-19,27500
2016-04-20,26808
2016-04-21,26711
2016-04-22,26711
2016-04-23,26802
2016-04-24,26515
2016-04-25,25752
2016-04-26,25238
2016-04-27,24675
2016-04-28,23560
2016-04-29,23027
2016-04-30,22717
2016-05-01,22822
