date_obj,Blue%20skirt%20(g) price
2015-03-26,44989
2015-03-27,44989
2015-03-28,44063
2015-03-29,43284
2015-03-30,42634
2015-03-31,41929
2015-04-01,41270
2015-04-02,40716
2015-04-03,40149
2015-04-04,39714
2015-04-05,39433
2015-04-06,38737
2015-04-07,38404
2015-04-08,38404
2015-04-09,38065
2015-04-10,37336
2015-04-11,36563
2015-04-12,35877
2015-04-13,35154
2015-04-14,34895
2015-04-15,34170
2015-04-16,33120
2015-04-17,32842
2015-04-18,32480
2015-04-19,31745
2015-04-20,31745
2015-04-21,31354
2015-04-22,30833
2015-04-23,30399
2015-04-24,29779
2015-04-25,28544
2015-04-26,27967
2015-04-27,27317
2015-04-28,26675
2015-04-29,26675
2015-04-30,26156
2015-05-01,25671
2015-05-02,25434
2015-05-03,26212
2015-05-04,26506
2015-05-05,26703
2015-05-06,26237
2015-05-07,26353
2015-05-08,25747
2015-05-09,25912
2015-05-10,25516
2015-05-11,25588
2015-05-12,25765
2015-05-13,25894
2015-05-14,26184
2015-05-15,26203
2015-05-16,27190
2015-05-17,28356
2015-05-18,29774
2015-05-19,30428
2015-05-20,30428
2015-05-21,30601
2015-05-22,29849
2015-05-23,29348
2015-05-24,28494
2015-05-25,28203
2015-05-26,27869
2015-05-27,27190
2015-05-28,26342
2015-05-29,26065
2015-05-30,25937
2015-05-31,25469
2015-06-01,25632
2015-06-02,25632
2015-06-03,26295
2015-06-04,27254
2015-06-05,27716
2015-06-06,28011
2015-06-07,28557
2015-06-08,29674
2015-06-09,30903
2015-06-10,31594
2015-06-11,32163
2015-06-12,33390
2015-06-13,34680
2015-06-14,35868
2015-06-15,37130
2015-06-16,38772
2015-06-17,40403
2015-06-18,41712
2015-06-19,41712
2015-06-20,41877
2015-06-21,41777
2015-06-22,41222
2015-06-23,40249
2015-06-24,39382
2015-06-25,39382
2015-06-26,39126
2015-06-27,40298
2015-06-28,41302
2015-06-29,41302
2015-06-30,41939
2015-07-01,43381
2015-07-02,43381
2015-07-03,44412
2015-07-04,45275
2015-07-05,45275
2015-07-06,46161
2015-07-07,47205
2015-07-08,47700
2015-07-09,47700
2015-07-10,47412
2015-07-11,47218
2015-07-12,47218
2015-07-13,46138
2015-07-14,45220
2015-07-15,43962
2015-07-16,42381
2015-07-17,41276
2015-07-18,41276
2015-07-19,39972
2015-07-20,38419
2015-07-21,38419
2015-07-22,37519
2015-07-23,37519
2015-07-24,37027
2015-07-25,37471
2015-07-26,37471
2015-07-27,38012
2015-07-28,38513
2015-07-29,38397
2015-07-30,38397
2015-07-31,38720
2015-08-01,37980
2015-08-02,37122
2015-08-03,36389
2015-08-04,35594
2015-08-05,35075
2015-08-06,33582
2015-08-07,32090
2015-08-08,30719
2015-08-09,29804
2015-08-10,29184
2015-08-11,28528
2015-08-12,28528
2015-08-13,28372
2015-08-14,28810
2015-08-15,29783
2015-08-16,30547
2015-08-17,31612
2015-08-18,32617
2015-08-19,33790
2015-08-20,35282
2015-08-21,36844
2015-08-22,37560
2015-08-23,37560
2015-08-24,37075
2015-08-25,37075
2015-08-26,37421
2015-08-27,38405
2015-08-28,39318
2015-08-29,39497
2015-08-30,39648
2015-08-31,39895
2015-09-01,40430
2015-09-02,40430
2015-09-03,40686
2015-09-04,41682
2015-09-05,41682
2015-09-06,42549
2015-09-07,43012
2015-09-08,43421
2015-09-09,44269
2015-09-10,44303
2015-09-11,43925
2015-09-12,43981
2015-09-13,44263
2015-09-14,44928
2015-09-15,45362
2015-09-16,45362
2015-09-17,46453
2015-09-18,47400
2015-09-19,47823
2015-09-20,48150
2015-09-21,47704
2015-09-22,47304
2015-09-23,47327
2015-09-24,47327
2015-09-25,46237
2015-09-27,45298
2015-09-28,44526
2015-09-29,42861
2015-09-30,41627
2015-10-05,44186
2015-10-06,46076
2015-10-07,46076
2015-10-08,47952
2015-10-09,50146
2015-10-10,50146
2015-10-11,52602
2015-10-12,55098
2015-10-13,55098
2015-10-14,56053
2015-10-15,54189
2015-10-16,52279
2015-10-17,52279
2015-10-18,51140
2015-10-19,49632
2015-10-20,48685
2015-10-22,47661
2015-10-23,47402
2015-10-24,47557
2015-10-25,47669
2015-10-26,46646
2015-10-27,46646
2015-10-29,46106
2015-10-30,45284
2015-10-31,44321
2015-11-01,44321
2015-11-02,43550
2015-11-03,43524
2015-11-04,43702
2015-11-05,44731
2015-11-06,44674
2015-11-07,44886
2015-11-08,44886
2015-11-09,45275
2015-11-10,46029
2015-11-11,47450
2015-11-12,48786
2015-11-13,48786
2015-11-14,50281
2015-11-15,51413
2015-11-16,52429
2015-11-17,53959
2015-11-18,53959
2015-11-19,55569
2015-11-20,56718
2015-11-21,56718
2015-11-22,57036
2015-11-23,57036
2015-11-24,57650
2015-11-25,58588
2015-11-26,58588
2015-11-27,59059
2015-11-28,58425
2015-11-29,57133
2015-11-30,57130
2015-12-01,57130
2015-12-02,57819
2015-12-03,58429
2015-12-04,58429
2015-12-05,58792
2015-12-06,59032
2015-12-07,59032
2015-12-08,59285
2015-12-09,59744
2015-12-10,60548
2015-12-11,61723
2015-12-12,60712
2015-12-13,59484
2015-12-14,59484
2015-12-15,59375
2015-12-16,60314
2015-12-17,60314
2015-12-18,60745
2015-12-19,59280
2015-12-20,58730
2015-12-21,58232
2015-12-22,58323
2015-12-23,58058
2015-12-24,57929
2015-12-25,57686
2015-12-26,58181
2015-12-27,58543
2015-12-28,59304
2015-12-29,59246
2015-12-30,59778
2015-12-31,59085
2016-01-01,58795
2016-01-02,58629
2016-01-03,57709
2016-01-04,56852
2016-01-05,57160
2016-01-06,56362
2016-01-07,54189
2016-01-08,52037
2016-01-09,49919
2016-01-10,49216
2016-01-11,47183
2016-01-12,46677
2016-01-13,45480
2016-01-14,44830
2016-01-15,43248
2016-01-16,42659
2016-01-17,42886
2016-01-18,43736
2016-01-19,43632
2016-01-20,43321
