date_obj,Magic%20stone price
2015-03-26,800000
2015-03-27,800000
2015-03-28,800000
2015-03-29,800000
2015-03-30,800000
2015-03-31,800000
2015-04-01,800000
2015-04-02,800000
2015-04-03,800000
2015-04-04,800000
2015-04-05,800000
2015-04-06,800000
2015-04-07,800000
2015-04-08,800000
2015-04-09,800000
2015-04-10,800000
2015-04-11,800000
2015-04-12,800000
2015-04-13,800000
2015-04-14,800000
2015-04-15,800000
2015-04-16,800000
2015-04-17,800000
2015-04-18,800000
2015-04-19,800000
2015-04-20,800000
2015-04-21,800000
2015-04-22,800000
2015-04-23,800000
2015-04-24,800000
2015-04-25,800000
2015-04-26,800000
2015-04-27,800000
2015-04-28,800000
2015-04-29,800000
2015-04-30,800000
2015-05-01,800000
2015-05-02,800000
2015-05-03,800000
2015-05-04,800000
2015-05-05,800000
2015-05-06,800000
2015-05-07,800000
2015-05-08,800000
2015-05-09,800000
2015-05-10,800000
2015-05-11,800000
2015-05-12,800000
2015-05-13,800000
2015-05-14,800000
2015-05-15,800000
2015-05-16,800000
2015-05-17,800000
2015-05-18,800000
2015-05-19,800000
2015-05-20,800000
2015-05-21,800000
2015-05-22,800000
2015-05-23,800000
2015-05-24,800000
2015-05-25,800000
2015-05-26,800000
2015-05-27,800000
2015-05-28,800000
2015-05-29,800000
2015-05-30,800000
2015-05-31,800000
2015-06-01,800000
2015-06-02,800000
2015-06-03,800000
2015-06-04,800000
2015-06-05,800000
2015-06-06,800000
2015-06-07,800000
2015-06-08,800000
2015-06-09,800000
2015-06-10,800000
2015-06-11,800000
2015-06-12,800000
2015-06-13,800000
2015-06-14,800000
2015-06-15,800000
2015-06-16,800000
2015-06-17,800000
2015-06-18,800000
2015-06-19,800000
2015-06-20,800000
2015-06-21,800000
2015-06-22,800000
2015-06-23,800000
2015-06-24,800000
2015-06-25,800000
2015-06-26,800000
2015-06-27,800000
2015-06-28,800000
2015-06-29,800000
2015-06-30,800000
2015-07-01,800000
2015-07-02,800000
2015-07-03,800000
2015-07-04,800000
2015-07-05,800000
2015-07-06,800000
2015-07-07,800000
2015-07-08,800000
2015-07-09,800000
2015-07-10,800000
2015-07-11,800000
2015-07-12,800000
2015-07-13,800000
2015-07-14,800000
2015-07-15,800000
2015-07-16,800000
2015-07-17,800000
2015-07-18,800000
2015-07-19,800000
2015-07-20,800000
2015-07-21,800000
2015-07-22,800000
2015-07-23,800000
2015-07-24,800000
2015-07-25,800000
2015-07-26,800000
2015-07-27,800000
2015-07-28,800000
2015-07-29,800000
2015-07-30,800000
2015-07-31,800000
2015-08-01,800000
2015-08-02,800000
2015-08-03,800000
2015-08-04,800000
2015-08-05,800000
2015-08-06,800000
2015-08-07,800000
2015-08-08,800000
2015-08-09,800000
2015-08-10,800000
2015-08-11,800000
2015-08-12,800000
2015-08-13,800000
2015-08-14,800000
2015-08-15,800000
2015-08-16,800000
2015-08-17,800000
2015-08-18,800000
2015-08-19,800000
2015-08-20,800000
2015-08-21,800000
2015-08-22,800000
2015-08-23,800000
2015-08-24,800000
2015-08-25,800000
2015-08-26,800000
2015-08-27,800000
2015-08-28,800000
2015-08-29,800000
2015-08-30,800000
2015-08-31,800000
2015-09-01,800000
2015-09-02,800000
2015-09-03,800000
2015-09-04,800000
2015-09-05,800000
2015-09-06,800000
2015-09-07,800000
2015-09-08,800000
2015-09-09,800000
2015-09-10,800000
2015-09-11,800000
2015-09-12,800000
2015-09-13,800000
2015-09-14,800000
2015-09-15,800000
2015-09-16,800000
2015-09-17,800000
2015-09-18,800000
2015-09-19,800000
2015-09-20,800000
2015-09-21,800000
2015-09-22,800000
2015-09-23,800000
2015-09-24,800000
2015-09-25,800000
2015-09-27,800000
2015-09-28,800000
2015-09-29,800000
2015-09-30,800000
2015-10-05,800000
2015-10-06,800000
2015-10-07,800000
2015-10-08,800000
2015-10-09,800000
2015-10-10,800000
2015-10-11,800000
2015-10-12,800000
2015-10-13,800000
2015-10-14,800000
2015-10-15,800000
2015-10-16,800000
2015-10-17,800000
2015-10-18,800000
2015-10-19,800000
2015-10-20,800000
2015-10-22,800000
2015-10-23,800000
2015-10-24,800000
2015-10-25,800000
2015-10-26,800000
2015-10-27,800000
2015-10-29,800000
2015-10-30,800000
2015-10-31,800000
2015-11-01,800000
2015-11-02,800000
2015-11-03,800000
2015-11-04,800000
2015-11-05,800000
2015-11-06,800000
2015-11-07,800000
2015-11-08,800000
2015-11-09,800000
2015-11-10,800000
2015-11-11,800000
2015-11-12,800000
2015-11-13,800000
2015-11-14,800000
2015-11-15,800000
2015-11-16,800000
2015-11-17,800000
2015-11-18,800000
2015-11-19,800000
2015-11-20,800000
2015-11-21,800000
2015-11-22,800000
2015-11-23,800000
2015-11-24,800000
2015-11-25,800000
2015-11-26,800000
2015-11-27,800000
2015-11-28,800000
2015-11-29,800000
2015-11-30,800000
2015-12-01,800000
2015-12-02,800000
2015-12-03,800000
2015-12-04,800000
2015-12-05,800000
2015-12-06,800000
2015-12-07,800000
2015-12-08,800000
2015-12-09,800000
2015-12-10,800000
2015-12-11,800000
2015-12-12,831718
2015-12-13,831718
2015-12-14,831718
2015-12-15,831718
2015-12-16,831718
2015-12-17,831718
2015-12-18,831718
2015-12-19,831718
2015-12-20,831718
2015-12-21,831718
2015-12-22,831718
2015-12-23,831718
2015-12-24,831718
2015-12-25,831718
2015-12-26,831718
2015-12-27,831718
2015-12-28,831718
2015-12-29,831718
2015-12-30,831718
2015-12-31,831718
2016-01-01,831718
2016-01-02,831718
2016-01-03,831718
2016-01-04,831718
2016-01-05,831718
2016-01-06,831718
2016-01-07,831718
2016-01-08,831718
2016-01-09,831718
2016-01-10,831718
2016-01-11,831718
2016-01-12,831718
2016-01-13,831718
