date_obj,Bob's%20green%20shirt price
2015-03-26,14856
2015-03-27,14856
2015-03-28,14195
2015-03-29,14195
2015-03-30,13527
2015-03-31,13527
2015-04-01,13527
2015-04-02,12902
2015-04-03,12902
2015-04-04,12902
2015-04-05,12288
2015-04-06,12288
2015-04-07,12288
2015-04-08,11702
2015-04-09,11702
2015-04-10,11702
2015-04-11,11174
2015-04-12,11174
2015-04-13,11174
2015-04-14,10701
2015-04-15,10701
2015-04-16,10701
2015-04-17,10224
2015-04-18,10224
2015-04-19,10224
2015-04-20,10224
2015-04-21,9775
2015-04-22,9775
2015-04-23,9775
2015-04-24,9775
2015-04-25,9329
2015-04-26,9329
2015-04-27,9329
2015-04-28,8923
2015-04-29,8923
2015-04-30,8923
2015-05-01,8523
2015-05-02,8523
2015-05-03,8523
2015-05-04,8523
2015-05-05,8133
2015-05-06,8133
2015-05-07,8133
2015-05-08,8133
2015-05-09,7762
2015-05-10,7762
2015-05-11,7762
2015-05-12,7515
2015-05-13,7515
2015-05-14,7515
2015-05-15,7515
2015-05-16,7515
2015-05-17,7160
2015-05-18,7160
2015-05-19,7160
2015-05-20,7160
2015-05-21,7160
2015-05-22,7160
2015-05-23,6802
2015-05-24,6802
2015-05-25,6802
2015-05-26,6513
2015-05-27,6513
2015-05-28,6513
2015-05-29,6513
2015-05-30,6513
2015-05-31,6238
2015-06-01,6238
2015-06-02,6238
2015-06-03,6238
2015-06-04,6238
2015-06-05,6238
2015-06-06,5973
2015-06-07,5973
2015-06-08,5973
2015-06-09,5973
2015-06-10,5973
2015-06-11,5973
2015-06-12,5700
2015-06-13,5700
2015-06-14,5700
2015-06-15,5700
2015-06-16,5700
2015-06-17,5700
2015-06-18,5459
2015-06-19,5459
2015-06-20,5459
2015-06-21,5459
2015-06-22,5459
2015-06-23,5459
2015-06-24,5198
2015-06-25,5198
2015-06-26,5198
2015-06-27,5198
2015-06-28,5198
2015-06-29,5198
2015-06-30,5114
2015-07-01,5114
2015-07-02,5114
2015-07-03,5114
2015-07-04,5114
2015-07-05,5114
2015-07-06,4990
2015-07-07,4990
2015-07-08,4990
2015-07-09,4990
2015-07-10,4990
2015-07-11,4990
2015-07-12,4803
2015-07-13,4803
2015-07-14,4803
2015-07-15,4803
2015-07-16,4803
2015-07-17,4658
2015-07-18,4658
2015-07-19,4658
2015-07-20,4658
2015-07-21,4658
2015-07-22,4658
2015-07-23,4859
2015-07-24,4859
2015-07-25,4859
2015-07-26,4859
2015-07-27,4859
2015-07-28,4859
2015-07-29,4963
2015-07-30,4963
2015-07-31,4963
2015-08-01,4963
2015-08-02,4963
2015-08-03,4963
2015-08-04,4819
2015-08-05,4819
2015-08-06,4819
2015-08-07,4819
2015-08-08,4819
2015-08-09,4659
2015-08-10,4659
2015-08-11,4659
2015-08-12,4659
2015-08-13,4659
2015-08-14,4659
2015-08-15,4563
2015-08-16,4563
2015-08-17,4563
2015-08-18,4563
2015-08-19,4563
2015-08-20,4563
2015-08-21,4407
2015-08-22,4407
2015-08-23,4407
2015-08-24,4407
2015-08-25,4407
2015-08-26,4407
2015-08-27,4233
2015-08-28,4233
2015-08-29,4233
2015-08-30,4233
2015-08-31,4233
2015-09-01,4233
2015-09-02,4233
2015-09-03,4110
2015-09-04,4110
2015-09-05,4110
2015-09-06,4110
2015-09-07,4110
2015-09-08,4110
2015-09-09,4110
2015-09-10,4211
2015-09-11,4211
2015-09-12,4211
2015-09-13,4211
2015-09-14,4211
2015-09-15,4268
2015-09-16,4268
2015-09-17,4268
2015-09-18,4268
2015-09-19,4268
2015-09-20,4268
2015-09-21,4268
2015-09-22,4126
2015-09-23,4126
2015-09-24,4126
2015-09-25,4126
2015-09-27,4126
2015-09-28,4126
2015-09-29,4152
2015-09-30,4152
2015-10-05,4350
2015-10-06,4350
2015-10-07,4350
2015-10-08,4350
2015-10-09,4350
2015-10-10,4350
2015-10-11,4350
2015-10-12,4471
2015-10-13,4471
2015-10-14,4471
2015-10-15,4471
2015-10-16,4471
2015-10-17,4471
2015-10-18,4271
2015-10-19,4271
2015-10-20,4271
2015-10-22,4271
2015-10-23,4271
2015-10-24,4271
2015-10-25,4156
2015-10-26,4156
2015-10-27,4156
2015-10-29,4156
2015-10-30,4156
2015-10-31,4156
2015-11-01,4156
2015-11-02,3974
2015-11-03,3974
2015-11-04,3974
2015-11-05,3974
2015-11-06,3974
2015-11-07,3974
