date_obj,Yellow%20dark%20bow%20paint price
2015-03-26,210000
2015-03-27,210000
2015-03-28,210000
2015-03-29,210000
2015-03-30,210000
2015-03-31,210000
2015-04-01,210000
2015-04-02,210000
2015-04-03,210000
2015-04-04,210000
2015-04-05,210000
2015-04-06,210000
2015-04-07,210000
2015-04-08,210000
2015-04-09,210000
2015-04-10,210000
2015-04-11,210000
2015-04-12,210000
2015-04-13,210000
2015-04-14,210000
2015-04-15,210000
2015-04-16,210000
2015-04-17,210000
2015-04-18,210000
2015-04-19,210000
2015-04-20,210000
2015-04-21,210000
2015-04-22,210000
2015-04-23,210000
2015-04-24,210000
2015-04-25,210000
2015-04-26,210000
2015-04-27,210000
2015-04-28,210000
2015-04-29,210000
2015-04-30,202099
2015-05-01,202099
2015-05-02,202099
2015-05-03,202099
2015-05-04,202099
2015-05-05,202099
2015-05-06,202099
2015-05-07,202099
2015-05-08,202099
2015-05-09,202099
2015-05-10,202099
2015-05-11,202099
2015-05-12,202099
2015-05-13,202099
2015-05-14,202099
2015-05-15,202099
2015-05-16,202099
2015-05-17,202099
2015-05-18,202099
2015-05-19,202099
2015-05-20,202099
2015-05-21,202099
2015-05-22,202099
2015-05-23,202099
2015-05-24,202099
2015-05-25,202099
2015-05-26,202099
2015-05-27,202099
2015-05-28,202099
2015-05-29,202099
2015-05-30,202099
2015-05-31,202099
2015-06-01,202099
2015-06-02,202099
2015-06-03,202099
2015-06-04,202099
2015-06-05,192847
2015-06-06,192847
2015-06-07,192847
2015-06-08,192847
2015-06-09,192847
2015-06-10,192847
2015-06-11,192847
2015-06-12,192847
2015-06-13,192847
2015-06-14,192847
2015-06-15,192847
2015-06-16,192847
2015-06-17,192847
2015-06-18,192847
2015-06-19,192847
2015-06-20,192847
2015-06-21,192847
2015-06-22,192847
2015-06-23,192847
2015-06-24,192847
2015-06-25,192847
2015-06-26,192847
2015-06-27,192847
2015-06-28,192847
2015-06-29,192847
2015-06-30,192847
2015-07-01,192847
2015-07-02,192847
2015-07-03,192847
2015-07-04,192847
2015-07-05,192847
