date_obj,Guthix%20kiteshield price
2015-03-26,67565
2015-03-27,64878
2015-03-28,64878
2015-03-29,64878
2015-03-30,61743
2015-03-31,61743
2015-04-01,61743
2015-04-02,58836
2015-04-03,58836
2015-04-04,56903
2015-04-05,56903
2015-04-06,56903
2015-04-07,54553
2015-04-08,54553
2015-04-09,54553
2015-04-10,53549
2015-04-11,53549
2015-04-12,53549
2015-04-13,52126
2015-04-14,52126
2015-04-15,52126
2015-04-16,51031
2015-04-17,51031
2015-04-18,51031
2015-04-19,49584
2015-04-20,49584
2015-04-21,49584
2015-04-22,48117
2015-04-23,48117
2015-04-24,46369
2015-04-25,46369
2015-04-26,46369
2015-04-27,45718
2015-04-28,45718
2015-04-29,45718
2015-04-30,45966
2015-05-01,45966
2015-05-02,45966
2015-05-03,45782
2015-05-04,45782
2015-05-05,45782
2015-05-06,46036
2015-05-07,46036
2015-05-08,46036
2015-05-09,46053
2015-05-10,46053
2015-05-11,46053
2015-05-12,45679
2015-05-13,45679
2015-05-14,45679
2015-05-15,44891
2015-05-16,44891
2015-05-17,44891
2015-05-18,44456
2015-05-19,44456
2015-05-20,44456
2015-05-21,44456
2015-05-22,43497
2015-05-23,43497
2015-05-24,43497
2015-05-25,43049
2015-05-26,43049
2015-05-27,43049
2015-05-28,43760
2015-05-29,43760
2015-05-30,44033
2015-05-31,44033
2015-06-01,43488
2015-06-02,43488
2015-06-03,43030
2015-06-04,43030
2015-06-05,42063
2015-06-06,42063
2015-06-07,41497
2015-06-08,41497
2015-06-09,41680
2015-06-10,41680
2015-06-11,42696
2015-06-12,42696
2015-06-13,42684
2015-06-14,42684
2015-06-15,42276
2015-06-16,42276
2015-06-17,42692
2015-06-18,42692
2015-06-19,42297
2015-06-20,42297
2015-06-21,42165
2015-06-22,42165
2015-06-23,42101
2015-06-24,42101
2015-06-25,42569
2015-06-26,42569
2015-06-27,40846
2015-06-28,40846
2015-06-29,40687
2015-06-30,40687
2015-07-01,41228
2015-07-02,41228
