date_obj,Bullseye%20lantern%20(unf) price
2015-03-04,8000
2015-03-05,8000
2015-03-06,7622
2015-03-07,7622
2015-03-08,7622
2015-03-09,7622
2015-03-10,7622
2015-03-11,7622
2015-03-12,7622
2015-03-13,7622
2015-03-14,7247
2015-03-15,7247
2015-03-16,7247
2015-03-17,7247
2015-03-18,7247
2015-03-19,7247
2015-03-20,7247
2015-03-21,7247
2015-03-22,6892
2015-03-23,6892
2015-03-24,6892
2015-03-25,6892
2015-03-26,6892
2015-03-27,6892
2015-03-28,6892
2015-03-29,6892
2015-03-30,6551
2015-03-31,6551
2015-04-01,6551
2015-04-02,6551
2015-04-03,6551
2015-04-04,6551
2015-04-05,6237
2015-04-06,6237
2015-04-07,6237
2015-04-08,6237
2015-04-09,6237
2015-04-10,6237
2015-04-11,6237
2015-04-12,5927
2015-04-13,5927
2015-04-14,5927
2015-04-15,5927
2015-04-16,5927
2015-04-17,5927
2015-04-18,5927
2015-04-19,5637
2015-04-20,5637
2015-04-21,5637
2015-04-22,5637
2015-04-23,5637
2015-04-24,5637
2015-04-25,5637
2015-04-26,5637
2015-04-27,5358
2015-04-28,5358
2015-04-29,5358
2015-04-30,5358
2015-05-01,5358
2015-05-02,5358
2015-05-03,5358
2015-05-04,5097
2015-05-05,5097
2015-05-06,5097
2015-05-07,5097
2015-05-08,5097
2015-05-09,5097
2015-05-10,5097
2015-05-11,4850
2015-05-12,4850
2015-05-13,4850
2015-05-14,4850
2015-05-15,4850
2015-05-16,4850
2015-05-17,4850
2015-05-18,4630
2015-05-19,4630
2015-05-20,4630
2015-05-21,4630
2015-05-22,4630
2015-05-23,4630
2015-05-24,4630
2015-05-25,4630
2015-05-26,4447
2015-05-27,4447
2015-05-28,4447
2015-05-29,4447
2015-05-30,4447
2015-05-31,4230
2015-06-01,4230
2015-06-02,4230
2015-06-03,4230
2015-06-04,4230
2015-06-05,4230
2015-06-06,4020
2015-06-07,4020
2015-06-08,4020
2015-06-09,4020
2015-06-10,4020
2015-06-11,4020
2015-06-12,3828
2015-06-13,3828
2015-06-14,3828
2015-06-15,3828
2015-06-16,3828
2015-06-17,3828
2015-06-18,3646
2015-06-19,3646
2015-06-20,3646
2015-06-21,3646
2015-06-22,3646
2015-06-23,3646
2015-06-24,3469
2015-06-25,3469
2015-06-26,3469
2015-06-27,3469
2015-06-28,3469
2015-06-29,3469
2015-06-30,3300
2015-07-01,3300
2015-07-02,3300
2015-07-03,3300
2015-07-04,3300
2015-07-05,3300
2015-07-06,3157
2015-07-07,3157
2015-07-08,3157
2015-07-09,3157
2015-07-10,3157
2015-07-11,3018
2015-07-12,3018
2015-07-13,3018
2015-07-14,3018
2015-07-15,3018
2015-07-16,2869
2015-07-17,2869
2015-07-18,2869
2015-07-19,2869
2015-07-20,2869
2015-07-21,2727
2015-07-22,2727
2015-07-23,2727
