date_obj,Rune%20full%20helm%20(t) price
2015-03-26,37337
2015-03-27,37337
2015-03-28,36357
2015-03-29,36357
2015-03-30,35534
2015-03-31,35534
2015-04-01,35534
2015-04-02,34684
2015-04-03,34684
2015-04-04,33692
2015-04-05,33692
2015-04-06,33692
2015-04-07,32824
2015-04-08,32824
2015-04-09,32824
2015-04-10,32052
2015-04-11,32052
2015-04-12,31405
2015-04-13,31405
2015-04-14,31405
2015-04-15,30444
2015-04-16,30444
2015-04-17,30444
2015-04-18,29547
2015-04-19,29547
2015-04-20,29547
2015-04-21,28448
2015-04-22,28448
2015-04-23,27408
2015-04-24,27408
2015-04-25,27408
2015-04-26,26854
2015-04-27,26854
2015-04-28,25926
2015-04-29,25926
2015-04-30,25926
2015-05-01,25383
2015-05-02,25383
2015-05-03,25383
2015-05-04,24871
2015-05-05,24871
2015-05-06,24541
2015-05-07,24541
2015-05-08,24541
2015-05-09,24144
2015-05-10,24144
2015-05-11,24144
2015-05-12,24079
2015-05-13,24079
2015-05-14,24079
2015-05-15,24380
2015-05-16,24380
2015-05-17,24622
2015-05-18,24622
2015-05-19,24622
2015-05-20,24622
2015-05-21,24753
2015-05-22,24753
2015-05-23,24753
2015-05-24,24817
2015-05-25,24817
2015-05-26,24799
2015-05-27,24799
2015-05-28,24353
2015-05-29,24353
2015-05-30,24247
2015-05-31,24247
2015-06-01,24403
2015-06-02,24403
2015-06-03,24362
2015-06-04,24362
2015-06-05,24275
2015-06-06,24275
2015-06-07,23960
2015-06-08,23960
2015-06-09,24200
2015-06-10,24200
2015-06-11,24495
2015-06-12,24495
2015-06-13,24140
2015-06-14,24140
2015-06-15,23806
2015-06-16,23806
2015-06-17,23750
2015-06-18,23750
2015-06-19,23683
2015-06-20,23683
2015-06-21,23793
2015-06-22,23793
2015-06-23,23911
2015-06-24,23911
2015-06-25,24382
2015-06-26,24382
2015-06-27,24533
2015-06-28,24533
2015-06-29,24365
2015-06-30,24365
2015-07-01,24495
2015-07-02,24495
2015-07-03,24702
2015-07-04,24702
2015-07-05,24523
2015-07-06,24523
2015-07-07,24060
2015-07-08,23603
2015-07-09,23603
2015-07-10,23311
2015-07-11,23311
2015-07-12,23442
2015-07-13,23442
2015-07-14,23436
2015-07-15,23436
2015-07-16,23472
2015-07-17,23472
2015-07-18,23629
2015-07-19,23629
2015-07-20,23709
2015-07-21,23709
2015-07-22,23749
2015-07-23,23749
2015-07-24,23399
2015-07-25,23399
2015-07-26,23297
2015-07-27,23297
2015-07-28,23149
2015-07-29,23140
2015-07-30,23140
2015-07-31,23175
2015-08-01,23175
2015-08-02,23142
2015-08-03,23142
2015-08-04,23324
2015-08-05,23616
2015-08-06,23616
2015-08-07,23574
2015-08-08,23574
2015-08-09,23678
2015-08-10,23678
2015-08-11,23997
2015-08-12,23997
2015-08-13,24334
2015-08-14,24447
2015-08-15,24447
2015-08-16,24468
2015-08-17,24468
2015-08-18,24449
2015-08-19,24706
2015-08-20,24706
2015-08-21,24503
2015-08-22,24503
2015-08-23,24861
2015-08-24,24861
2015-08-25,24926
2015-08-26,24926
2015-08-27,24684
2015-08-28,24684
2015-08-29,24514
2015-08-30,24514
2015-08-31,24847
2015-09-01,24847
2015-09-02,24847
2015-09-03,25405
2015-09-04,25405
2015-09-05,25226
2015-09-06,25226
2015-09-07,24741
2015-09-08,24741
2015-09-09,24587
2015-09-10,24587
2015-09-11,24400
2015-09-12,24400
2015-09-13,24092
2015-09-14,24092
2015-09-15,24292
2015-09-16,24292
2015-09-17,24234
2015-09-18,24234
2015-09-19,24573
2015-09-20,24573
2015-09-21,24452
2015-09-22,24452
2015-09-23,24248
2015-09-24,24248
2015-09-25,24248
2015-09-27,23995
2015-09-28,24265
2015-09-29,24265
2015-09-30,24297
2015-10-05,24456
2015-10-06,24456
2015-10-07,24608
2015-10-08,24608
2015-10-09,25034
2015-10-10,25034
2015-10-11,25194
2015-10-12,25194
2015-10-13,25194
2015-10-14,25485
2015-10-15,25485
2015-10-16,25073
2015-10-17,25073
2015-10-18,25073
2015-10-19,25222
2015-10-20,25222
2015-10-22,25755
2015-10-23,25755
2015-10-24,26478
2015-10-25,26478
2015-10-26,26582
2015-10-27,26582
2015-10-29,26805
2015-10-30,26805
2015-10-31,27274
2015-11-01,27274
2015-11-02,27128
2015-11-03,27128
2015-11-04,27128
2015-11-05,26918
2015-11-06,26918
2015-11-07,26043
2015-11-08,26043
2015-11-09,26043
2015-11-10,25832
2015-11-11,25832
2015-11-12,25570
2015-11-13,25570
2015-11-14,25570
2015-11-15,25575
2015-11-16,25575
2015-11-17,25525
2015-11-18,25525
2015-11-19,25023
2015-11-20,25023
2015-11-21,25023
2015-11-22,25337
2015-11-23,25337
2015-11-24,25337
2015-11-25,25329
2015-11-26,25329
2015-11-27,25329
2015-11-28,25725
2015-11-29,25725
2015-11-30,25935
2015-12-01,25935
2015-12-02,25935
2015-12-03,26324
2015-12-04,26324
2015-12-05,26324
2015-12-06,26844
2015-12-07,26844
2015-12-08,26844
2015-12-09,27322
2015-12-10,27322
2015-12-11,27313
2015-12-12,27313
2015-12-13,27765
2015-12-14,27765
2015-12-15,27461
2015-12-16,27461
2015-12-17,27804
2015-12-18,27804
2015-12-19,27811
2015-12-20,27811
2015-12-21,27737
2015-12-22,27737
2015-12-23,28190
2015-12-24,28190
2015-12-25,28449
2015-12-26,28449
2015-12-27,28770
2015-12-28,28770
2015-12-29,28883
2015-12-30,28883
2015-12-31,28875
2016-01-01,28875
2016-01-02,28875
2016-01-03,28873
2016-01-04,28873
2016-01-05,29028
2016-01-06,29028
2016-01-07,29113
2016-01-08,29113
2016-01-09,29053
2016-01-10,29053
2016-01-11,28761
2016-01-12,28761
