date_obj,Sickle%20mould price
2015-03-26,872
2015-03-27,872
2015-03-28,854
2015-03-29,854
2015-03-30,854
2015-03-31,854
2015-04-01,854
2015-04-02,854
2015-04-03,854
2015-04-04,822
2015-04-05,822
2015-04-06,822
2015-04-07,822
2015-04-08,822
2015-04-09,822
2015-04-10,822
2015-04-11,822
2015-04-12,822
2015-04-13,822
2015-04-14,822
2015-04-15,822
2015-04-16,822
2015-04-17,802
2015-04-18,802
2015-04-19,802
2015-04-20,802
2015-04-21,802
2015-04-22,802
2015-04-23,802
2015-04-24,802
2015-04-25,802
2015-04-26,802
2015-04-27,802
2015-04-28,802
2015-04-29,802
2015-04-30,802
2015-05-01,782
2015-05-02,782
2015-05-03,782
2015-05-04,782
2015-05-05,782
2015-05-06,782
2015-05-07,782
2015-05-08,782
2015-05-09,782
2015-05-10,782
2015-05-11,782
2015-05-12,782
2015-05-13,782
2015-05-14,743
2015-05-15,743
2015-05-16,743
2015-05-17,743
2015-05-18,743
2015-05-19,743
2015-05-20,743
2015-05-21,743
2015-05-22,743
2015-05-23,743
2015-05-24,743
2015-05-25,743
2015-05-26,743
2015-05-27,743
2015-05-28,705
2015-05-29,705
2015-05-30,705
2015-05-31,705
2015-06-01,705
2015-06-02,705
2015-06-03,705
2015-06-04,705
2015-06-05,671
2015-06-06,671
2015-06-07,671
2015-06-08,671
2015-06-09,671
2015-06-10,671
2015-06-11,671
2015-06-12,671
2015-06-13,671
2015-06-14,671
2015-06-15,671
2015-06-16,639
2015-06-17,639
2015-06-18,639
2015-06-19,639
2015-06-20,639
2015-06-21,639
2015-06-22,639
2015-06-23,639
2015-06-24,639
2015-06-25,639
2015-06-26,613
2015-06-27,613
2015-06-28,613
2015-06-29,613
2015-06-30,613
2015-07-01,613
2015-07-02,613
2015-07-03,613
2015-07-04,613
2015-07-05,613
2015-07-06,613
2015-07-07,613
2015-07-08,586
2015-07-09,586
2015-07-10,586
2015-07-11,586
2015-07-12,586
2015-07-13,586
2015-07-14,586
2015-07-15,586
2015-07-16,586
2015-07-17,562
2015-07-18,562
2015-07-19,562
2015-07-20,562
2015-07-21,562
2015-07-22,562
2015-07-23,562
2015-07-24,562
2015-07-25,562
2015-07-26,562
2015-07-27,562
2015-07-28,541
2015-07-29,541
2015-07-30,541
2015-07-31,541
2015-08-01,541
2015-08-02,541
2015-08-03,541
2015-08-04,541
2015-08-05,541
2015-08-06,541
2015-08-07,541
2015-08-08,541
2015-08-09,523
