date_obj,Rune%20shield%20(h1) price
2015-03-26,40818
2015-03-27,40818
2015-03-28,39589
2015-03-29,38362
2015-03-30,38416
2015-03-31,38969
2015-04-01,38226
2015-04-02,38155
2015-04-03,37958
2015-04-04,38044
2015-04-05,37408
2015-04-06,37442
2015-04-07,37106
2015-04-08,38312
2015-04-09,38996
2015-04-10,40187
2015-04-11,39173
2015-04-12,38257
2015-04-13,38847
2015-04-14,40425
2015-04-15,41651
2015-04-16,42172
2015-04-17,41145
2015-04-18,39854
2015-04-19,38904
2015-04-20,39228
2015-04-21,38215
2015-04-22,38301
2015-04-23,38124
2015-04-24,37857
2015-04-25,38007
2015-04-26,37164
2015-04-27,37052
2015-04-28,36453
2015-04-29,36453
2015-04-30,36419
2015-05-01,37389
2015-05-02,37275
2015-05-03,37476
2015-05-04,37456
2015-05-05,37059
2015-05-06,36658
2015-05-07,36677
2015-05-08,36631
2015-05-09,36452
2015-05-10,36100
2015-05-11,36100
2015-05-12,35825
2015-05-13,37257
2015-05-14,38005
2015-05-15,37230
2015-05-16,38304
2015-05-17,37663
2015-05-18,37754
2015-05-19,37111
2015-05-20,37111
2015-05-21,37601
2015-05-22,37354
2015-05-23,37735
2015-05-24,37855
2015-05-25,38970
2015-05-26,40415
2015-05-27,40921
2015-05-28,41566
2015-05-29,41367
2015-05-30,40999
2015-05-31,40518
2015-06-01,39836
2015-06-02,39836
2015-06-03,39478
2015-06-04,39411
2015-06-05,39115
2015-06-06,38110
2015-06-07,37417
2015-06-08,37655
2015-06-09,37200
2015-06-10,36822
2015-06-11,36677
2015-06-12,36342
2015-06-13,36020
2015-06-14,35726
2015-06-15,36031
2015-06-16,35504
2015-06-17,35458
2015-06-18,35130
2015-06-19,34849
2015-06-20,34946
2015-06-21,35723
2015-06-22,35659
2015-06-23,35448
2015-06-24,35674
2015-06-25,35674
2015-06-26,35513
2015-06-27,35513
2015-06-28,35150
2015-06-29,35096
2015-06-30,34492
2015-07-01,34356
2015-07-02,34356
2015-07-03,34898
2015-07-04,35701
2015-07-05,36516
2015-07-06,36627
2015-07-07,36582
2015-07-08,36486
2015-07-09,36486
2015-07-10,36417
2015-07-11,36292
2015-07-12,36433
2015-07-13,36269
2015-07-14,36140
2015-07-15,36459
2015-07-16,36328
2015-07-17,35866
2015-07-18,35691
2015-07-19,34754
2015-07-20,34496
2015-07-21,33994
2015-07-22,33723
2015-07-23,33723
2015-07-24,32660
2015-07-25,32660
2015-07-26,32007
