date_obj,Amulet%20of%20torture price
2019-12-06,15393260
2019-12-07,15386134
2019-12-08,15534843
2019-12-09,15486806
2019-12-10,15488056
2019-12-11,15461500
2019-12-12,15392551
2019-12-13,15302490
2019-12-14,15455129
2019-12-15,15597552
2019-12-16,15535836
2019-12-17,15486521
2019-12-18,15478890
2019-12-19,15497601
2019-12-20,15490089
2019-12-21,15473123
2019-12-22,15432837
2019-12-23,15408756
2019-12-24,15440145
2019-12-25,15484131
2019-12-26,15526307
2019-12-27,15573370
2019-12-28,15602382
2019-12-29,15602593
2019-12-30,15548632
2019-12-31,15509287
2020-01-01,15598693
2020-01-02,15682416
2020-01-03,15659121
2020-01-04,15842908
2020-01-05,15745200
2020-01-06,15653165
2020-01-07,15567923
2020-01-08,15602302
2020-01-09,15536943
2020-01-10,15570528
2020-01-11,15673392
2020-01-12,15812878
2020-01-13,15858103
2020-01-14,15821776
2020-01-15,15810531
2020-01-16,15814618
2020-01-17,15974469
2020-01-18,16170407
2020-01-19,16190470
2020-01-20,16137815
2020-01-21,16293438
2020-01-22,16186023
2020-01-23,16156881
2020-01-24,16155930
2020-01-25,16208768
2020-01-26,16382622
2020-01-27,16489648
2020-01-28,16501544
2020-01-29,16586505
2020-01-30,16529534
2020-01-31,16516576
2020-02-01,16582539
2020-02-02,16597505
2020-02-03,16583952
2020-02-04,16572005
2020-02-05,16624451
2020-02-06,16623495
2020-02-07,16256612
2020-02-08,15876722
2020-02-09,15856362
2020-02-10,15670851
2020-02-11,15570626
2020-02-12,15544401
2020-02-13,15580607
2020-02-14,15581654
2020-02-15,15739636
2020-02-16,15728997
2020-02-17,15805470
2020-02-18,15727779
2020-02-19,15630473
2020-02-20,15605031
2020-02-21,15551172
2020-02-22,15543413
2020-02-23,15524614
2020-02-24,15514515
2020-02-25,15496058
2020-02-26,15481023
2020-02-27,15567959
2020-02-28,15687181
2020-02-29,15749155
2020-03-01,15948379
2020-03-02,15866673
2020-03-03,15899523
2020-03-04,15717442
2020-03-05,15719299
2020-03-06,15820767
2020-03-07,15901022
2020-03-08,15929465
2020-03-09,15925137
2020-03-10,15898907
2020-03-11,16072117
2020-03-12,15968154
2020-03-13,15969079
2020-03-14,16054933
2020-03-15,16190436
2020-03-16,16366835
2020-03-17,16328805
2020-03-18,16398741
2020-03-19,16583644
2020-03-20,16702293
2020-03-21,16965991
2020-03-22,17054112
2020-03-23,17061023
2020-03-24,17210663
2020-03-25,17342485
2020-03-26,17314767
2020-03-27,17321959
2020-03-28,17326426
2020-03-29,17312171
2020-03-30,17406071
2020-03-31,17695900
2020-04-01,17711467
2020-04-02,18046095
2020-04-03,18064332
2020-04-04,18079295
2020-04-05,18104618
2020-04-06,18123283
2020-04-07,18031046
2020-04-08,17956288
2020-04-09,17896916
2020-04-10,17915756
2020-04-11,17971511
2020-04-12,17996118
2020-04-13,18020242
2020-04-14,18120003
2020-04-15,18203014
2020-04-16,18284091
2020-04-17,18260650
2020-04-18,18333596
2020-04-19,18342165
2020-04-20,18305401
2020-04-21,18279152
2020-04-22,18176555
2020-04-23,17994225
2020-04-24,17837591
2020-04-25,17727990
2020-04-26,17660780
2020-04-27,17600149
2020-04-28,17557312
2020-04-29,17528172
2020-04-30,17557134
2020-05-01,17469398
2020-05-02,17545412
2020-05-03,17567080
2020-05-04,17612599
2020-05-05,17684527
2020-05-06,17778090
2020-05-07,17827129
2020-05-08,18158190
2020-05-09,18271196
2020-05-10,18292705
2020-05-11,18364489
2020-05-12,18417364
2020-05-13,18380820
