date_obj,Amulet%20of%20torture price
2017-03-23,14616581
2017-03-24,14508382
2017-03-25,14355932
2017-03-26,14271544
2017-03-27,14307074
2017-03-28,14312461
2017-03-29,14244009
2017-03-30,14171037
2017-03-31,14156529
2017-04-01,14288054
2017-04-02,14284227
2017-04-03,14233243
2017-04-04,14209088
2017-04-05,14168200
2017-04-12,14603752
2017-04-13,14765622
2017-04-14,14918524
2017-04-15,15038634
2017-04-16,15053467
2017-04-17,14910591
2017-04-18,14789150
2017-04-19,14882099
2017-04-20,15122479
2017-04-21,15342547
2017-04-22,15386996
2017-04-23,15309442
2017-04-24,15188667
2017-04-25,15174218
2017-04-26,15091490
2017-04-27,15113832
2017-04-28,15111854
2017-04-29,15167953
2017-04-30,15314341
2017-05-01,15348348
2017-05-02,15278185
2017-05-03,15309015
2017-05-04,15535260
2017-05-05,15654714
2017-05-06,15746643
2017-05-07,15782440
2017-05-08,15970457
2017-05-09,15999764
2017-05-10,15849509
2017-05-11,15766788
2017-05-12,15761612
2017-05-13,15702873
2017-05-14,15693057
2017-05-15,15679463
2017-05-16,15587441
2017-05-17,15575389
2017-05-18,15469425
2017-05-19,15463393
2017-05-20,15379847
2017-05-21,15350996
2017-05-22,15210588
2017-05-23,15079546
2017-05-24,14938959
2017-05-25,14235520
2017-05-26,13568602
2017-05-27,13238179
2017-05-28,13808991
2017-05-29,13699010
2017-05-30,13559110
2017-05-31,13329217
2017-06-01,12798610
2017-06-02,12273878
2017-06-03,11911358
2017-06-04,11906715
2017-06-05,11755740
2017-06-06,11692389
2017-06-07,11570472
2017-06-08,11517319
2017-06-09,11434134
2017-06-10,10958398
2017-06-11,10410504
2017-06-12,9890573
2017-06-13,10197358
2017-06-14,10707226
2017-06-15,10995016
2017-06-16,10904260
2017-06-17,10917472
2017-06-18,11191084
2017-06-19,11191084
2017-06-20,11568764
2017-06-21,11422830
2017-06-22,11468520
2017-06-23,11559222
2017-06-24,11512688
2017-06-25,11385359
2017-06-26,11267887
2017-06-27,11081143
2017-06-28,11064469
2017-06-29,11017406
2017-06-30,11033971
2017-07-01,10962488
2017-07-02,10910295
2017-07-03,10881128
2017-07-04,10824321
2017-07-05,10824321
2017-07-06,10557977
2017-07-07,10449386
2017-07-08,10416050
2017-07-09,10350474
2017-07-13,9616982
2017-07-14,9774616
2017-07-15,9891237
2017-07-16,10080762
2017-07-17,10168605
2017-07-18,10220310
2017-07-19,10196238
2017-07-20,10293200
2017-07-21,10588156
2017-07-22,10894158
2017-07-23,10967299
2017-07-24,11193050
2017-07-25,11318934
2017-07-26,11476491
2017-07-27,11476671
2017-07-28,11245456
2017-07-29,11076402
2017-07-30,10916715
2017-07-31,10823714
2017-08-01,10909856
2017-08-02,10923813
2017-08-03,11025145
2017-08-04,11062270
2017-08-05,11141956
2017-08-06,11116669
2017-08-07,11037849
2017-08-08,11022833
2017-08-09,11029298
2017-08-10,10977914
2017-08-11,10959801
2017-08-12,10960228
2017-08-13,10963251
2017-08-14,10926743
2017-08-15,10902676
2017-08-16,11012765
2017-08-17,10966015
2017-08-18,11024103
2017-08-19,11114494
2017-08-20,11175557
2017-08-21,11295035
2017-08-22,11292457
2017-08-23,11301187
2017-08-24,11265437
2017-08-25,11436219
2017-08-26,11474571
2017-08-27,11475080
2017-08-28,11501818
2017-08-29,11419306
2017-08-30,11365779
2017-08-31,11484451
2017-09-01,11591718
2017-09-02,11686139
2017-09-03,11759408
2017-09-04,12177635
2017-09-05,12078706
2017-09-06,11966700
2017-09-07,12005997
2017-09-08,11962955
2017-09-09,11938987
2017-09-10,11799345
2017-09-11,11752205
2017-09-12,11633909
2017-09-13,11536628
2017-09-14,11493200
2017-09-15,11422430
2017-09-16,11306606
2017-09-17,11209380
2017-09-18,11137883
2017-09-19,11128391
2017-09-20,11094530
2017-09-22,10962556
2017-09-23,10961071
2017-09-24,10944511
2017-09-25,10925351
2017-09-26,10934057
2017-09-27,11104991
2017-09-28,11100924
2017-09-29,11224210
2017-09-30,11258129
2017-10-01,11232732
2017-10-02,11146994
2017-10-03,11085294
2017-10-04,11041045
2017-10-05,10958602
2017-10-06,10994302
2017-10-07,11051561
2017-10-08,11233385
2017-10-09,11187985
2017-10-10,11228872
2017-10-11,11197472
2017-10-12,11176215
2017-10-13,11339673
2017-10-14,11460651
2017-10-15,11467377
2017-10-16,11506440
2017-10-17,11462635
2017-10-18,11373178
2017-10-19,11376825
2017-10-20,11379173
2017-10-21,11414819
2017-10-22,11446717
2017-10-23,11474472
2017-10-24,11482069
2017-10-25,11508425
2017-10-26,11599234
2017-10-27,11825089
