date_obj,Iron%20set%20(lg) price
2016-02-19,1015
2016-02-20,1018
2016-02-21,1006
2016-02-22,1004
2016-02-23,1013
2016-02-24,1009
2016-02-25,1006
2016-02-26,1007
2016-02-27,1006
2016-02-28,1017
2016-02-29,1034
2016-03-01,1019
2016-03-02,1017
2016-03-03,1005
2016-03-04,989
2016-03-05,977
2016-03-06,967
2016-03-07,964
2016-03-08,946
2016-03-09,956
2016-03-10,957
2016-03-11,949
2016-03-12,943
2016-03-13,965
2016-03-14,956
2016-03-15,958
2016-03-16,964
2016-03-17,966
2016-03-18,942
2016-03-19,942
2016-03-20,952
2016-03-21,946
2016-03-22,932
2016-03-23,915
2016-03-24,917
2016-03-25,946
2016-03-26,935
2016-03-27,941
2016-03-28,921
2016-03-29,906
2016-03-30,921
2016-03-31,928
2016-04-01,945
2016-04-02,922
2016-04-03,927
2016-04-04,924
2016-04-05,944
2016-04-06,957
2016-04-07,966
2016-04-08,974
2016-04-09,940
2016-04-10,935
2016-04-11,948
2016-04-12,942
2016-04-13,962
2016-04-14,983
2016-04-15,974
2016-04-16,960
2016-04-17,948
2016-04-18,948
2016-04-19,951
2016-04-20,986
2016-04-21,1004
2016-04-22,1026
2016-04-23,1031
2016-04-24,1022
2016-04-25,1003
2016-04-26,988
2016-04-27,978
2016-04-28,972
2016-04-29,969
2016-04-30,957
2016-05-01,940
2016-05-02,916
2016-05-03,890
2016-05-04,899
2016-05-05,909
2016-05-06,943
2016-05-07,936
2016-05-08,929
2016-05-09,950
2016-05-10,960
2016-05-11,975
2016-05-12,943
2016-05-13,895
2016-05-14,898
2016-05-15,889
2016-05-16,885
2016-05-17,882
2016-05-18,866
2016-05-19,857
2016-05-22,846
2016-05-23,841
2016-05-24,825
2016-05-25,823
2016-05-26,820
2016-05-27,802
2016-05-28,761
2016-05-29,729
2016-05-30,714
2016-05-31,714
2016-06-01,711
2016-06-02,731
2016-06-03,745
2016-06-04,757
2016-06-05,757
2016-06-06,761
2016-06-07,775
2016-06-08,788
2016-06-09,805
2016-06-10,826
2016-06-11,831
2016-06-12,855
2016-06-13,851
2016-06-14,845
2016-06-15,856
2016-06-16,872
2016-06-17,890
2016-06-18,890
2016-06-19,913
2016-06-20,918
2016-06-21,918
2016-06-22,926
2016-06-23,910
2016-06-24,899
2016-06-25,891
2016-06-26,914
2016-06-27,930
2016-06-28,932
2016-06-29,923
2016-06-30,906
2016-07-01,886
2016-07-02,863
2016-07-03,879
2016-07-04,861
2016-07-05,888
2016-07-06,887
2016-07-07,905
2016-07-08,914
2016-07-09,921
2016-07-10,891
2016-07-11,846
2016-07-12,810
2016-07-13,842
2016-07-14,873
2016-07-15,869
2016-07-16,865
2016-07-17,867
2016-07-18,847
2016-07-23,815
2016-07-24,807
2016-07-25,824
2016-07-26,853
2016-07-27,862
2016-07-28,844
2016-07-29,840
2016-07-30,820
2016-07-31,811
2016-08-01,814
2016-08-02,838
2016-08-03,864
2016-08-04,888
2016-08-05,902
2016-08-06,888
2016-08-07,900
2016-08-08,897
2016-08-09,901
2016-08-10,919
2016-08-11,922
2016-08-12,934
2016-08-13,927
2016-08-14,905
2016-08-15,899
2016-08-16,929
2016-08-17,945
2016-08-18,963
2016-08-19,969
2016-08-20,971
2016-08-21,963
2016-08-22,984
2016-08-23,986
2016-08-24,1000
2016-08-25,998
2016-08-26,1024
2016-08-28,1023
2016-08-31,960
2016-09-01,949
2016-09-02,937
2016-09-03,933
2016-09-04,922
2016-09-05,931
2016-09-06,912
2016-09-07,943
2016-09-08,975
2016-09-09,964
2016-09-10,973
2016-09-11,978
2016-09-12,992
2016-09-13,979
2016-09-14,969
2016-09-15,933
2016-09-16,952
2016-09-17,941
2016-09-18,930
2016-09-19,935
2016-09-20,952
2016-09-21,944
2016-09-22,926
2016-09-23,929
2016-09-24,955
2016-09-25,935
2016-09-26,929
2016-09-27,911
2016-09-28,903
2016-09-29,901
2016-09-30,901
