date_obj,Zamorakian%20spear price
2015-03-26,6706387
2015-03-27,6706387
2015-03-28,6721435
2015-03-29,6721435
2015-03-30,6669862
2015-03-31,6669862
2015-04-01,6655166
2015-04-02,6655166
2015-04-03,6775701
2015-04-04,6775701
2015-04-05,7006963
2015-04-06,7006963
2015-04-07,7101530
2015-04-08,7101530
2015-04-09,7101530
2015-04-10,7074894
2015-04-11,7074894
2015-04-12,7313733
2015-04-13,7313733
2015-04-14,7419388
2015-04-15,7419388
2015-04-16,7467656
2015-04-17,7467656
2015-04-18,7544006
2015-04-19,7544006
2015-04-20,7833749
2015-04-21,7833749
2015-04-22,7951999
2015-04-23,8118603
2015-04-24,8118603
2015-04-25,8433834
2015-04-26,8433834
2015-04-27,8689635
2015-04-28,8425497
2015-04-29,8425497
2015-04-30,8577932
2015-05-01,8577932
2015-05-02,8554007
2015-05-03,8554007
2015-05-04,8364502
2015-05-05,8364502
2015-05-06,8172851
2015-05-07,8172851
2015-05-08,7976592
2015-05-09,7976592
2015-05-10,7855614
2015-05-11,7855614
2015-05-12,7907682
2015-05-13,7907682
2015-05-14,8052626
2015-05-15,8052626
2015-05-16,8274465
2015-05-17,8347464
2015-05-18,8347464
2015-05-19,8494067
2015-05-20,8494067
2015-05-21,8494067
2015-05-22,8545655
2015-05-23,8545655
2015-05-24,8614455
2015-05-25,8655671
2015-05-26,8655671
2015-05-27,8831488
2015-05-28,8882981
2015-05-29,9006813
2015-05-30,8993663
2015-05-31,9151573
2015-06-01,9032234
2015-06-02,9032234
2015-06-03,9137692
2015-06-04,9059252
2015-06-05,9104896
2015-06-06,9247582
2015-06-07,9438705
2015-06-08,9438705
2015-06-09,9290602
2015-06-10,9101402
2015-06-11,9101402
2015-06-12,8768344
2015-06-13,8354504
2015-06-14,8425741
2015-06-15,8219961
2015-06-16,8040923
2015-06-17,8108812
2015-06-18,8105553
2015-06-19,7935203
2015-06-20,7605593
2015-06-21,7293821
2015-06-22,6984601
2015-06-23,7299477
2015-06-24,7160172
2015-06-25,7160172
2015-06-26,6991271
2015-06-27,6991271
2015-06-28,7261696
2015-06-29,7267094
2015-06-30,7349060
2015-07-01,7579546
2015-07-02,7579546
2015-07-03,7637176
2015-07-04,7488440
2015-07-05,7650411
2015-07-06,7591876
2015-07-07,7597003
2015-07-08,7702623
2015-07-09,7702623
2015-07-10,7920680
2015-07-11,7865467
2015-07-12,8121049
2015-07-13,8237480
2015-07-14,8530154
2015-07-15,8830934
2015-07-16,8767518
2015-07-17,8743251
2015-07-18,8904367
2015-07-19,8897780
2015-07-20,8924361
2015-07-21,8857225
2015-07-22,8674270
2015-07-23,8674270
2015-07-24,8510169
2015-07-25,8628504
2015-07-26,8663848
2015-07-27,8525004
2015-07-28,8490585
2015-07-29,8486950
2015-07-30,8486429
2015-07-31,8443544
2015-08-01,8370054
2015-08-02,8268542
2015-08-03,8111893
2015-08-04,8028354
2015-08-05,7896686
2015-08-06,7785094
2015-08-07,7650277
2015-08-08,7535926
2015-08-09,7736916
2015-08-10,7921994
2015-08-11,7803087
2015-08-12,7803087
2015-08-13,7719583
2015-08-14,7699449
2015-08-15,7515433
2015-08-16,7387641
2015-08-17,7386010
2015-08-18,7362365
2015-08-19,7302054
2015-08-20,7294492
2015-08-21,7524934
2015-08-22,7487128
2015-08-23,7433715
2015-08-24,7374467
2015-08-25,7374467
2015-08-26,7432852
2015-08-27,7725479
2015-08-28,8111753
2015-08-29,8504838
2015-08-30,8696601
2015-08-31,8696495
2015-09-01,8592330
2015-09-02,8592330
2015-09-03,8523106
2015-09-04,8448009
2015-09-05,8483268
2015-09-06,8502471
2015-09-07,8581908
2015-09-08,8823010
2015-09-09,8816598
2015-09-10,8739521
2015-09-11,8946296
2015-09-12,8999961
2015-09-13,9310774
2015-09-14,9222085
2015-09-15,9168280
2015-09-16,9168280
2015-09-17,8874686
2015-09-18,8836374
2015-09-19,8803937
2015-09-20,8902080
2015-09-21,8878707
2015-09-22,8775495
2015-09-23,8655303
2015-09-24,8655303
2015-09-25,8672228
2015-09-27,8789550
2015-09-28,8658604
2015-09-29,8587701
2015-09-30,8516152
2015-10-05,7658648
2015-10-06,7754431
2015-10-07,7842477
2015-10-08,8018916
2015-10-09,8165969
2015-10-10,8165969
2015-10-11,8086168
2015-10-12,8158685
2015-10-13,8158685
2015-10-14,8246335
2015-10-15,8344803
2015-10-16,8336284
2015-10-17,8336284
2015-10-18,8466770
2015-10-19,8525077
2015-10-20,8777376
2015-10-22,9058827
2015-10-23,9085540
2015-10-24,9296554
2015-10-25,9331844
2015-10-26,9378471
2015-10-27,9564566
2015-10-29,9285121
2015-10-30,9257855
2015-10-31,9069783
2015-11-01,9069783
2015-11-02,8785448
2015-11-03,8386190
2015-11-05,8010024
2015-11-06,8010024
2015-11-07,8132657
2015-11-08,8132657
2015-11-09,8191712
2015-11-10,8191712
2015-11-11,7883976
2015-11-12,7883976
2015-11-13,7889946
2015-11-14,8034884
2015-11-15,7971881
2015-11-16,7971881
2015-11-17,7870008
2015-11-18,7870008
2015-11-19,7786075
2015-11-20,7770678
2015-11-21,7770678
2015-11-22,7701087
2015-11-23,7701087
2015-11-24,7740767
2015-11-25,7771469
2015-11-26,7771469
2015-11-27,7709581
2015-11-28,7656174
2015-11-29,7614459
2015-11-30,7544218
2015-12-01,7544218
2015-12-02,7521556
2015-12-03,7495773
2015-12-04,7596438
2015-12-05,7811228
2015-12-06,7835093
2015-12-07,7850099
2015-12-08,7999123
2015-12-09,8022479
2015-12-10,7937923
2015-12-11,7888682
2015-12-13,7732310
2015-12-14,7732310
2015-12-15,7649335
2015-12-16,7595255
2015-12-17,7530475
2015-12-18,7575280
2015-12-19,7667853
2015-12-20,7767015
2015-12-21,7794444
2015-12-22,7749744
2015-12-23,7695717
2015-12-24,7653496
2015-12-25,7740759
2015-12-26,7811171
2015-12-27,7751153
2015-12-28,7695661
2015-12-29,7769789
2015-12-30,7775502
2015-12-31,7802058
2016-01-01,7976642
2016-01-02,7919650
2016-01-03,7915905
2016-01-04,7914735
2016-01-05,7860398
2016-01-06,7890770
2016-01-07,7844317
2016-01-08,7874310
2016-01-09,7897052
2016-01-10,7905092
2016-01-11,7872000
2016-01-12,7842769
2016-01-13,7876519
2016-01-14,7877399
2016-01-15,7889718
2016-01-16,7865483
2016-01-17,7967850
2016-01-18,7955651
2016-01-19,7974693
2016-01-20,8096897
2016-01-21,8106968
2016-01-22,8456323
2016-01-23,8864878
2016-01-24,9266533
2016-01-25,9468538
2016-01-26,9381134
2016-01-27,9339766
2016-01-28,9339766
2016-01-29,9168414
2016-01-30,8990017
2016-01-31,8927824
2016-02-01,8795796
2016-02-02,8614479
2016-02-03,8382800
2016-02-04,8175424
2016-02-05,8123106
2016-02-06,8153467
2016-02-07,8186556
2016-02-08,8173937
2016-02-09,8227043
2016-02-10,8273477
2016-02-11,8347015
2016-02-12,8356200
2016-02-13,8486517
2016-02-14,8653884
2016-02-15,8645518
2016-02-16,8617494
2016-02-17,8603952
2016-02-18,8545128
2016-02-19,8445403
2016-02-20,8335498
2016-02-21,8115602
2016-02-22,7995767
2016-02-23,7716008
2016-02-24,7663465
2016-02-25,7835892
2016-02-26,7842363
2016-02-27,7841020
2016-02-28,7912043
2016-02-29,7919682
2016-03-01,7967504
2016-03-02,7997068
2016-03-03,8015294
2016-03-04,7998511
2016-03-05,7976943
2016-03-06,7944963
2016-03-07,7858755
2016-03-08,7780684
2016-03-09,7820904
2016-03-10,7798451
2016-03-11,7776129
2016-03-12,7754658
2016-03-13,7764211
2016-03-14,7702178
2016-03-15,7657623
2016-03-16,7613746
2016-03-17,7576811
2016-03-18,7510999
2016-03-19,7490424
2016-03-20,7533153
2016-03-21,7434441
2016-03-22,7368236
