date_obj,Pottery%20statuette price
2015-03-26,516
2015-03-27,516
2015-03-28,516
2015-03-29,516
2015-03-30,516
2015-03-31,516
2015-04-01,516
2015-04-02,516
2015-04-03,491
2015-04-04,491
2015-04-05,491
2015-04-06,491
2015-04-07,491
2015-04-08,491
2015-04-09,491
2015-04-10,491
2015-04-11,467
2015-04-12,467
2015-04-13,467
2015-04-14,467
2015-04-15,467
2015-04-16,467
2015-04-17,467
2015-04-18,467
2015-04-19,444
2015-04-20,444
2015-04-21,444
2015-04-22,444
2015-04-23,444
2015-04-24,444
2015-04-25,444
2015-04-26,444
2015-04-27,423
2015-04-28,423
2015-04-29,423
2015-04-30,423
2015-05-01,423
2015-05-02,423
2015-05-03,423
2015-05-04,402
2015-05-05,402
2015-05-06,402
2015-05-07,402
2015-05-08,402
2015-05-09,402
2015-05-10,382
2015-05-11,382
2015-05-12,382
2015-05-13,382
2015-05-14,382
2015-05-15,382
2015-05-16,382
2015-05-17,363
2015-05-18,363
2015-05-19,363
2015-05-20,363
2015-05-21,363
2015-05-22,363
2015-05-23,363
2015-05-24,345
2015-05-25,345
2015-05-26,345
2015-05-27,345
2015-05-28,328
2015-05-29,328
2015-05-30,328
2015-05-31,328
2015-06-01,312
2015-06-02,312
2015-06-03,312
2015-06-04,312
2015-06-05,312
2015-06-06,297
2015-06-07,297
2015-06-08,297
2015-06-09,297
2015-06-10,297
2015-06-11,284
2015-06-12,284
2015-06-13,284
2015-06-14,284
2015-06-15,284
2015-06-16,270
2015-06-17,270
2015-06-18,270
2015-06-19,270
2015-06-20,270
2015-06-21,257
2015-06-22,257
2015-06-23,257
2015-06-24,257
2015-06-25,257
2015-06-26,245
2015-06-27,245
2015-06-28,245
2015-06-29,245
2015-06-30,245
2015-07-01,245
2015-07-02,245
2015-07-03,233
2015-07-04,233
2015-07-05,233
2015-07-06,233
2015-07-07,233
2015-07-08,233
2015-07-09,222
2015-07-10,222
2015-07-11,222
2015-07-12,222
2015-07-13,222
2015-07-14,211
2015-07-15,211
2015-07-16,211
2015-07-17,211
2015-07-18,211
2015-07-19,201
2015-07-20,201
2015-07-21,201
2015-07-22,201
2015-07-23,201
2015-07-24,191
2015-07-25,191
2015-07-26,191
2015-07-27,191
2015-07-28,191
2015-07-29,182
2015-07-30,182
2015-07-31,182
2015-08-01,182
2015-08-02,174
2015-08-03,174
2015-08-04,174
2015-08-05,174
2015-08-06,166
2015-08-07,166
2015-08-08,166
2015-08-09,166
2015-08-10,158
2015-08-11,158
2015-08-12,158
2015-08-13,158
2015-08-14,151
2015-08-15,151
2015-08-16,151
2015-08-17,151
2015-08-18,144
2015-08-19,144
2015-08-20,144
2015-08-21,144
2015-08-22,144
2015-08-23,137
2015-08-24,137
2015-08-25,137
2015-08-26,137
2015-08-27,131
2015-08-28,131
2015-08-29,131
2015-08-30,131
2015-08-31,131
2015-09-01,125
2015-09-02,125
2015-09-03,125
2015-09-04,125
2015-09-05,125
2015-09-06,125
2015-09-07,118
2015-09-08,118
2015-09-09,118
2015-09-10,118
2015-09-11,118
2015-09-12,113
2015-09-13,113
2015-09-14,113
2015-09-15,113
2015-09-16,113
2015-09-17,108
2015-09-18,108
2015-09-19,108
2015-09-20,108
2015-09-21,108
2015-09-22,108
2015-09-23,103
2015-09-24,103
2015-09-25,103
2015-09-27,103
2015-09-28,103
2015-09-29,103
2015-09-30,98
2015-10-05,98
2015-10-06,98
2015-10-07,93
2015-10-08,93
2015-10-09,93
2015-10-10,93
2015-10-11,93
2015-10-12,88
2015-10-13,88
2015-10-14,88
2015-10-15,88
2015-10-16,88
2015-10-17,86
2015-10-18,86
2015-10-19,86
2015-10-20,86
2015-10-22,82
2015-10-23,82
2015-10-24,82
2015-10-25,82
2015-10-26,82
2015-10-27,82
2015-10-29,82
2015-10-30,82
2015-10-31,82
2015-11-01,82
2015-11-02,78
2015-11-03,78
2015-11-04,78
2015-11-05,78
2015-11-06,78
2015-11-07,78
2015-11-08,78
2015-11-09,80
2015-11-10,80
2015-11-11,80
2015-11-12,80
2015-11-13,80
2015-11-14,80
2015-11-15,80
2015-11-16,80
2015-11-17,80
2015-11-18,80
2015-11-19,80
2015-11-20,80
2015-11-21,80
2015-11-22,80
2015-11-23,80
2015-11-24,80
2015-11-25,80
2015-11-26,80
2015-11-27,80
2015-11-28,80
2015-11-29,80
2015-11-30,80
2015-12-01,80
2015-12-02,82
2015-12-03,82
2015-12-04,82
2015-12-05,82
2015-12-06,82
2015-12-07,82
2015-12-08,82
2015-12-09,81
2015-12-10,81
2015-12-11,81
2015-12-12,81
2015-12-13,81
2015-12-14,81
2015-12-15,81
2015-12-16,81
2015-12-17,81
2015-12-18,81
2015-12-19,81
2015-12-20,81
2015-12-21,81
2015-12-22,81
2015-12-23,81
2015-12-24,81
2015-12-25,81
2015-12-26,81
2015-12-27,84
2015-12-28,84
2015-12-29,84
2015-12-30,84
2015-12-31,84
2016-01-01,84
2016-01-02,86
2016-01-03,86
2016-01-04,86
2016-01-05,86
2016-01-06,83
2016-01-07,83
2016-01-08,83
2016-01-09,83
2016-01-10,83
2016-01-11,85
2016-01-12,85
2016-01-13,85
2016-01-14,85
2016-01-15,90
2016-01-16,90
2016-01-17,90
2016-01-18,90
2016-01-19,90
2016-01-20,95
2016-01-21,95
2016-01-22,95
2016-01-23,95
2016-01-24,95
2016-01-25,95
2016-01-26,95
2016-01-27,95
2016-01-28,95
2016-01-29,95
2016-01-30,95
2016-01-31,95
2016-02-01,95
2016-02-02,95
2016-02-03,95
2016-02-04,95
2016-02-05,95
2016-02-06,95
2016-02-07,95
2016-02-08,95
2016-02-09,95
2016-02-10,95
2016-02-11,95
2016-02-12,95
2016-02-13,95
2016-02-14,95
2016-02-15,95
2016-02-16,95
2016-02-17,95
2016-02-18,95
2016-02-19,95
2016-02-20,93
2016-02-21,93
2016-02-22,93
2016-02-23,93
2016-02-24,95
2016-02-25,95
2016-02-26,95
2016-02-27,95
2016-02-28,95
2016-02-29,95
2016-03-01,95
2016-03-02,95
2016-03-03,95
2016-03-04,95
2016-03-05,95
2016-03-06,95
2016-03-07,95
2016-03-08,95
2016-03-09,95
2016-03-10,95
2016-03-11,95
2016-03-12,94
2016-03-13,94
2016-03-14,94
2016-03-15,94
2016-03-16,94
2016-03-17,96
2016-03-18,96
2016-03-19,96
2016-03-20,96
2016-03-21,96
2016-03-22,95
2016-03-23,95
2016-03-24,95
2016-03-25,95
2016-03-26,93
2016-03-27,93
2016-03-28,93
2016-03-29,93
2016-03-30,93
2016-03-31,95
2016-04-01,95
2016-04-02,95
2016-04-03,95
2016-04-04,94
2016-04-05,94
2016-04-06,94
2016-04-07,94
2016-04-08,94
2016-04-09,95
2016-04-10,95
