date_obj,Mystic%20gloves%20(light) price
2015-03-04,9149
2015-03-05,8733
2015-03-06,8733
2015-03-07,8296
2015-03-08,8296
2015-03-09,7907
2015-03-10,7907
2015-03-11,7545
2015-03-12,7545
2015-03-13,7207
2015-03-14,7207
2015-03-15,6862
2015-03-16,6862
2015-03-17,6554
2015-03-18,6554
2015-03-19,6554
2015-03-20,6299
2015-03-21,6299
2015-03-22,6086
2015-03-23,6086
2015-03-24,6086
2015-03-25,5850
2015-03-26,5850
2015-03-27,5850
2015-03-28,5775
2015-03-29,5775
2015-03-30,5715
2015-03-31,5715
2015-04-01,5715
2015-04-02,5817
2015-04-03,5817
2015-04-04,5690
2015-04-05,5690
2015-04-06,5690
2015-04-07,5606
2015-04-08,5606
2015-04-09,5606
2015-04-10,5724
2015-04-11,5724
2015-04-12,5746
2015-04-13,5746
2015-04-14,5746
2015-04-15,5735
2015-04-16,5735
2015-04-17,5735
2015-04-18,5798
2015-04-19,5798
2015-04-20,5798
2015-04-21,5863
2015-04-22,5863
2015-04-23,5863
2015-04-24,5865
2015-04-25,5865
2015-04-26,5865
2015-04-27,5924
2015-04-28,5924
2015-04-29,5924
2015-04-30,5797
2015-05-01,5797
2015-05-02,5817
2015-05-03,5817
2015-05-04,5817
2015-05-05,5796
2015-05-06,5796
2015-05-07,5893
2015-05-08,5893
2015-05-09,5893
2015-05-10,5820
2015-05-11,5820
2015-05-12,5820
2015-05-13,5783
2015-05-14,5783
2015-05-15,5783
2015-05-16,5848
2015-05-17,5848
2015-05-18,5859
2015-05-19,5859
2015-05-20,5859
2015-05-21,5859
2015-05-22,5855
2015-05-23,5855
2015-05-24,5855
2015-05-25,5747
2015-05-26,5747
2015-05-27,5747
2015-05-28,5768
2015-05-29,5768
2015-05-30,5767
2015-05-31,5767
2015-06-01,5817
2015-06-02,5817
2015-06-03,5817
2015-06-04,5757
2015-06-05,5757
2015-06-06,5783
2015-06-07,5783
2015-06-08,5835
2015-06-09,5835
2015-06-10,5795
2015-06-11,5795
2015-06-12,5795
2015-06-13,5736
2015-06-14,5736
2015-06-15,5841
2015-06-16,5841
2015-06-17,5890
2015-06-18,5890
2015-06-19,5916
2015-06-20,5916
2015-06-21,5974
2015-06-22,5974
2015-06-23,6038
2015-06-24,6038
2015-06-25,6071
2015-06-26,6071
2015-06-27,6046
2015-06-28,6046
2015-06-29,5933
2015-06-30,5933
2015-07-01,5749
2015-07-02,5749
2015-07-03,5692
2015-07-04,5692
2015-07-05,5744
2015-07-06,5744
2015-07-07,5741
2015-07-08,5741
2015-07-09,5836
2015-07-10,5836
2015-07-11,5774
2015-07-12,5774
2015-07-13,5734
2015-07-14,5734
2015-07-15,5794
2015-07-16,5794
2015-07-17,5814
2015-07-18,5814
2015-07-19,5828
2015-07-20,5828
2015-07-21,5809
2015-07-22,5882
2015-07-23,5882
2015-07-24,5929
2015-07-25,5929
2015-07-26,5929
2015-07-27,5799
2015-07-28,5799
2015-07-29,5771
2015-07-30,5771
2015-07-31,5771
2015-08-01,5837
2015-08-02,5918
2015-08-03,5918
2015-08-04,6093
2015-08-05,6214
2015-08-06,6214
2015-08-07,6232
2015-08-08,6232
2015-08-09,5933
2015-08-10,5933
2015-08-11,5950
2015-08-12,5950
2015-08-13,5950
2015-08-14,5940
2015-08-15,5940
2015-08-16,5940
2015-08-17,5976
2015-08-18,5976
2015-08-19,6041
2015-08-20,6041
2015-08-21,6079
2015-08-22,6079
2015-08-23,6079
2015-08-24,5960
2015-08-25,5960
2015-08-26,5960
2015-08-27,5967
2015-08-28,5967
2015-08-29,5952
2015-08-30,5952
2015-08-31,5831
2015-09-02,5831
2015-09-07,5685
2015-09-08,5685
2015-09-10,5674
2015-09-14,5755
2015-09-16,5876
2015-09-22,5804
2015-09-23,5686
2015-09-24,5686
2015-09-25,5686
2015-09-27,5726
2015-09-28,5800
2015-09-29,5800
2015-09-30,5806
2015-10-05,5716
2015-10-06,5716
2015-10-07,5716
2015-10-08,5791
2015-10-09,5791
2015-10-10,5791
2015-10-11,5794
2015-10-12,5794
2015-10-13,5794
2015-10-14,5852
2015-10-15,5852
2015-10-16,5920
2015-10-17,5920
2015-10-18,5920
2015-10-19,5921
2015-10-20,5921
2015-10-22,5789
2015-10-23,5789
2015-10-24,5799
2015-10-25,5799
2015-10-26,5855
2015-10-27,5855
2015-10-29,5906
2015-10-30,5906
2015-10-31,5922
2015-11-01,5922
2015-11-02,5922
2015-11-03,5888
2015-11-04,5888
2015-11-05,5888
2015-11-06,5892
2015-11-07,5892
2015-11-08,5769
2015-11-09,5769
2015-11-10,5769
2015-11-11,5806
2015-11-12,5806
2015-11-13,5806
2015-11-14,5889
2015-11-15,5889
2015-11-16,5917
2015-11-17,5917
2015-11-18,6002
2015-11-19,6002
2015-11-20,6021
2015-11-21,6021
2015-11-22,5893
2015-11-23,5893
2015-11-24,5893
2015-11-25,5997
2015-11-26,5997
2015-11-27,5997
2015-11-28,6025
2015-11-29,6025
2015-11-30,5932
2015-12-01,5932
2015-12-02,5932
2015-12-03,5903
2015-12-04,5903
2015-12-05,5903
2015-12-06,5903
2015-12-07,5903
2015-12-08,5826
2015-12-09,5826
2015-12-10,5882
2015-12-11,5882
2015-12-12,5836
2015-12-13,5836
2015-12-14,5863
2015-12-15,5863
2015-12-16,5912
2015-12-17,5912
2015-12-18,5836
2015-12-19,5836
2015-12-20,5925
2015-12-21,5925
2015-12-22,5856
2015-12-23,5856
2015-12-24,5731
2015-12-25,5731
2015-12-26,5731
2015-12-27,5834
2015-12-28,5834
2015-12-29,5853
