date_obj,Steel%20kiteshield price
2015-03-26,2079
2015-03-27,2079
2015-03-28,1975
2015-03-29,1876
2015-03-30,1782
2015-03-31,1692
2015-04-01,1610
2015-04-02,1529
2015-04-03,1452
2015-04-04,1379
2015-04-05,1312
2015-04-06,1246
2015-04-07,1183
2015-04-08,1124
2015-04-09,1069
2015-04-10,1015
2015-04-11,964
2015-04-12,915
2015-04-13,869
2015-04-14,827
2015-04-15,785
2015-04-16,745
2015-04-17,707
2015-04-18,671
2015-04-19,637
2015-04-20,607
2015-04-21,576
2015-04-22,549
2015-04-23,521
2015-04-24,494
2015-04-25,469
2015-04-26,445
2015-04-27,422
2015-04-28,400
2015-04-29,400
2015-04-30,380
2015-05-01,365
2015-05-02,352
2015-05-03,352
2015-05-04,337
2015-05-05,329
2015-05-06,318
2015-05-07,307
2015-05-08,298
2015-05-09,294
2015-05-10,297
2015-05-11,297
2015-05-12,291
2015-05-13,291
2015-05-14,298
2015-05-15,300
2015-05-16,306
2015-05-17,302
2015-05-18,294
2015-05-19,289
2015-05-20,289
2015-05-21,289
2015-05-22,292
2015-05-23,287
2015-05-24,292
2015-05-25,291
2015-05-26,298
2015-05-27,304
2015-05-28,304
2015-05-29,308
2015-05-30,308
2015-05-31,305
2015-06-01,302
2015-06-02,302
2015-06-03,302
2015-06-04,300
2015-06-05,298
2015-06-06,300
2015-06-07,302
2015-06-08,308
2015-06-09,307
2015-06-10,309
2015-06-11,309
2015-06-12,303
2015-06-13,311
2015-06-14,321
2015-06-15,327
2015-06-16,337
2015-06-17,340
2015-06-18,350
2015-06-19,354
2015-06-20,349
2015-06-21,352
2015-06-22,356
2015-06-23,361
2015-06-24,351
2015-06-25,351
2015-06-26,353
2015-06-27,353
2015-06-28,346
2015-06-29,340
2015-06-30,334
2015-07-01,331
2015-07-02,331
2015-07-03,334
2015-07-04,334
2015-07-05,323
2015-07-06,317
2015-07-07,323
2015-07-08,327
2015-07-09,327
2015-07-10,324
2015-07-11,319
2015-07-12,316
2015-07-13,317
2015-07-14,316
2015-07-15,312
2015-07-16,315
2015-07-17,315
2015-07-18,314
2015-07-19,314
2015-07-20,315
2015-07-21,319
2015-07-22,320
2015-07-23,320
2015-07-24,319
2015-07-25,318
2015-07-26,317
2015-07-27,318
2015-07-28,322
2015-07-29,323
2015-07-30,321
2015-07-31,321
2015-08-01,323
2015-08-02,321
2015-08-03,319
2015-08-04,327
2015-08-05,330
2015-08-06,326
2015-08-07,329
2015-08-08,331
2015-08-09,326
2015-08-10,321
2015-08-11,320
2015-08-12,320
2015-08-13,319
2015-08-14,323
2015-08-15,322
2015-08-16,324
2015-08-17,333
2015-08-18,326
2015-08-19,328
2015-08-20,324
2015-08-21,329
2015-08-22,330
2015-08-23,334
2015-08-24,336
2015-08-25,336
2015-08-26,333
2015-08-27,324
2015-08-28,324
2015-08-29,321
2015-08-30,335
2015-08-31,335
2015-09-01,338
2015-09-02,338
2015-09-03,335
2015-09-04,340
2015-09-05,340
2015-09-06,337
2015-09-07,334
2015-09-08,330
2015-09-09,331
2015-09-10,342
2015-09-11,340
2015-09-12,343
2015-09-13,337
2015-09-14,332
2015-09-15,332
2015-09-16,332
2015-09-17,325
2015-09-18,325
2015-09-19,327
2015-09-20,336
2015-09-21,339
2015-09-22,331
2015-09-23,339
2015-09-24,339
2015-09-25,343
2015-09-27,352
2015-09-28,345
2015-09-29,345
2015-09-30,352
2015-10-05,354
2015-10-06,352
2015-10-07,354
2015-10-08,350
2015-10-09,353
2015-10-10,353
2015-10-11,356
2015-10-12,352
2015-10-13,352
2015-10-14,341
2015-10-15,339
2015-10-16,340
2015-10-17,340
2015-10-18,337
2015-10-19,342
2015-10-20,349
2015-10-22,348
2015-10-23,349
2015-10-24,358
2015-10-25,357
2015-10-26,355
2015-10-27,355
2015-10-29,344
2015-10-30,345
2015-10-31,338
2015-11-01,338
2015-11-02,336
2015-11-03,340
2015-11-04,344
2015-11-05,349
2015-11-06,349
2015-11-07,349
2015-11-08,349
2015-11-09,358
2015-11-10,357
2015-11-11,364
2015-11-12,366
2015-11-13,366
2015-11-14,357
2015-11-15,358
2015-11-16,367
2015-11-17,377
2015-11-18,370
2015-11-19,364
2015-11-20,367
2015-11-21,367
2015-11-22,364
2015-11-23,364
2015-11-24,365
2015-11-25,357
2015-11-26,357
2015-11-27,361
2015-11-28,360
2015-11-29,355
2015-11-30,355
2015-12-01,353
2015-12-02,363
2015-12-03,365
2015-12-04,365
2015-12-05,364
2015-12-06,367
2015-12-07,374
2015-12-08,378
2015-12-09,378
2015-12-10,377
2015-12-11,380
2015-12-12,383
2015-12-13,381
2015-12-14,381
2015-12-15,382
2015-12-16,385
2015-12-17,385
2015-12-18,392
2015-12-19,382
2015-12-20,379
2015-12-21,366
2015-12-22,361
2015-12-23,356
2015-12-24,349
2015-12-25,336
2015-12-26,339
2015-12-27,338
2015-12-28,343
2015-12-29,340
2015-12-30,343
2015-12-31,346
2016-01-01,346
2016-01-02,343
2016-01-03,338
2016-01-04,342
2016-01-05,346
2016-01-06,332
2016-01-07,343
2016-01-08,351
2016-01-09,354
2016-01-10,360
2016-01-11,370
2016-01-12,363
2016-01-13,359
2016-01-14,370
2016-01-15,366
2016-01-16,365
2016-01-17,361
2016-01-18,360
2016-01-19,365
2016-01-20,364
2016-01-21,352
2016-01-22,342
2016-01-23,330
2016-01-24,324
2016-01-25,331
2016-01-26,339
2016-01-27,346
2016-01-28,346
2016-01-29,348
2016-01-30,348
2016-01-31,354
2016-02-01,354
2016-02-02,366
2016-02-03,368
2016-02-04,366
2016-02-05,369
2016-02-06,359
2016-02-07,357
2016-02-08,365
2016-02-09,375
2016-02-10,370
2016-02-11,356
2016-02-12,363
2016-02-13,351
2016-02-14,351
2016-02-15,352
2016-02-16,343
2016-02-17,338
2016-02-18,338
2016-02-19,332
2016-02-20,323
2016-02-21,334
2016-02-22,334
2016-02-23,342
2016-02-24,348
2016-02-25,344
2016-02-26,344
