date_obj,Fish%20chunks price
2019-01-10,20
2019-01-10,21
2019-01-11,23
2019-01-12,25
2019-01-13,27
2019-01-14,29
2019-01-15,31
2019-01-16,31
2019-01-17,33
2019-01-18,35
2019-01-19,37
2019-01-20,39
2019-01-21,39
2019-01-22,41
2019-01-23,41
2019-01-24,44
2019-01-25,44
2019-01-26,47
2019-01-27,47
2019-01-28,50
2019-01-29,50
2019-01-30,53
2019-01-31,53
2019-02-01,54
2019-02-02,54
2019-02-03,56
2019-02-04,56
2019-02-05,57
2019-02-06,57
2019-02-07,56
2019-02-08,56
2019-02-09,53
2019-02-10,53
2019-02-11,50
2019-02-12,50
2019-02-13,47
2019-02-14,47
2019-02-15,44
2019-02-16,44
2019-02-17,42
2019-02-18,42
2019-02-19,39
2019-02-20,39
2019-02-21,38
2019-02-22,38
2019-02-23,38
2019-02-24,37
2019-02-25,37
2019-02-26,36
2019-02-27,36
2019-02-28,36
2019-03-01,36
2019-03-02,37
2019-03-03,37
2019-03-04,36
2019-03-05,36
2019-03-06,34
2019-03-07,34
2019-03-08,34
2019-03-09,34
2019-03-10,34
2019-03-11,33
2019-03-12,33
2019-03-13,33
2019-03-14,32
2019-03-15,32
2019-03-16,32
2019-03-17,31
2019-03-18,31
2019-03-19,31
2019-03-20,30
2019-03-21,30
2019-03-22,31
2019-03-23,31
2019-03-24,31
2019-03-25,31
2019-03-26,31
2019-03-27,31
2019-03-28,32
2019-03-29,32
2019-03-30,32
2019-03-31,30
2019-04-01,30
2019-04-02,30
2019-04-03,28
2019-04-04,28
2019-04-05,28
2019-04-06,28
2019-04-07,26
2019-04-08,26
2019-04-09,26
2019-04-10,25
2019-04-11,25
2019-04-12,25
2019-04-13,24
2019-04-14,24
2019-04-15,24
2019-04-16,23
2019-04-17,23
2019-04-18,23
2019-04-19,22
2019-04-20,22
2019-04-21,22
2019-04-22,21
2019-04-23,21
2019-04-24,21
2019-04-25,21
2019-04-26,20
2019-04-27,20
2019-04-28,20
2019-04-29,20
2019-04-30,19
2019-05-01,19
2019-05-02,19
2019-05-03,19
2019-05-04,19
2019-05-05,19
2019-05-06,19
2019-05-07,19
2019-05-08,20
2019-05-09,20
2019-05-10,20
2019-05-11,20
2019-05-12,21
2019-05-13,21
2019-05-14,21
2019-05-15,22
2019-05-16,22
2019-05-17,22
2019-05-18,24
