date_obj,Saradomin%20cloak price
2015-03-26,422762
2015-03-27,422762
2015-03-28,422454
2015-03-29,423912
2015-03-30,422142
2015-03-31,423222
2015-04-01,423301
2015-04-02,422957
2015-04-03,423763
2015-04-04,430424
2015-04-05,430192
2015-04-06,436616
2015-04-07,437645
2015-04-08,436222
2015-04-09,431278
2015-04-10,416494
2015-04-11,402825
2015-04-12,390216
2015-04-13,380473
2015-04-14,367471
2015-04-15,357229
2015-04-16,351146
2015-04-17,347649
2015-04-18,345526
2015-04-19,349175
2015-04-20,348402
2015-04-21,355023
2015-04-22,359155
2015-04-23,357783
2015-04-24,358085
2015-04-25,364507
2015-04-26,372379
2015-04-27,381965
2015-04-28,384189
2015-04-29,387847
2015-04-30,390625
2015-05-01,397926
2015-05-02,394075
2015-05-03,384327
2015-05-04,389432
2015-05-05,386505
2015-05-06,380905
2015-05-07,372113
2015-05-08,362724
2015-05-09,346994
2015-05-10,333629
2015-05-11,326206
2015-05-12,313544
2015-05-13,299100
2015-05-14,293496
2015-05-15,288403
2015-05-16,278524
2015-05-17,275386
2015-05-18,275315
2015-05-19,281296
2015-05-20,284903
2015-05-21,281901
2015-05-22,279751
2015-05-23,282508
2015-05-24,281816
2015-05-25,279748
2015-05-26,280514
2015-05-27,277633
2015-05-28,267725
2015-05-29,258501
2015-05-30,250711
2015-05-31,250648
2015-06-01,249291
2015-06-02,248730
2015-06-03,247719
2015-06-04,249252
2015-06-05,256753
2015-06-06,265666
2015-06-07,274674
2015-06-08,283047
2015-06-09,293365
2015-06-10,303233
2015-06-11,305913
2015-06-12,308226
2015-06-13,316206
2015-06-14,326652
2015-06-15,331322
2015-06-16,335036
2015-06-17,335026
2015-06-18,332937
2015-06-19,322037
2015-06-20,323590
2015-06-21,318792
2015-06-22,302852
2015-06-23,288004
2015-06-24,285454
2015-06-25,289361
2015-06-26,295382
2015-06-27,307270
2015-06-28,315959
2015-06-29,318579
2015-06-30,315615
2015-07-01,302902
2015-07-02,300524
2015-07-03,302581
2015-07-04,316669
2015-07-05,322352
2015-07-06,325523
2015-07-07,329471
2015-07-08,329681
2015-07-09,336601
2015-07-10,330525
2015-07-11,331261
2015-07-12,328588
2015-07-13,328720
2015-07-14,324109
2015-07-15,324638
2015-07-16,328076
2015-07-17,328897
2015-07-18,331430
2015-07-19,334564
2015-07-20,341191
2015-07-21,348694
2015-07-22,352236
2015-07-23,345525
2015-07-24,344581
2015-07-25,350516
2015-07-26,349956
2015-07-27,355564
2015-07-28,359925
2015-07-29,365015
2015-07-30,374593
2015-07-31,384468
2015-08-01,391220
2015-08-02,399230
2015-08-03,396227
2015-08-04,393625
2015-08-05,403580
2015-08-06,415033
2015-08-07,414588
2015-08-08,409352
2015-08-09,399742
2015-08-10,386306
2015-08-11,373976
2015-08-12,371099
2015-08-13,360892
2015-08-14,351366
2015-08-15,347808
2015-08-16,342927
2015-08-17,338576
2015-08-18,331380
2015-08-19,328812
2015-08-20,326080
2015-08-21,321846
2015-08-22,328177
2015-08-23,334497
2015-08-24,343266
2015-08-25,353518
2015-08-26,363168
2015-08-27,355716
2015-08-28,347542
2015-08-29,348314
2015-08-30,344920
2015-08-31,338687
2015-09-01,331399
2015-09-02,328112
2015-09-03,319948
2015-09-04,310416
2015-09-05,306752
2015-09-06,311755
2015-09-07,321162
2015-09-08,324743
2015-09-09,326945
2015-09-10,333613
2015-09-11,342617
2015-09-12,341525
2015-09-13,336544
2015-09-14,337527
2015-09-15,333803
2015-09-16,333722
2015-09-17,340083
2015-09-18,347082
2015-09-19,342793
2015-09-20,346319
2015-09-21,354296
2015-09-22,366346
2015-09-23,378076
2015-09-24,391677
2015-09-25,393541
2015-09-27,406842
2015-09-28,411692
2015-09-29,413969
2015-09-30,412944
2015-10-05,395114
2015-10-06,391191
2015-10-07,388527
2015-10-08,379638
2015-10-09,369587
2015-10-10,369587
2015-10-11,360603
2015-10-12,353233
2015-10-13,358245
2015-10-14,361769
2015-10-15,360340
2015-10-16,366580
2015-10-17,370180
2015-10-18,372787
2015-10-19,369557
2015-10-20,362546
2015-10-22,371715
2015-10-23,368340
2015-10-24,374551
2015-10-25,378595
2015-10-26,372198
2015-10-27,369902
2015-10-29,379415
2015-10-30,379323
2015-10-31,376013
2015-11-01,373301
2015-11-02,370650
2015-11-03,365617
2015-11-04,360264
2015-11-05,362572
2015-11-06,368411
2015-11-07,364005
2015-11-08,370656
2015-11-09,376705
2015-11-10,380286
2015-11-11,381362
2015-11-12,380778
2015-11-13,381062
2015-11-14,384697
2015-11-15,392135
2015-11-16,401818
2015-11-17,408641
2015-11-18,415092
2015-11-19,415229
2015-11-20,420325
2015-11-21,420325
2015-11-22,425156
2015-11-23,425156
2015-11-24,432027
2015-11-25,431215
2015-11-26,427002
2015-11-27,431260
2015-11-28,429710
2015-11-29,434841
2015-11-30,430250
2015-12-01,427298
2015-12-02,425218
2015-12-03,423662
2015-12-04,419415
2015-12-05,417241
2015-12-06,415192
2015-12-07,411519
2015-12-08,403768
2015-12-09,398062
2015-12-10,387321
2015-12-11,390415
2015-12-12,391701
2015-12-13,400846
2015-12-14,407513
2015-12-15,410353
2015-12-16,412432
2015-12-17,412652
2015-12-18,408777
2015-12-19,400478
2015-12-20,397029
2015-12-21,406208
2015-12-22,408523
2015-12-23,405939
2015-12-24,403982
2015-12-25,403699
2015-12-26,403601
2015-12-27,402972
2015-12-28,398847
2015-12-29,402309
2015-12-30,400613
2015-12-31,396485
2016-01-01,386490
2016-01-02,371756
2016-01-03,365263
2016-01-04,366224
2016-01-05,370478
2016-01-06,360073
2016-01-07,358978
2016-01-08,356122
2016-01-09,354963
2016-01-10,348685
2016-01-11,335896
2016-01-12,332000
2016-01-13,324957
2016-01-14,321482
2016-01-15,322174
2016-01-16,330889
2016-01-17,330189
2016-01-18,326502
2016-01-19,327166
2016-01-20,325580
2016-01-21,323719
2016-01-22,319397
2016-01-23,315303
2016-01-24,314941
2016-01-25,314598
2016-01-26,305385
2016-01-27,294960
2016-01-28,288572
2016-01-29,280922
2016-01-30,276020
2016-01-31,271727
2016-02-01,269184
2016-02-02,271954
2016-02-03,277226
2016-02-04,285493
2016-02-05,287853
2016-02-06,294085
2016-02-07,297791
2016-02-08,293499
2016-02-09,294298
2016-02-10,294709
2016-02-11,296665
2016-02-12,298494
2016-02-13,294293
2016-02-14,292005
2016-02-15,286866
2016-02-16,281575
2016-02-17,277034
2016-02-18,273659
2016-02-19,272638
2016-02-20,273540
2016-02-21,274582
2016-02-22,269697
2016-02-23,268878
2016-02-24,273373
2016-02-25,277078
2016-02-26,281249
2016-02-27,285183
2016-02-28,289361
2016-02-29,280123
2016-03-01,281468
2016-03-02,288010
2016-03-03,284897
2016-03-04,280223
2016-03-05,279662
2016-03-06,290530
2016-03-07,294644
2016-03-08,304086
2016-03-09,312021
2016-03-10,313527
2016-03-11,307983
2016-03-12,315487
2016-03-13,314986
2016-03-14,304569
2016-03-15,291186
2016-03-16,276884
2016-03-17,263778
2016-03-18,260766
2016-03-19,261123
2016-03-20,260788
2016-03-21,265212
2016-03-22,267776
2016-03-23,264811
2016-03-24,257773
2016-03-25,262409
2016-03-26,265981
2016-03-27,263809
2016-03-28,262302
2016-03-29,258693
2016-03-30,261556
2016-03-31,260333
2016-04-01,265934
2016-04-02,265109
2016-04-03,259361
2016-04-04,260908
2016-04-05,266054
2016-04-06,271827
2016-04-07,279090
2016-04-08,286179
2016-04-09,288931
2016-04-10,283981
2016-04-11,287458
2016-04-12,287727
2016-04-13,287115
2016-04-14,290837
2016-04-15,287958
2016-04-16,282313
2016-04-17,278999
2016-04-18,277859
2016-04-19,284217
2016-04-20,279313
2016-04-21,278419
2016-04-22,275156
2016-04-23,281576
2016-04-24,272644
2016-04-25,261816
2016-04-26,253064
2016-04-27,246743
2016-04-28,237752
2016-04-29,237790
2016-04-30,233041
2016-05-01,241435
2016-05-02,249948
2016-05-03,251150
2016-05-04,253551
2016-05-05,248698
2016-05-06,241956
2016-05-07,237268
2016-05-08,229047
2016-05-09,222321
2016-05-10,217933
2016-05-11,214655
2016-05-12,217557
2016-05-13,220387
2016-05-14,226446
2016-05-15,225681
2016-05-16,224767
2016-05-17,228357
2016-05-18,233512
2016-05-19,243109
2016-05-22,245309
