date_obj,Guthix%20page%204 price
2015-03-26,17941
2015-03-27,17941
2015-03-28,17902
2015-03-29,17800
2015-03-30,17800
2015-03-31,17527
2015-04-01,17527
2015-04-02,17511
2015-04-03,17511
2015-04-04,17786
2015-04-05,17786
2015-04-06,18651
2015-04-07,18651
2015-04-08,19584
2015-04-09,19584
2015-04-10,20523
2015-04-11,20523
2015-04-12,21486
2015-04-13,21486
2015-04-14,22493
2015-04-15,22493
2015-04-16,23547
2015-04-17,23547
2015-04-18,24295
2015-04-19,24295
2015-04-20,25068
2015-04-21,25068
2015-04-22,25100
2015-04-23,25100
2015-04-24,24480
2015-04-25,24480
2015-04-26,23737
2015-04-27,23737
2015-04-28,24166
2015-04-29,24166
2015-04-30,24305
2015-05-01,24036
2015-05-02,24036
2015-05-03,24272
2015-05-04,24272
2015-05-05,24806
2015-05-06,24806
2015-05-07,24486
2015-05-08,24486
2015-05-09,24168
2015-05-10,24168
2015-05-11,23278
2015-05-12,22539
2015-05-13,22539
2015-05-14,21800
2015-05-15,21800
2015-05-16,20804
2015-05-17,19784
2015-05-18,19784
2015-05-19,19071
2015-05-20,19071
2015-05-21,19071
2015-05-22,18323
2015-05-23,18323
2015-05-24,18356
2015-05-25,18356
2015-05-26,18216
2015-05-27,18216
2015-05-28,17763
2015-05-29,17743
2015-05-30,17805
2015-05-31,17805
2015-06-01,17599
2015-06-02,17599
2015-06-03,17879
2015-06-04,17879
2015-06-05,17999
2015-06-06,18051
2015-06-07,18051
2015-06-08,17773
2015-06-09,17952
2015-06-10,18134
2015-06-11,18134
2015-06-12,18554
2015-06-13,19122
2015-06-14,19122
2015-06-15,19877
2015-06-16,20845
2015-06-17,20845
2015-06-18,21735
2015-06-19,21735
2015-06-20,22495
2015-06-21,22495
2015-06-22,22863
2015-06-23,22863
2015-06-24,23421
2015-06-25,23421
2015-06-26,23991
2015-06-27,23991
2015-06-28,25002
2015-06-29,25002
2015-06-30,25868
2015-07-01,27086
2015-07-02,27086
2015-07-03,28409
2015-07-04,28409
2015-07-05,29816
2015-07-06,29816
2015-07-07,31232
2015-07-08,32794
2015-07-09,32794
2015-07-10,34144
2015-07-11,34144
