date_obj,Vyrewatch%20top price
2015-03-26,77318
2015-03-27,73503
2015-03-28,73503
2015-03-29,73503
2015-03-30,73503
2015-03-31,73503
2015-04-01,73503
2015-04-02,73503
2015-04-03,73503
2015-04-04,73503
2015-04-05,73503
2015-04-06,73503
2015-04-07,73503
2015-04-08,73503
2015-04-09,73503
2015-04-10,70045
2015-04-11,70045
2015-04-12,70045
2015-04-13,70045
2015-04-14,70045
2015-04-15,70045
2015-04-16,70045
2015-04-17,70045
2015-04-18,70045
2015-04-19,70045
2015-04-20,70045
2015-04-21,70045
2015-04-22,66625
2015-04-23,66625
2015-04-24,66625
2015-04-25,66625
2015-04-26,66625
2015-04-27,66625
2015-04-28,66625
2015-04-29,66625
2015-04-30,66625
2015-05-01,66625
2015-05-02,66625
2015-05-03,66625
2015-05-04,63344
2015-05-05,63344
2015-05-06,63344
2015-05-07,63344
2015-05-08,63344
2015-05-09,63344
2015-05-10,63344
2015-05-11,63344
2015-05-12,63344
2015-05-13,63344
2015-05-14,63344
2015-05-15,63344
2015-05-16,60237
2015-05-17,60237
2015-05-18,60237
2015-05-19,60237
2015-05-20,60237
2015-05-21,60237
2015-05-22,60237
2015-05-23,60237
2015-05-24,60237
2015-05-25,60237
2015-05-26,60237
2015-05-27,60237
2015-05-28,57225
2015-05-29,57225
2015-05-30,57225
2015-05-31,57225
2015-06-01,57225
2015-06-02,57225
2015-06-03,57225
2015-06-04,54411
2015-06-05,54411
2015-06-06,54411
2015-06-07,54411
2015-06-08,54411
2015-06-09,54411
2015-06-10,51736
2015-06-11,51736
2015-06-12,51736
2015-06-13,51736
2015-06-14,51736
2015-06-15,51736
2015-06-16,51736
2015-06-17,49202
2015-06-18,49202
2015-06-19,49202
2015-06-20,49202
2015-06-21,49202
2015-06-22,46881
2015-06-23,46881
2015-06-24,46881
2015-06-25,46881
2015-06-26,46881
2015-06-27,46881
2015-06-28,44573
2015-06-29,44573
2015-06-30,44573
2015-07-01,44573
2015-07-02,44573
2015-07-03,44573
2015-07-04,42377
2015-07-05,42377
2015-07-06,42377
2015-07-07,42377
2015-07-08,42377
2015-07-09,42377
2015-07-10,40448
2015-07-11,40448
2015-07-12,40448
2015-07-13,40448
2015-07-14,40448
2015-07-15,38494
2015-07-16,38494
2015-07-17,38494
2015-07-18,38494
2015-07-19,38494
2015-07-20,36636
2015-07-21,36636
2015-07-22,36636
2015-07-23,36636
2015-07-24,34876
2015-07-25,34876
2015-07-26,34876
2015-07-27,34876
2015-07-28,34876
2015-07-29,33173
2015-07-30,33173
2015-07-31,33173
2015-08-01,33173
2015-08-02,31539
2015-08-03,31539
2015-08-04,31539
2015-08-05,29983
2015-08-06,29983
2015-08-07,29983
2015-08-08,28513
2015-08-09,28513
2015-08-10,28513
2015-08-11,27111
2015-08-12,27111
2015-08-13,27111
2015-08-14,25769
2015-08-15,25769
2015-08-16,25769
2015-08-17,24506
2015-08-18,24506
2015-08-19,24506
2015-08-20,23324
2015-08-21,23324
2015-08-22,23324
2015-08-23,22200
2015-08-24,22200
2015-08-25,22200
2015-08-26,22200
2015-08-27,21113
2015-08-28,21113
2015-08-29,21113
2015-08-30,21113
2015-08-31,20080
2015-09-01,20080
2015-09-02,20080
2015-09-03,20080
2015-09-04,19115
2015-09-05,19115
2015-09-06,19115
2015-09-07,19115
2015-09-08,18187
2015-09-09,18187
2015-09-10,18187
2015-09-11,18187
2015-09-12,17318
2015-09-13,17318
2015-09-14,17318
2015-09-15,17318
2015-09-16,16471
2015-09-17,16471
2015-09-18,16471
2015-09-19,16471
2015-09-20,16471
2015-09-21,15665
