date_obj,Burnt%20page price
2016-09-07,5226
2016-09-08,4986
2016-09-09,4737
2016-09-10,4500
2016-09-11,4275
2016-09-12,4061
2016-09-13,3857
2016-09-14,3664
2016-09-15,3480
2016-09-16,3306
2016-09-17,3140
2016-09-18,2983
2016-09-19,2833
2016-09-20,2691
2016-09-21,2556
2016-09-22,2428
2016-09-23,2306
2016-09-24,2190
2016-09-25,2080
2016-09-26,1976
2016-09-27,1877
2016-09-28,1783
2016-09-29,1693
2016-09-30,1608
2016-10-01,1542
2016-10-02,1486
2016-10-03,1535
2016-10-04,1533
2016-10-05,1551
2016-10-06,1605
2016-10-07,1657
2016-10-08,1708
2016-10-09,1727
2016-10-10,1714
2016-10-11,1723
2016-10-12,1783
2016-10-13,1873
2016-10-14,1967
2016-10-15,2066
2016-10-16,2170
2016-10-17,2277
2016-10-18,2391
2016-10-19,2511
2016-10-20,2637
2016-10-21,2769
2016-10-22,2908
2016-10-23,3054
2016-10-24,3206
2016-10-25,3239
2016-10-26,3194
2016-10-27,3181
2016-10-28,3073
2016-10-29,3008
2016-10-30,2956
2016-10-31,2923
2016-11-01,2956
2016-11-02,2974
2016-11-03,2908
2016-11-04,2882
2016-11-05,2882
2016-11-06,2825
2016-11-07,2899
2016-11-08,2923
2016-11-09,2883
2016-11-10,2884
2016-11-11,2900
2016-11-12,2997
2016-11-13,3074
2016-11-14,2983
2016-11-15,2947
2016-12-07,3043
2016-12-08,3045
2016-12-09,2980
2016-12-10,2905
2016-12-11,2848
2016-12-12,2798
2016-12-13,2736
2016-12-14,2751
2016-12-15,2826
2016-12-16,2918
2016-12-17,2961
2016-12-18,2980
2016-12-19,2965
2016-12-20,2995
2016-12-21,2968
2016-12-22,2908
2016-12-23,2779
2016-12-24,2794
2016-12-25,2763
2016-12-26,2818
2016-12-27,2836
2016-12-28,2849
2016-12-29,2839
2016-12-30,2895
2016-12-31,2985
2017-01-01,3123
2017-01-02,3280
2017-01-03,3430
2017-01-04,3551
2017-01-05,3474
2017-01-06,3493
2017-01-07,3664
2017-01-08,3797
2017-01-09,3879
2017-01-10,4072
2017-01-11,4104
2017-01-12,4198
2017-01-13,4203
2017-01-14,4222
2017-01-15,4347
2017-01-16,4241
2017-01-17,4098
2017-01-18,4174
2017-01-19,4266
2017-01-20,4248
2017-01-21,4215
2017-01-22,4238
2017-01-23,4294
2017-01-27,4661
2017-01-28,4843
2017-01-29,4939
2017-01-30,4906
2017-01-31,4953
2017-02-01,5059
2017-02-02,5061
2017-02-03,5042
2017-02-04,4793
2017-02-05,4577
2017-02-06,4476
2017-02-07,4610
2017-02-08,4663
2017-02-09,4573
2017-02-10,4717
2017-02-11,4605
2017-02-12,4627
2017-02-13,4672
2017-02-14,4899
2017-02-15,5140
2017-02-16,5171
2017-02-18,4996
2017-02-19,4929
2017-02-20,4737
2017-02-21,4632
2017-02-22,4554
2017-02-23,4404
2017-02-24,4236
2017-02-25,4325
2017-02-26,4350
2017-02-27,4343
2017-02-28,4344
2017-03-01,4166
2017-03-02,4096
2017-03-03,4056
2017-03-04,3889
2017-03-05,3803
2017-03-06,3953
2017-03-07,4095
2017-03-08,4049
2017-03-09,4173
2017-03-10,4316
2017-03-11,4491
2017-03-12,4566
2017-03-13,4556
2017-03-14,4534
2017-03-15,4664
2017-03-16,4674
2017-03-17,4610
2017-03-18,4501
2017-03-19,4350
2017-03-20,4253
2017-03-21,4202
2017-03-22,4192
2017-03-23,4145
2017-03-24,4105
2017-03-25,4014
2017-03-26,4024
2017-03-27,4145
2017-03-28,4315
2017-03-29,4519
2017-03-30,4745
2017-03-31,4910
2017-04-01,5024
2017-04-02,4973
2017-04-03,5045
2017-04-04,5018
2017-04-12,4989
2017-04-13,4910
2017-04-14,4884
2017-04-15,4860
2017-04-16,4863
2017-04-17,4985
2017-04-18,4991
2017-04-19,5230
2017-04-20,5167
2017-04-21,5071
2017-04-22,4949
2017-04-23,4989
2017-04-24,5119
2017-04-25,5027
2017-04-26,4998
2017-04-27,5153
2017-04-28,5353
2017-04-29,5460
2017-04-30,5552
2017-05-01,5668
2017-05-02,5521
2017-05-03,5639
2017-05-04,5689
2017-05-05,5780
2017-05-06,5770
2017-05-07,5905
2017-05-08,5813
2017-05-09,5695
2017-05-10,5702
2017-05-11,5663
2017-05-12,5489
2017-05-13,5504
2017-05-14,5525
2017-05-15,5501
2017-05-16,5451
2017-05-17,5408
2017-05-18,5285
2017-05-19,5061
2017-05-20,4862
2017-05-21,4815
2017-05-22,4794
2017-05-23,4750
2017-05-24,4571
2017-05-25,4342
2017-05-26,4124
2017-05-27,3917
2017-05-28,3721
2017-05-29,3718
2017-05-30,3639
2017-05-31,3798
2017-06-01,3742
2017-06-02,3708
2017-06-03,3539
2017-06-04,3650
2017-06-05,3612
2017-06-06,3552
2017-06-07,3457
2017-06-08,3388
2017-06-09,3345
2017-06-10,3278
2017-06-11,3177
2017-06-12,3157
2017-06-13,3246
2017-06-14,3280
2017-06-15,3289
2017-06-16,3266
2017-06-17,3310
2017-06-18,3289
2017-06-19,3388
2017-06-20,3345
2017-06-21,3278
2017-06-22,3302
2017-06-23,3412
2017-06-24,3531
2017-06-25,3507
2017-06-26,3565
2017-06-27,3468
2017-06-28,3341
2017-06-29,3383
2017-06-30,3477
2017-07-01,3550
2017-07-02,3708
2017-07-03,3727
2017-07-04,3677
2017-07-05,3786
2017-07-06,3709
2017-07-07,3879
2017-07-08,4056
2017-07-13,3769
2017-07-14,3866
2017-07-15,3815
2017-07-16,3839
2017-07-17,3812
2017-07-18,3696
2017-07-19,3734
2017-07-20,3742
2017-07-21,3746
2017-07-22,3805
2017-07-23,3753
2017-07-24,3768
2017-07-25,3710
2017-07-26,3756
2017-07-27,3706
2017-07-28,3766
2017-07-29,3888
2017-07-30,3901
2017-07-31,4047
2017-08-01,4211
2017-08-02,4089
2017-08-03,3942
2017-08-04,3899
2017-08-05,3888
2017-08-06,3877
2017-08-09,3862
2017-08-10,3827
2017-08-11,3806
2017-08-12,3846
2017-08-13,3811
2017-08-14,3724
2017-08-15,3779
2017-08-16,3867
2017-08-17,3792
2017-08-18,3855
2017-08-19,3985
2017-08-20,3929
2017-08-21,3875
2017-08-22,4001
2017-08-23,3941
2017-08-24,3900
2017-08-25,3904
2017-08-26,3992
2017-08-27,4090
2017-08-28,4133
2017-08-29,4118
2017-08-30,4050
2017-08-31,3974
2017-09-01,3950
2017-09-02,3933
2017-09-03,3918
2017-09-04,4041
2017-09-05,4134
2017-09-06,4037
2017-09-07,3966
2017-09-08,3778
2017-09-09,3653
2017-09-10,3792
2017-09-11,3901
2017-09-12,3877
2017-09-13,3977
2017-09-14,4138
2017-09-15,4139
2017-09-16,4234
2017-09-17,4384
2017-09-18,4182
2017-09-19,4112
2017-09-20,4082
2017-09-21,4056
2017-09-22,4127
2017-09-23,4311
2017-09-24,4328
2017-09-25,4413
2017-09-26,4573
2017-09-27,4741
2017-09-28,4929
2017-09-29,5176
2017-09-30,5427
2017-10-01,5270
2017-10-02,5341
2017-10-03,5119
2017-10-04,4974
2017-10-05,4856
2017-10-06,4797
2017-10-07,4657
2017-10-08,4446
2017-10-09,4372
2017-10-11,4072
2017-10-12,4161
2017-10-13,4361
2017-10-14,4453
2017-10-15,4431
2017-10-16,4506
2017-10-17,4538
2017-10-18,4498
2017-10-19,4378
2017-10-20,4324
2017-10-21,4220
2017-10-22,4249
2017-10-23,4385
2017-10-24,4535
2017-10-25,4747
2017-10-26,4748
2017-10-27,4663
2017-10-28,4695
2017-10-29,4596
2017-10-30,4546
2017-10-31,4524
2017-11-01,4456
2017-11-02,4364
2017-11-03,4374
2017-11-04,4337
2017-11-05,4276
2017-11-06,4337
2017-11-07,4327
2017-11-08,4258
2017-11-09,4228
2017-11-10,4207
2017-11-11,4212
2017-11-12,4262
2017-11-13,4237
2017-11-14,4235
2017-11-15,4187
2017-11-16,4171
2017-11-17,4136
2017-11-18,4038
2017-11-19,3917
2017-11-20,3870
2017-11-21,4045
2017-11-22,4086
2017-11-23,4001
2017-11-24,3802
2017-11-25,3797
2017-11-26,3842
2017-11-27,3798
2017-11-28,3804
2017-11-29,3968
2017-11-30,4129
2017-12-01,4307
2017-12-02,4523
2017-12-03,4747
2017-12-04,4847
2017-12-05,4784
2017-12-06,4879
2017-12-07,4814
2017-12-08,4765
2017-12-09,4702
2017-12-10,4536
2017-12-11,4397
2017-12-12,4494
2017-12-13,4648
2017-12-14,4715
2017-12-15,4771
2017-12-16,4941
2017-12-17,5165
2017-12-18,5424
