date_obj,Dark%20tuxedo%20shoes price
2016-07-06,1000000
2016-07-07,1000000
2016-07-08,1000000
2016-07-09,1000000
2016-07-10,1000000
2016-07-11,1000000
2016-07-12,1000000
2016-07-13,1000000
2016-07-14,1000000
2016-07-15,1000000
2016-07-16,1000000
2016-07-17,1000000
2016-07-18,1000000
2016-07-23,1000000
2016-07-24,1000000
2016-07-25,1000000
2016-07-26,1000000
2016-07-27,1000000
2016-07-28,1000000
2016-07-29,1000000
2016-07-30,1000000
2016-07-31,1000000
2016-08-01,1000000
2016-08-02,1000000
2016-08-03,1000000
2016-08-04,1000000
2016-08-05,1000000
2016-08-06,1000000
2016-08-07,1000000
2016-08-08,1000000
2016-08-09,1000000
2016-08-10,1000000
2016-08-11,1034194
2016-08-12,1034194
2016-08-13,1034194
2016-08-14,1034194
2016-08-15,1034194
2016-08-16,1034194
2016-08-17,1034194
2016-08-18,1034194
2016-08-19,1034194
2016-08-20,1034194
2016-08-21,1034194
2016-08-22,1034194
2016-08-23,1034194
2016-08-24,1034194
2016-08-25,1034194
2016-08-26,1034194
2016-08-28,1034194
2016-08-31,1034194
2016-09-01,1034194
2016-09-02,1034194
2016-09-03,1034194
2016-09-04,1034194
2016-09-05,1034194
2016-09-06,1034194
2016-09-07,1034194
2016-09-08,1034194
2016-09-09,1034194
2016-09-10,1034194
2016-09-11,1034194
2016-09-12,1034194
2016-09-13,1034194
2016-09-14,1034194
2016-09-15,1034194
2016-09-16,1034194
2016-09-17,1034194
2016-09-18,1034194
2016-09-19,1034194
2016-09-20,1034194
2016-09-21,1034194
2016-09-22,1034194
2016-09-23,1034194
2016-09-24,1034194
2016-09-25,1034194
2016-09-26,1034194
2016-09-27,1034194
2016-09-28,1034194
2016-09-29,1034194
2016-09-30,1034194
2016-10-01,1034194
2016-10-02,1034194
2016-10-03,1034194
2016-10-04,1034194
2016-10-05,1034194
2016-10-06,1034194
2016-10-07,1034194
2016-10-08,1034194
2016-10-09,1034194
2016-10-10,1034194
2016-10-11,1034194
2016-10-12,1034194
2016-10-13,1056596
2016-10-14,1056596
2016-10-15,1056596
2016-10-16,1056596
2016-10-17,1056596
2016-10-18,1056596
2016-10-19,1056596
2016-10-20,1056596
2016-10-21,1056596
2016-10-22,1056596
2016-10-23,1056596
2016-10-24,1056596
2016-10-25,1056596
2016-10-26,1056596
2016-10-27,1056596
2016-10-28,1056596
2016-10-29,1056596
2016-10-30,1056596
2016-10-31,1056596
2016-11-01,1056596
2016-11-02,1056596
2016-11-03,1056596
2016-11-04,1056596
2016-11-05,1056596
2016-11-06,1056596
2016-11-07,1056596
2016-11-08,1056596
2016-11-09,1056596
2016-11-10,1056596
2016-11-11,1056596
2016-11-12,1056596
2016-11-13,1056596
2016-11-14,1056596
2016-11-15,1056596
2016-12-07,1046981
2016-12-08,1046981
2016-12-09,1046981
2016-12-10,1046981
2016-12-11,1046981
2016-12-12,1046981
2016-12-13,1046981
2016-12-14,1046981
2016-12-15,1046981
2016-12-16,1046981
2016-12-17,1046981
2016-12-18,1046981
2016-12-19,1046981
2016-12-20,1046981
2016-12-21,1046981
2016-12-22,1046981
2016-12-23,1046981
2016-12-24,1046981
2016-12-25,1046981
2016-12-26,1046981
2016-12-27,1046981
2016-12-28,1046981
2016-12-29,1046981
2016-12-30,1046981
2016-12-31,1046981
2017-01-01,1046981
2017-01-02,1046981
2017-01-03,1046981
2017-01-04,1046981
2017-01-05,1046981
2017-01-06,1046981
2017-01-07,1046981
2017-01-08,1046981
2017-01-09,1046981
2017-01-10,1046981
2017-01-11,1046981
2017-01-12,1046981
2017-01-13,1046981
2017-01-14,1046981
2017-01-15,1046981
2017-01-16,1046981
2017-01-17,1046981
2017-01-18,1046981
2017-01-19,1046981
2017-01-20,1046981
2017-01-21,1012960
2017-01-22,1012960
2017-01-23,1012960
2017-01-27,1012960
2017-01-28,1012960
2017-01-29,1012960
2017-01-30,1012960
2017-01-31,1012960
2017-02-01,1012960
2017-02-02,1012960
2017-02-03,1012960
2017-02-04,1012960
2017-02-05,1012960
2017-02-06,1012960
2017-02-07,1012960
2017-02-08,1012960
2017-02-09,1012960
2017-02-10,1012960
2017-02-11,1012960
2017-02-12,1012960
2017-02-13,1012960
2017-02-14,1012960
2017-02-15,1012960
2017-02-16,1012960
2017-02-18,1012960
2017-02-19,1012960
2017-02-20,1012960
2017-02-21,1012960
2017-02-22,1012960
2017-02-23,1012960
2017-02-24,1012960
2017-02-25,1012960
2017-02-26,1012960
2017-02-27,1012960
2017-02-28,1012960
2017-03-01,1035538
2017-03-02,1035538
2017-03-03,1035538
2017-03-04,1035538
2017-03-05,1035538
2017-03-06,1035538
2017-03-07,1035538
2017-03-08,1035538
2017-03-09,1035538
2017-03-10,1035538
2017-03-11,1035538
2017-03-12,1035538
2017-03-13,1035538
2017-03-14,1035538
2017-03-15,1035538
2017-03-16,1035538
2017-03-17,1035538
2017-03-18,1035538
2017-03-19,1035538
