date_obj,Adamant%20bolts price
2015-03-26,200
2015-03-27,200
2015-03-28,194
2015-03-29,186
2015-03-30,177
2015-03-31,172
2015-04-01,167
2015-04-02,165
2015-04-03,165
2015-04-04,169
2015-04-05,174
2015-04-06,182
2015-04-07,186
2015-04-08,189
2015-04-09,190
2015-04-10,194
2015-04-11,195
2015-04-12,197
2015-04-13,195
2015-04-14,197
2015-04-15,202
2015-04-16,203
2015-04-17,206
2015-04-18,207
2015-04-19,208
2015-04-20,208
2015-04-21,206
2015-04-22,201
2015-04-23,197
2015-04-24,196
2015-04-25,197
2015-04-26,198
2015-04-27,198
2015-04-28,196
2015-04-29,195
2015-04-30,193
2015-05-01,188
2015-05-02,182
2015-05-03,174
2015-05-04,172
2015-05-05,175
2015-05-06,179
2015-05-07,184
2015-05-08,187
2015-05-09,189
2015-05-10,188
2015-05-11,185
2015-05-12,183
2015-05-13,185
2015-05-14,185
2015-05-15,184
2015-05-16,181
2015-05-17,180
2015-05-18,184
2015-05-19,188
2015-05-20,189
2015-05-21,190
2015-05-22,189
2015-05-23,186
2015-05-24,183
2015-05-25,187
2015-05-26,193
2015-05-27,195
2015-05-28,194
2015-05-29,190
2015-05-30,187
2015-05-31,186
2015-06-01,189
2015-06-02,189
2015-06-03,191
2015-06-04,192
2015-06-05,194
2015-06-06,194
2015-06-07,192
2015-06-08,193
2015-06-09,191
2015-06-10,190
2015-06-11,189
2015-06-12,186
2015-06-13,186
2015-06-14,189
2015-06-15,190
2015-06-16,194
2015-06-17,194
2015-06-18,191
2015-06-19,192
2015-06-20,190
2015-06-21,190
2015-06-22,190
2015-06-23,188
2015-06-24,184
2015-06-25,181
2015-06-26,179
2015-06-27,178
2015-06-28,183
2015-06-29,187
2015-06-30,190
2015-07-01,191
2015-07-02,189
2015-07-03,189
2015-07-04,192
2015-07-05,192
2015-07-06,196
2015-07-07,194
2015-07-08,194
2015-07-09,194
2015-07-10,193
2015-07-11,194
2015-07-12,196
2015-07-13,200
2015-07-14,198
2015-07-15,199
2015-07-16,202
2015-07-17,201
2015-07-18,203
2015-07-19,195
2015-07-20,192
2015-07-21,185
2015-07-22,182
2015-07-23,187
2015-07-24,189
2015-07-25,193
2015-07-26,200
2015-07-27,206
2015-07-28,205
2015-07-29,202
2015-07-30,195
2015-07-31,191
2015-08-01,189
2015-08-02,186
2015-08-03,186
2015-08-04,186
2015-08-05,185
2015-08-06,183
2015-08-07,182
2015-08-08,182
2015-08-09,184
2015-08-10,182
2015-08-11,183
2015-08-12,185
2015-08-13,188
2015-08-14,186
2015-08-15,187
2015-08-16,185
2015-08-17,185
2015-08-18,189
2015-08-19,189
2015-08-20,195
2015-08-21,198
2015-08-22,206
2015-08-23,215
2015-08-24,214
2015-08-25,214
2015-08-26,206
2015-08-27,197
2015-08-28,189
2015-08-29,183
2015-08-30,178
2015-08-31,174
2015-09-01,174
2015-09-02,177
2015-09-03,174
2015-09-04,174
2015-09-05,176
2015-09-06,176
2015-09-07,181
2015-09-08,185
2015-09-09,185
2015-09-10,183
2015-09-11,176
2015-09-12,170
2015-09-13,169
2015-09-14,174
2015-09-15,175
2015-09-16,175
2015-09-17,172
2015-09-18,166
2015-09-19,165
2015-09-20,169
2015-09-21,166
2015-09-22,166
2015-09-23,171
2015-09-24,174
2015-09-25,174
2015-09-27,171
2015-09-28,172
2015-09-29,177
2015-09-30,177
2015-10-05,169
