date_obj,White%20headband price
2015-03-26,114833
2015-03-27,114833
2015-03-28,112105
2015-03-29,108518
2015-03-30,107139
2015-03-31,105464
2015-04-01,105464
2015-04-02,102715
2015-04-03,100102
2015-04-04,96576
2015-04-05,96386
2015-04-06,94115
2015-04-07,90925
2015-04-08,90925
2015-04-09,89718
2015-04-10,89923
2015-04-11,87233
2015-04-12,85817
2015-04-13,83470
2015-04-14,81851
2015-04-15,80003
2015-04-16,79921
2015-04-17,79504
2015-04-18,77000
2015-04-19,75864
2015-04-20,77063
2015-04-21,75171
2015-04-22,74264
2015-04-23,72073
2015-04-24,72053
2015-04-25,71209
2015-04-26,69805
2015-04-27,68013
2015-04-28,66580
2015-04-29,66580
2015-04-30,65186
2015-05-01,63765
2015-05-02,62888
2015-05-03,62888
2015-05-04,61687
2015-05-05,61302
2015-05-06,60681
2015-05-07,60169
2015-05-08,58977
2015-05-09,58467
2015-05-10,59537
2015-05-11,59537
2015-05-12,60686
2015-05-13,60610
2015-05-14,60311
2015-05-15,62038
2015-05-16,64354
2015-05-17,64348
2015-05-18,64399
2015-05-19,65348
2015-05-20,66634
2015-05-21,66634
2015-05-22,66069
2015-05-23,66960
2015-05-24,66718
2015-05-25,65846
2015-05-26,64462
2015-05-27,62761
2015-05-28,62761
2015-05-29,61187
2015-05-30,60389
2015-05-31,60389
2015-06-01,57877
2015-06-02,57877
2015-06-03,56090
2015-06-04,56090
2015-06-05,54251
2015-06-06,52671
2015-06-07,52671
2015-06-08,50645
2015-06-09,50645
2015-06-10,48692
2015-06-11,48692
2015-06-12,48072
2015-06-13,47759
2015-06-14,47759
2015-06-15,46025
2015-06-16,46025
2015-06-17,44715
2015-06-18,43862
2015-06-19,42906
2015-06-20,42126
2015-06-21,42126
2015-06-22,40985
2015-06-23,40985
2015-06-24,39598
2015-06-25,39598
2015-06-26,39484
2015-06-27,39484
2015-06-28,38984
2015-06-29,38984
2015-06-30,38218
2015-07-01,38029
2015-07-02,38029
2015-07-03,37009
2015-07-04,36578
2015-07-05,36578
2015-07-06,36305
2015-07-07,36305
2015-07-08,35655
2015-07-09,35655
2015-07-10,35739
2015-07-11,35739
2015-07-12,35704
2015-07-13,35704
2015-07-14,34957
2015-07-15,33970
2015-07-16,33970
2015-07-17,33497
2015-07-18,33497
2015-07-19,33723
2015-07-20,34095
2015-07-21,34095
2015-07-22,33351
2015-07-23,33351
2015-07-24,32710
2015-07-25,32710
2015-07-26,31907
2015-07-27,31907
2015-07-28,31324
2015-07-29,30491
2015-07-30,30491
2015-07-31,29994
2015-08-01,29994
2015-08-02,29962
2015-08-03,29962
2015-08-04,29970
2015-08-05,30403
2015-08-06,30403
2015-08-07,30683
2015-08-08,31078
2015-08-09,31511
2015-08-10,31511
2015-08-11,30916
2015-08-12,30916
2015-08-13,30916
2015-08-14,30485
2015-08-15,30485
2015-08-16,30394
2015-08-17,30394
2015-08-18,29520
2015-08-19,29520
2015-08-20,28763
2015-08-21,28743
2015-08-22,28743
2015-08-23,28329
2015-08-24,28449
2015-08-25,28449
2015-08-26,28449
2015-08-27,27825
2015-08-28,27825
2015-08-29,27696
2015-08-30,27696
2015-08-31,27289
2015-09-01,27289
2015-09-02,27049
2015-09-03,27049
2015-09-04,26713
2015-09-05,26713
2015-09-06,27415
2015-09-07,27415
2015-09-08,26714
2015-09-09,26714
2015-09-10,26127
2015-09-11,25432
2015-09-12,25432
2015-09-13,25467
2015-09-14,25467
2015-09-15,25833
2015-09-16,25833
2015-09-17,25995
2015-09-18,25995
2015-09-19,26554
2015-09-20,26554
2015-09-21,27123
2015-09-22,27123
2015-09-23,27814
2015-09-24,27814
2015-09-25,28434
2015-09-27,29086
2015-09-28,29329
2015-09-29,29329
2015-09-30,30261
2015-10-05,31679
2015-10-06,32280
2015-10-07,32280
2015-10-08,32726
2015-10-09,32798
2015-10-10,32798
2015-10-11,32763
2015-10-12,33088
2015-10-13,33088
2015-10-14,33519
2015-10-15,33937
2015-10-16,33937
2015-10-17,34264
2015-10-18,34717
2015-10-19,34780
2015-10-20,34983
2015-10-22,35874
2015-10-23,35874
2015-10-24,35688
2015-10-25,35937
2015-10-26,36597
2015-10-27,36597
2015-10-29,36171
2015-10-30,36531
2015-10-31,36757
2015-11-01,36757
2015-11-02,36983
2015-11-03,36983
2015-11-04,35835
2015-11-05,35835
2015-11-06,35120
2015-11-07,35779
2015-11-08,35779
2015-11-09,36115
2015-11-10,36115
2015-11-11,36378
2015-11-12,36378
2015-11-13,35969
2015-11-14,35969
2015-11-15,35606
2015-11-16,35606
2015-11-17,36122
2015-11-18,36122
2015-11-19,35977
2015-11-20,35977
2015-11-21,36134
2015-11-22,36758
2015-11-23,36758
2015-11-24,36758
2015-11-25,36069
2015-11-26,36069
2015-11-27,35975
2015-11-28,35975
2015-11-29,36177
2015-11-30,36775
2015-12-01,36775
2015-12-02,37098
2015-12-03,37202
2015-12-04,37202
2015-12-05,36704
2015-12-06,36704
2015-12-07,36273
2015-12-08,36273
2015-12-09,36143
2015-12-10,36143
