date_obj,Monkey%20nuts price
2015-03-26,268
2015-03-27,268
2015-03-28,268
2015-03-29,268
2015-03-30,264
2015-03-31,264
2015-04-01,264
2015-04-02,264
2015-04-03,264
2015-04-04,264
2015-04-05,264
2015-04-06,264
2015-04-07,264
2015-04-08,272
2015-04-09,272
2015-04-10,272
2015-04-11,272
2015-04-12,272
2015-04-13,272
2015-04-14,272
2015-04-15,272
2015-04-16,272
2015-04-17,284
2015-04-18,284
2015-04-19,284
2015-04-20,284
2015-04-21,284
2015-04-22,284
2015-04-23,284
2015-04-24,284
2015-04-25,290
2015-04-26,290
2015-04-27,290
2015-04-28,290
2015-04-29,290
2015-04-30,290
2015-05-01,290
2015-05-02,290
2015-05-03,304
2015-05-04,304
2015-05-05,304
2015-05-06,304
2015-05-07,304
2015-05-08,304
2015-05-09,304
2015-05-10,304
2015-05-11,319
2015-05-12,319
2015-05-13,319
2015-05-14,319
2015-05-15,319
2015-05-16,319
2015-05-17,319
2015-05-18,335
2015-05-19,335
2015-05-20,335
2015-05-21,335
2015-05-22,335
2015-05-23,335
2015-05-24,335
2015-05-25,335
2015-05-26,351
2015-05-27,351
2015-05-28,351
2015-05-29,351
2015-05-30,351
2015-05-31,351
2015-06-01,369
2015-06-02,369
2015-06-03,369
2015-06-04,369
2015-06-05,369
2015-06-06,369
2015-06-07,388
2015-06-08,388
2015-06-09,388
2015-06-10,388
2015-06-11,388
2015-06-12,388
2015-06-13,388
2015-06-14,408
2015-06-15,408
2015-06-16,408
2015-06-17,408
2015-06-18,408
2015-06-19,408
2015-06-20,408
2015-06-21,415
2015-06-22,415
2015-06-23,415
2015-06-24,415
2015-06-25,415
2015-06-26,415
2015-06-27,415
2015-06-28,422
2015-06-29,422
2015-06-30,422
2015-07-01,422
2015-07-02,422
2015-07-03,422
2015-07-04,422
2015-07-05,417
2015-07-06,417
2015-07-07,417
2015-07-08,417
2015-07-09,417
2015-07-10,417
2015-07-11,417
2015-07-12,417
2015-07-13,436
2015-07-14,436
2015-07-15,436
2015-07-16,436
2015-07-17,436
2015-07-18,436
2015-07-19,436
2015-07-20,453
2015-07-21,453
2015-07-22,453
2015-07-23,453
2015-07-24,453
2015-07-25,453
2015-07-26,466
2015-07-27,466
2015-07-28,466
2015-07-29,466
2015-07-30,466
2015-07-31,466
2015-08-01,466
2015-08-02,475
2015-08-03,475
2015-08-04,475
2015-08-05,475
2015-08-06,475
2015-08-07,475
2015-08-08,475
2015-08-09,497
2015-08-10,497
2015-08-11,497
2015-08-12,497
2015-08-13,497
2015-08-14,497
2015-08-15,497
2015-08-16,497
2015-08-17,497
2015-08-18,497
