date_obj,Greenman's%20ale(m) price
2015-03-05,3800
2015-03-06,3800
2015-03-07,3800
2015-03-08,3800
2015-03-09,3800
2015-03-10,3800
2015-03-11,3800
2015-03-12,3800
2015-03-13,3800
2015-03-14,3959
2015-03-15,3959
2015-03-16,3959
2015-03-17,3959
2015-03-18,3959
2015-03-19,3959
2015-03-20,3959
2015-03-21,3959
2015-03-22,3959
2015-03-23,3959
2015-03-24,3959
2015-03-25,3959
2015-03-26,3959
2015-03-27,3959
2015-03-28,3959
2015-03-29,4144
2015-03-30,4144
2015-03-31,4144
2015-04-01,4144
2015-04-02,4144
2015-04-03,4144
2015-04-04,4144
2015-04-05,4144
2015-04-06,4144
2015-04-07,4144
2015-04-08,4144
2015-04-09,4144
2015-04-10,4144
2015-04-11,4144
2015-04-12,4144
2015-04-13,4347
2015-04-14,4347
2015-04-15,4347
2015-04-16,4347
2015-04-17,4347
2015-04-18,4347
2015-04-19,4347
2015-04-20,4347
2015-04-21,4347
2015-04-22,4347
2015-04-23,4347
2015-04-24,4347
2015-04-25,4347
2015-04-26,4347
2015-04-27,4347
2015-04-28,4556
2015-04-29,4556
2015-04-30,4556
2015-05-01,4556
2015-05-02,4556
2015-05-03,4556
2015-05-04,4556
2015-05-05,4556
2015-05-06,4768
2015-05-07,4768
2015-05-08,4768
2015-05-09,4768
2015-05-10,4768
2015-05-11,4768
2015-05-12,4768
2015-05-13,4768
2015-05-14,4768
2015-05-15,4996
2015-05-16,4996
2015-05-17,4996
2015-05-18,4996
2015-05-19,4996
2015-05-20,4996
2015-05-21,4996
2015-05-22,4996
2015-05-23,4996
2015-05-24,4996
2015-05-25,5210
2015-05-26,5210
2015-05-27,5210
2015-05-28,5210
2015-05-29,5210
2015-05-30,5210
2015-05-31,5210
2015-06-01,5467
2015-06-02,5467
2015-06-03,5467
2015-06-04,5467
2015-06-05,5467
2015-06-06,5467
2015-06-07,5467
2015-06-08,5467
2015-06-09,5467
2015-06-10,5467
2015-06-11,5467
2015-06-12,5467
2015-06-13,5467
2015-06-14,5735
2015-06-15,5735
2015-06-16,5735
2015-06-17,5735
2015-06-18,5735
2015-06-19,5735
2015-06-20,5735
2015-06-21,5735
2015-06-22,5735
2015-06-23,5735
2015-06-24,5735
2015-06-25,5735
2015-06-26,6019
2015-06-27,6019
2015-06-28,6019
2015-06-29,6019
2015-06-30,6019
2015-07-01,6019
2015-07-02,6019
2015-07-03,6019
2015-07-04,6019
2015-07-05,6019
2015-07-06,6019
2015-07-07,6019
2015-07-08,6308
2015-07-09,6308
2015-07-10,6308
2015-07-11,6308
2015-07-12,6308
2015-07-13,6308
2015-07-14,6308
2015-07-15,6308
2015-07-16,6308
2015-07-17,6308
2015-07-18,6308
2015-07-19,6308
2015-07-20,6611
2015-07-21,6611
2015-07-22,6611
2015-07-23,6611
2015-07-24,6611
2015-07-25,6611
2015-07-26,6611
2015-07-27,6611
2015-07-28,6611
2015-07-29,6611
2015-07-30,6611
2015-07-31,6932
2015-08-01,6932
2015-08-02,6932
2015-08-03,6932
2015-08-04,6932
2015-08-05,6932
2015-08-06,6932
2015-08-07,6932
2015-08-08,6932
2015-08-09,6932
2015-08-10,7270
2015-08-11,7270
2015-08-12,7270
2015-08-13,7270
2015-08-14,7270
2015-08-15,7270
2015-08-16,7270
2015-08-17,7270
2015-08-18,7270
2015-08-19,7270
2015-08-20,7559
2015-08-21,7559
2015-08-22,7559
2015-08-23,7559
2015-08-24,7559
2015-08-25,7559
2015-08-26,7559
2015-08-27,7559
2015-08-28,7559
2015-08-29,7559
2015-08-30,7559
2015-08-31,7559
2015-09-02,7898
2015-09-07,7898
2015-09-08,7898
2015-09-10,7898
2015-09-14,8275
2015-09-16,8275
2015-09-22,8275
2015-09-23,8275
2015-09-24,8275
2015-09-25,8275
2015-09-27,8682
2015-09-28,8682
2015-09-29,8682
2015-09-30,8682
2015-10-05,8682
2015-10-06,8682
2015-10-07,8682
2015-10-08,8682
2015-10-09,8682
2015-10-10,9103
2015-10-11,9103
2015-10-12,9103
2015-10-13,9103
2015-10-14,9103
2015-10-15,9103
2015-10-16,9103
2015-10-17,9103
2015-10-18,9103
2015-10-19,9103
2015-10-20,9103
2015-10-22,9547
2015-10-23,9547
2015-10-24,9547
2015-10-25,9547
2015-10-26,9547
2015-10-27,9547
2015-10-29,9547
2015-10-30,9547
2015-10-31,9547
2015-11-01,9547
2015-11-02,9547
2015-11-03,10015
2015-11-04,10015
2015-11-05,10015
2015-11-06,10015
2015-11-07,10015
2015-11-08,10015
2015-11-09,10015
2015-11-10,10015
2015-11-11,10015
2015-11-12,10015
2015-11-13,10015
2015-11-14,10015
2015-11-15,10015
2015-11-16,10015
2015-11-17,10015
2015-11-18,10015
2015-11-19,10478
2015-11-20,10478
2015-11-21,10478
2015-11-22,10478
2015-11-23,10478
2015-11-24,10478
2015-11-25,10478
2015-11-26,10478
2015-11-27,10478
2015-11-28,10478
2015-11-29,10478
2015-11-30,10478
2015-12-01,10991
2015-12-02,10991
2015-12-03,10991
2015-12-04,10991
2015-12-05,10991
2015-12-06,10991
2015-12-07,10991
2015-12-08,10991
2015-12-09,10991
2015-12-10,10991
2015-12-11,10991
2015-12-12,10991
2015-12-13,11501
2015-12-14,11501
2015-12-15,11501
2015-12-16,11501
2015-12-17,11501
2015-12-18,11501
2015-12-19,11501
2015-12-20,11501
2015-12-21,11501
2015-12-22,11501
2015-12-23,12051
2015-12-24,12051
2015-12-25,12051
2015-12-26,12051
2015-12-27,12051
2015-12-28,12051
2015-12-29,12051
2015-12-30,12051
2015-12-31,12051
2016-01-01,12051
2016-01-02,12630
2016-01-03,12630
2016-01-04,12630
2016-01-05,12630
2016-01-06,12630
2016-01-07,12630
2016-01-08,12630
2016-01-09,12630
2016-01-10,12630
2016-01-11,13104
2016-01-12,13104
2016-01-13,13104
2016-01-14,13104
2016-01-15,13104
2016-01-16,13104
2016-01-17,13104
2016-01-18,13104
2016-01-19,13709
2016-01-20,13709
2016-01-21,13709
2016-01-22,13709
2016-01-23,13709
2016-01-24,13709
2016-01-25,13709
2016-01-26,13709
2016-01-27,14379
2016-01-28,14379
2016-01-29,14379
2016-01-30,14379
2016-01-31,14379
2016-02-01,14379
2016-02-02,14379
2016-02-03,14379
2016-02-04,14379
2016-02-05,14379
2016-02-06,15072
2016-02-07,15072
2016-02-08,15072
2016-02-09,15072
2016-02-10,15072
2016-02-11,15072
2016-02-12,15072
2016-02-13,15072
2016-02-14,15072
2016-02-15,15809
2016-02-16,15809
2016-02-17,15809
2016-02-18,15809
2016-02-19,15809
2016-02-20,15809
2016-02-21,15809
2016-02-22,15809
2016-02-23,15809
2016-02-24,15809
2016-02-25,16566
2016-02-26,16566
2016-02-27,16566
2016-02-28,16566
2016-02-29,16566
2016-03-01,16566
2016-03-02,16566
2016-03-03,16566
2016-03-04,16566
2016-03-05,17358
2016-03-06,17358
2016-03-07,17358
2016-03-08,17358
2016-03-09,17358
2016-03-10,17358
2016-03-11,17358
2016-03-12,17358
2016-03-13,17358
2016-03-14,17358
2016-03-15,18164
2016-03-16,18164
2016-03-17,18164
2016-03-18,18164
2016-03-19,18164
2016-03-20,18164
2016-03-21,18164
2016-03-22,18164
2016-03-23,18164
2016-03-24,19009
2016-03-25,19009
2016-03-26,19009
2016-03-27,19009
2016-03-28,19009
2016-03-29,19009
2016-03-30,19009
2016-03-31,19009
2016-04-01,19009
2016-04-02,19870
2016-04-03,19870
2016-04-04,19870
2016-04-05,19870
2016-04-06,19870
2016-04-07,19870
2016-04-08,19870
2016-04-09,19870
2016-04-10,19870
2016-04-11,19870
2016-04-12,20836
2016-04-13,20836
2016-04-14,20836
2016-04-15,20836
2016-04-16,20836
2016-04-17,20836
2016-04-18,20836
2016-04-19,20836
2016-04-20,20836
2016-04-21,20836
2016-04-22,20836
2016-04-23,21830
2016-04-24,21830
2016-04-25,21830
2016-04-26,21830
