date_obj,Chaos%20talisman price
2015-03-26,1410
2015-03-27,1410
2015-03-28,1339
2015-03-29,1272
2015-03-30,1210
2015-03-31,1152
2015-04-01,1152
2015-04-02,1094
2015-04-03,1044
2015-04-04,992
2015-04-05,992
2015-04-06,943
2015-04-07,896
2015-04-08,896
2015-04-09,878
2015-04-10,835
2015-04-11,794
2015-04-12,755
2015-04-13,720
2015-04-14,720
2015-04-15,684
2015-04-16,650
2015-04-17,619
2015-04-18,589
2015-04-19,560
2015-04-20,560
2015-04-21,533
2015-04-22,533
2015-04-23,506
2015-04-24,482
2015-04-25,459
2015-04-26,438
2015-04-27,417
2015-04-28,398
2015-04-29,398
2015-04-30,379
2015-05-01,361
2015-05-02,353
2015-05-03,353
2015-05-04,335
2015-05-05,335
2015-05-06,319
2015-05-07,319
2015-05-08,315
2015-05-09,315
2015-05-10,302
2015-05-11,302
2015-05-12,287
2015-05-13,287
2015-05-14,272
2015-05-15,272
2015-05-16,264
2015-05-17,251
2015-05-18,251
2015-05-19,247
2015-05-20,247
2015-05-21,247
2015-05-22,236
2015-05-23,236
2015-05-24,224
2015-05-25,224
2015-05-26,212
2015-05-27,212
2015-05-28,202
2015-05-29,207
2015-05-30,199
2015-05-31,199
2015-06-01,202
2015-06-02,202
2015-06-03,193
2015-06-04,193
2015-06-05,190
2015-06-06,190
2015-06-07,190
2015-06-08,181
2015-06-09,171
2015-06-10,166
2015-06-11,166
2015-06-12,161
2015-06-13,153
2015-06-14,153
2015-06-15,153
2015-06-16,153
2015-06-17,158
2015-06-18,158
2015-06-19,150
2015-06-20,150
2015-06-21,142
2015-06-22,142
2015-06-23,134
2015-06-24,132
2015-06-25,132
2015-06-26,139
2015-06-27,139
2015-06-28,144
2015-06-29,144
2015-06-30,137
2015-07-01,137
2015-07-02,133
2015-07-03,133
2015-07-04,138
2015-07-05,138
2015-07-06,139
2015-07-07,139
2015-07-08,137
2015-07-09,137
2015-07-10,133
2015-07-11,133
2015-07-12,134
2015-07-13,134
2015-07-14,130
2015-07-15,130
2015-07-16,128
2015-07-17,128
2015-07-18,130
2015-07-19,130
2015-07-20,137
2015-07-21,137
2015-07-22,144
2015-07-23,144
2015-07-24,149
2015-07-25,149
2015-07-26,142
2015-07-27,142
2015-07-28,135
2015-07-29,136
2015-07-30,136
2015-07-31,133
2015-08-01,133
2015-08-02,127
2015-08-03,127
2015-08-04,122
2015-08-05,122
2015-08-06,128
2015-08-07,128
2015-08-08,135
2015-08-09,135
2015-08-10,142
2015-08-11,142
2015-08-12,150
2015-08-13,150
2015-08-14,158
2015-08-15,158
2015-08-16,161
2015-08-17,161
2015-08-18,167
2015-08-19,167
2015-08-20,174
2015-08-21,167
2015-08-22,167
2015-08-23,162
2015-08-24,162
2015-08-25,167
2015-08-26,167
2015-08-27,170
2015-08-28,170
2015-08-29,172
2015-08-30,172
2015-08-31,176
2015-09-01,176
2015-09-02,180
2015-09-03,180
2015-09-04,174
2015-09-05,174
2015-09-06,182
2015-09-07,182
2015-09-08,187
2015-09-09,187
2015-09-10,189
2015-09-11,189
2015-09-12,192
2015-09-13,192
2015-09-14,195
2015-09-15,195
2015-09-16,193
2015-09-17,193
2015-09-18,201
2015-09-19,201
2015-09-20,200
2015-09-21,200
2015-09-22,207
2015-09-23,207
2015-09-24,207
2015-09-25,208
2015-09-27,207
2015-09-28,207
2015-09-29,212
2015-09-30,212
2015-10-05,225
2015-10-06,226
2015-10-07,226
2015-10-08,238
2015-10-09,238
2015-10-10,238
2015-10-11,250
2015-10-12,250
2015-10-13,256
2015-10-14,256
2015-10-15,269
2015-10-16,269
2015-10-17,269
2015-10-18,283
2015-10-19,283
2015-10-20,298
2015-10-22,313
2015-10-23,313
2015-10-24,329
2015-10-25,346
2015-10-26,346
2015-10-27,364
2015-10-29,383
2015-10-30,383
2015-10-31,403
2015-11-01,403
2015-11-02,424
2015-11-03,424
2015-11-04,446
2015-11-05,446
2015-11-06,469
2015-11-07,493
2015-11-08,493
2015-11-09,506
2015-11-10,506
2015-11-11,532
2015-11-12,532
2015-11-13,559
2015-11-14,559
2015-11-15,579
2015-11-16,579
2015-11-17,608
2015-11-18,608
2015-11-19,639
2015-11-20,639
2015-11-21,652
2015-11-22,660
2015-11-23,660
2015-11-24,680
2015-11-25,675
2015-11-26,675
2015-11-27,671
2015-11-28,671
2015-11-29,672
2015-11-30,675
2015-12-01,675
2015-12-02,682
2015-12-03,682
2015-12-04,672
2015-12-05,672
2015-12-06,649
2015-12-07,649
2015-12-08,621
2015-12-09,605
2015-12-10,605
2015-12-11,605
2015-12-12,605
2015-12-13,609
2015-12-14,609
2015-12-15,609
2015-12-16,609
2015-12-17,612
2015-12-18,612
2015-12-19,633
2015-12-20,665
2015-12-21,665
2015-12-22,699
2015-12-23,704
2015-12-24,704
2015-12-25,702
2015-12-26,702
2015-12-27,707
2015-12-28,707
2015-12-29,709
2015-12-30,713
2015-12-31,713
2016-01-01,717
2016-01-02,717
2016-01-03,723
2016-01-04,731
2016-01-05,731
2016-01-06,724
2016-01-07,724
2016-01-08,689
2016-01-09,689
2016-01-10,691
2016-01-11,665
2016-01-12,636
2016-01-13,636
2016-01-14,604
2016-01-15,585
2016-01-16,585
2016-01-17,556
2016-01-18,532
2016-01-19,532
2016-01-20,505
2016-01-21,495
2016-01-22,475
2016-01-23,475
2016-01-24,454
2016-01-25,438
2016-01-26,438
2016-01-27,423
2016-01-28,423
2016-01-29,404
2016-01-30,404
2016-01-31,392
2016-02-01,392
2016-02-02,394
2016-02-03,379
2016-02-04,379
2016-02-05,389
2016-02-06,394
2016-02-07,394
2016-02-08,414
2016-02-09,414
2016-02-10,426
2016-02-11,426
2016-02-12,437
2016-02-13,432
2016-02-14,432
2016-02-15,425
2016-02-16,425
2016-02-17,423
2016-02-18,423
2016-02-19,426
2016-02-20,426
2016-02-21,411
2016-02-22,411
2016-02-23,407
2016-02-24,407
2016-02-25,428
2016-02-26,428
2016-02-27,438
2016-02-28,438
2016-02-29,430
2016-03-01,434
2016-03-02,434
2016-03-03,432
2016-03-04,432
2016-03-05,420
2016-03-06,403
2016-03-07,403
2016-03-08,409
2016-03-09,409
2016-03-10,417
2016-03-11,417
2016-03-12,417
2016-03-13,417
2016-03-14,417
2016-03-15,417
2016-03-16,416
2016-03-17,416
2016-03-18,404
2016-03-19,404
2016-03-20,408
2016-03-21,408
2016-03-22,401
2016-03-23,421
2016-03-24,421
2016-03-25,443
2016-03-26,466
2016-03-27,466
2016-03-28,490
2016-03-29,490
2016-03-30,515
2016-03-31,515
2016-04-01,515
2016-04-02,510
2016-04-03,485
2016-04-04,462
2016-04-05,439
2016-04-06,419
2016-04-07,438
2016-04-08,438
2016-04-09,435
2016-04-10,429
2016-04-11,429
2016-04-12,412
2016-04-13,412
2016-04-14,399
2016-04-15,380
2016-04-16,369
2016-04-17,363
2016-04-18,350
2016-04-19,350
2016-04-20,337
2016-04-21,337
2016-04-22,321
2016-04-23,321
2016-04-24,304
2016-04-25,290
2016-04-26,290
2016-04-27,292
2016-04-28,292
2016-04-29,305
2016-04-30,305
2016-05-01,297
2016-05-02,297
2016-05-03,288
2016-05-04,288
2016-05-05,283
2016-05-06,283
2016-05-07,269
2016-05-08,269
2016-05-09,268
2016-05-10,270
2016-05-11,270
2016-05-12,263
2016-05-13,249
2016-05-14,236
2016-05-15,224
2016-05-16,224
2016-05-17,212
2016-05-18,201
2016-05-19,201
2016-05-22,180
2016-05-23,171
2016-05-24,163
2016-05-25,163
2016-05-26,155
2016-05-27,147
2016-05-28,147
2016-05-29,143
2016-05-30,143
2016-05-31,136
2016-06-01,139
2016-06-02,139
2016-06-03,143
2016-06-04,143
2016-06-05,136
2016-06-06,131
2016-06-07,131
2016-06-08,127
2016-06-09,127
2016-06-10,132
2016-06-11,132
2016-06-12,139
2016-06-13,139
2016-06-14,146
2016-06-15,146
2016-06-16,154
2016-06-17,162
2016-06-18,162
2016-06-19,171
2016-06-20,171
2016-06-21,170
2016-06-22,170
2016-06-23,176
2016-06-24,176
2016-06-25,178
2016-06-26,178
2016-06-27,174
2016-06-28,182
2016-06-29,182
2016-06-30,192
2016-07-01,202
2016-07-02,202
2016-07-03,213
2016-07-04,224
2016-07-05,224
2016-07-06,236
2016-07-07,236
2016-07-08,248
2016-07-09,248
2016-07-10,261
2016-07-11,261
2016-07-12,275
2016-07-13,275
2016-07-14,280
2016-07-15,280
2016-07-16,278
2016-07-17,278
2016-07-18,276
2016-07-23,271
2016-07-24,275
2016-07-25,275
2016-07-26,275
2016-07-27,275
2016-07-28,279
2016-07-29,278
2016-07-30,278
2016-07-31,277
2016-08-01,277
2016-08-02,263
2016-08-03,263
2016-08-04,257
2016-08-05,257
2016-08-06,245
2016-08-07,245
2016-08-08,243
2016-08-09,243
2016-08-10,252
2016-08-11,252
2016-08-12,252
2016-08-13,265
2016-08-14,265
2016-08-15,279
2016-08-16,279
2016-08-17,293
2016-08-18,293
2016-08-19,308
2016-08-20,308
2016-08-21,324
2016-08-22,324
2016-08-23,327
2016-08-24,327
2016-08-25,311
2016-08-26,311
2016-08-28,307
