date_obj,Karil's%20leathertop price
2015-03-26,1252908
2015-03-27,1252908
2015-03-28,1292736
2015-03-29,1290872
2015-03-30,1263478
2015-03-31,1229479
2015-04-01,1182835
2015-04-02,1161267
2015-04-03,1143024
2015-04-04,1132391
2015-04-05,1150681
2015-04-06,1155072
2015-04-07,1123710
2015-04-08,1097035
2015-04-09,1059632
2015-04-10,1038458
2015-04-11,1015356
2015-04-12,1039128
2015-04-13,1028082
2015-04-14,1040830
2015-04-15,1026136
2015-04-16,999575
2015-04-17,988966
2015-04-18,981654
2015-04-19,979633
2015-04-20,997118
2015-04-21,982893
2015-04-22,966391
2015-04-23,972326
2015-04-24,980123
2015-04-25,987175
2015-04-26,1033253
2015-04-27,1056181
2015-04-28,1041145
2015-04-29,1046596
2015-04-30,1059439
2015-05-01,1074226
2015-05-02,1110746
2015-05-03,1149541
2015-05-04,1167884
2015-05-05,1161039
2015-05-06,1178662
2015-05-07,1153214
2015-05-08,1133359
2015-05-09,1138257
2015-05-10,1144272
2015-05-11,1122656
2015-05-12,1100837
2015-05-13,1090280
2015-05-14,1066453
2015-05-15,1058523
2015-05-16,1059389
2015-05-17,1078229
2015-05-18,1112620
2015-05-19,1132179
2015-05-20,1108353
2015-05-21,1091712
2015-05-22,1049352
2015-05-23,1016317
2015-05-24,1010077
2015-05-25,1060580
2015-05-26,1104418
2015-05-27,1117651
2015-05-28,1120959
2015-05-29,1139910
2015-05-30,1144432
2015-05-31,1127475
2015-06-01,1105130
2015-06-02,1086983
2015-06-03,1073098
2015-06-04,1080183
2015-06-05,1096402
2015-06-06,1090009
2015-06-07,1085965
2015-06-08,1102229
2015-06-09,1137198
2015-06-10,1173720
2015-06-11,1152652
2015-06-12,1151734
2015-06-13,1153187
2015-06-14,1174185
2015-06-15,1164346
2015-06-16,1161591
2015-06-17,1162038
2015-06-18,1181973
2015-06-19,1210244
2015-06-20,1228335
2015-06-21,1260947
2015-06-22,1288513
2015-06-23,1281380
2015-06-24,1284755
2015-06-25,1299491
2015-06-26,1332097
2015-06-27,1335398
2015-06-28,1317307
2015-06-29,1297600
2015-06-30,1275867
2015-07-01,1259041
2015-07-02,1222400
2015-07-03,1239622
2015-07-04,1283958
2015-07-05,1332712
2015-07-06,1339677
2015-07-07,1292428
2015-07-08,1319516
2015-07-09,1331052
2015-07-10,1321522
2015-07-11,1307404
2015-07-12,1294191
2015-07-13,1254941
2015-07-14,1232677
2015-07-15,1204079
2015-07-16,1212186
2015-07-17,1226292
2015-07-18,1197404
2015-07-19,1178898
2015-07-20,1173514
2015-07-21,1170933
2015-07-22,1158201
2015-07-23,1169786
2015-07-24,1200711
2015-07-25,1190126
2015-07-26,1204396
2015-07-27,1253210
2015-07-28,1220150
2015-07-29,1188743
2015-07-30,1193592
2015-07-31,1217283
2015-08-01,1267248
2015-08-02,1266680
2015-08-03,1298080
2015-08-04,1319645
2015-08-05,1324851
2015-08-06,1358453
2015-08-07,1408352
2015-08-08,1430953
2015-08-09,1391846
2015-08-10,1362098
2015-08-11,1354222
2015-08-12,1337809
2015-08-13,1394112
2015-08-14,1387298
2015-08-15,1349220
2015-08-16,1373772
2015-08-17,1385664
2015-08-18,1437560
2015-08-19,1454277
2015-08-20,1411225
2015-08-21,1426537
2015-08-22,1422937
2015-08-23,1422150
2015-08-24,1425017
2015-08-25,1493009
2015-08-26,1547956
2015-08-27,1538253
2015-08-28,1461678
2015-08-29,1400714
2015-08-30,1355887
2015-08-31,1301449
2015-09-01,1275651
2015-09-02,1279227
2015-09-03,1223705
2015-09-04,1184154
2015-09-05,1185059
2015-09-06,1242208
2015-09-07,1248052
2015-09-08,1212234
2015-09-09,1167353
2015-09-10,1112241
2015-09-11,1125816
2015-09-12,1139364
2015-09-13,1191578
2015-09-14,1234823
2015-09-15,1222645
2015-09-16,1167034
2015-09-17,1177690
2015-09-18,1222946
2015-09-19,1249060
2015-09-20,1311400
2015-09-21,1339984
2015-09-22,1334382
2015-09-23,1296873
2015-09-24,1277381
2015-09-25,1269192
2015-09-27,1308639
2015-09-28,1308172
2015-09-29,1273432
2015-09-30,1325909
2015-10-05,1377104
2015-10-06,1329642
2015-10-07,1305699
2015-10-08,1264950
2015-10-09,1298398
2015-10-10,1319754
2015-10-11,1342793
2015-10-12,1321326
2015-10-13,1312255
2015-10-14,1324239
2015-10-15,1313932
2015-10-16,1328586
2015-10-17,1324607
2015-10-18,1373433
2015-10-19,1350220
2015-10-20,1355059
2015-10-22,1432573
2015-10-23,1475134
2015-10-24,1477530
2015-10-25,1551407
2015-10-26,1555165
2015-10-27,1629085
2015-10-29,1579632
2015-10-30,1501154
2015-10-31,1465843
2015-11-01,1478875
2015-11-02,1455887
2015-11-03,1409507
2015-11-04,1352479
2015-11-05,1307006
2015-11-06,1333124
2015-11-07,1363993
2015-11-08,1357452
2015-11-09,1354878
2015-11-10,1350814
2015-11-11,1325967
2015-11-12,1309545
2015-11-13,1284222
2015-11-14,1271122
2015-11-15,1288022
2015-11-16,1302313
2015-11-17,1295258
2015-11-18,1293354
2015-11-19,1300762
2015-11-20,1312578
2015-11-21,1330239
2015-11-22,1362275
2015-11-23,1368499
2015-11-24,1391442
2015-11-25,1454825
2015-11-26,1486131
2015-11-27,1532279
2015-11-28,1597976
2015-11-29,1643004
2015-11-30,1721419
2015-12-01,1800495
2015-12-02,1885460
2015-12-03,1911918
2015-12-04,1884857
2015-12-05,1975913
2015-12-06,1957984
2015-12-07,1954288
2015-12-08,1941233
2015-12-09,1998257
2015-12-10,2050714
2015-12-11,2056729
2015-12-12,2128196
2015-12-13,2171440
2015-12-14,2186280
2015-12-15,2196421
2015-12-16,2182672
2015-12-17,2167535
2015-12-18,2196766
2015-12-19,2221626
2015-12-20,2274659
2015-12-21,2387247
2015-12-22,2387688
2015-12-23,2427329
2015-12-24,2522494
2015-12-25,2532674
2015-12-26,2551942
2015-12-27,2507169
2015-12-28,2470874
2015-12-29,2466395
2015-12-30,2444966
2015-12-31,2409776
2016-01-01,2458437
2016-01-02,2517526
2016-01-03,2566113
2016-01-04,2592245
2016-01-05,2541205
2016-01-06,2521271
2016-01-07,2500583
2016-01-08,2462039
2016-01-09,2566251
2016-01-10,2671399
2016-01-11,2629123
2016-01-12,2574674
2016-01-13,2557101
2016-01-14,2511845
2016-01-15,2463770
2016-01-16,2446850
2016-01-17,2414323
2016-01-18,2379812
2016-01-19,2349745
2016-01-20,2292782
2016-01-21,2222895
2016-01-22,2166176
2016-01-23,2143676
2016-01-24,2154580
2016-01-25,2139609
2016-01-26,2111254
2016-01-27,2162754
2016-01-28,2162261
2016-01-29,2158074
2016-01-30,2217385
2016-01-31,2240225
2016-02-01,2267847
2016-02-02,2244297
2016-02-03,2217456
2016-02-04,2175298
2016-02-05,2129779
2016-02-06,2098091
2016-02-07,2072785
2016-02-08,2066586
2016-02-09,2043275
2016-02-10,2032326
2016-02-11,2072623
2016-02-12,2082157
2016-02-13,2142781
2016-02-14,2132344
2016-02-15,2118228
2016-02-16,2087418
2016-02-17,2104650
2016-02-18,2085994
2016-02-19,2093373
2016-02-20,2096482
2016-02-21,2093620
2016-02-22,2091244
2016-02-23,2072468
2016-02-24,2019016
2016-02-25,2019394
2016-02-26,2051807
2016-02-27,2059412
2016-02-28,2045840
2016-02-29,2056503
2016-03-01,2116197
2016-03-02,2120235
2016-03-03,2147861
2016-03-04,2159675
2016-03-05,2252354
2016-03-06,2251586
2016-03-07,2275907
2016-03-08,2274605
2016-03-09,2277380
2016-03-10,2334909
2016-03-11,2346377
2016-03-12,2351344
2016-03-13,2343704
2016-03-14,2264381
2016-03-15,2247989
2016-03-16,2144070
2016-03-17,2049304
2016-03-18,2026065
2016-03-19,2077896
2016-03-20,2117432
2016-03-21,2085757
2016-03-22,2058604
2016-03-23,2057793
2016-03-24,2058514
2016-03-25,2060459
2016-03-26,2093699
2016-03-27,2113336
2016-03-28,2096082
2016-03-29,2049483
2016-03-30,2031511
2016-03-31,2024455
2016-04-01,1952274
2016-04-02,1941242
2016-04-03,1907913
2016-04-04,1897657
2016-04-05,1977548
2016-04-06,1933393
2016-04-07,1900065
2016-04-08,1925753
2016-04-09,1934615
2016-04-10,1939609
2016-04-11,1945612
2016-04-12,1951647
2016-04-13,1962206
2016-04-14,1962046
2016-04-15,1946954
2016-04-16,1946588
2016-04-17,1942353
2016-04-18,1918910
2016-04-19,1914597
2016-04-20,1886146
2016-04-21,1872736
2016-04-22,1870386
2016-04-23,1886251
2016-04-24,1913825
2016-04-25,1934294
2016-04-26,1982699
2016-04-27,2048528
2016-04-28,2022052
2016-04-29,2020775
2016-04-30,2015519
2016-05-01,1998191
2016-05-02,1976880
2016-05-03,1938291
2016-05-04,1895800
2016-05-05,1896797
2016-05-06,1977929
2016-05-07,2076708
2016-05-08,2180481
2016-05-09,2285103
2016-05-10,2399020
2016-05-11,2518307
2016-05-12,2517463
2016-05-13,2515271
2016-05-14,2609893
2016-05-15,2539847
2016-05-16,2457756
2016-05-17,2336860
2016-05-18,2292493
2016-05-19,2281620
2016-05-22,2278396
2016-05-23,2277166
2016-05-24,2233391
2016-05-25,2223431
2016-05-26,2216121
2016-05-27,2191467
2016-05-28,2199799
2016-05-29,2240925
2016-05-30,2280438
2016-05-31,2283666
2016-06-01,2267150
2016-06-02,2259503
2016-06-03,2238416
2016-06-04,2137491
2016-06-05,2136145
2016-06-06,2047052
2016-06-07,2066286
2016-06-08,2058755
2016-06-09,2061987
2016-06-10,2064701
2016-06-11,2069826
2016-06-12,2053884
2016-06-13,2015780
2016-06-14,1971872
2016-06-15,1986680
2016-06-16,1998068
2016-06-17,1975067
2016-06-18,1973134
2016-06-19,1965822
2016-06-20,1972060
2016-06-21,1960080
2016-06-22,1960006
2016-06-23,1978073
2016-06-24,1944048
2016-06-25,1950092
2016-06-26,1940685
2016-06-27,1933215
2016-06-28,1921625
2016-06-29,1911559
2016-06-30,1932379
2016-07-01,1977082
2016-07-02,2036487
