date_obj,Black%20desert%20shirt price
2015-03-26,82
2015-03-27,82
2015-03-28,82
2015-03-29,86
2015-03-30,86
2015-03-31,91
2015-04-01,91
2015-04-02,91
2015-04-03,96
2015-04-04,96
2015-04-05,101
2015-04-06,101
2015-04-07,104
2015-04-08,104
2015-04-09,104
2015-04-10,106
2015-04-11,106
2015-04-12,109
2015-04-13,109
2015-04-14,114
2015-04-15,114
2015-04-16,119
2015-04-17,119
2015-04-18,125
2015-04-19,125
2015-04-20,129
2015-04-21,129
2015-04-22,129
2015-04-23,132
2015-04-24,132
2015-04-25,132
2015-04-26,135
2015-04-27,135
2015-04-28,137
2015-04-29,137
2015-04-30,141
2015-05-01,141
2015-05-02,140
2015-05-03,140
2015-05-04,140
2015-05-05,143
2015-05-06,143
2015-05-07,146
2015-05-08,146
2015-05-09,148
2015-05-10,148
2015-05-11,148
2015-05-12,149
2015-05-13,149
2015-05-14,151
2015-05-15,151
2015-05-16,155
2015-05-17,155
2015-05-18,157
2015-05-19,157
2015-05-20,157
2015-05-21,157
2015-05-22,161
2015-05-23,161
2015-05-24,153
2015-05-25,153
2015-05-26,145
2015-05-27,145
2015-05-28,149
2015-05-29,149
2015-05-30,153
2015-05-31,153
2015-06-01,155
2015-06-02,155
2015-06-03,155
2015-06-04,155
2015-06-05,155
2015-06-06,157
2015-06-07,157
2015-06-08,157
2015-06-09,158
2015-06-10,158
2015-06-11,158
2015-06-12,162
2015-06-13,162
2015-06-14,166
2015-06-15,166
2015-06-16,174
2015-06-17,174
2015-06-18,178
2015-06-19,178
2015-06-20,176
2015-06-21,176
2015-06-22,181
2015-06-23,181
2015-06-24,184
2015-06-25,184
2015-06-26,187
2015-06-27,187
2015-06-28,187
2015-06-29,188
2015-06-30,188
2015-07-01,188
2015-07-02,188
2015-07-03,188
2015-07-04,193
2015-07-05,193
2015-07-06,196
2015-07-07,196
2015-07-08,203
2015-07-09,203
2015-07-10,203
2015-07-11,209
2015-07-12,209
2015-07-13,209
2015-07-14,212
2015-07-15,212
2015-07-16,217
2015-07-17,217
2015-07-18,221
2015-07-19,221
2015-07-20,224
2015-07-21,224
2015-07-22,228
2015-07-23,228
2015-07-24,240
2015-07-25,240
2015-07-26,242
2015-07-27,242
2015-07-28,249
2015-07-29,249
2015-07-30,262
2015-07-31,262
2015-08-01,262
2015-08-02,269
2015-08-03,269
2015-08-04,280
2015-08-05,280
2015-08-06,294
2015-08-07,294
2015-08-08,303
2015-08-09,303
2015-08-10,305
2015-08-11,305
2015-08-12,313
2015-08-13,313
2015-08-14,321
2015-08-15,321
2015-08-16,338
2015-08-17,338
2015-08-18,351
2015-08-19,351
2015-08-20,351
2015-08-21,351
2015-08-22,358
2015-08-23,358
2015-08-24,363
2015-08-25,363
2015-08-26,363
2015-08-27,371
2015-08-28,371
2015-08-29,384
2015-08-30,384
2015-08-31,384
2015-09-01,388
2015-09-02,388
2015-09-03,388
2015-09-04,399
2015-09-05,399
2015-09-06,399
2015-09-07,414
2015-09-08,414
2015-09-09,429
2015-09-10,429
2015-09-11,429
2015-09-12,442
2015-09-13,442
2015-09-14,454
2015-09-15,454
2015-09-16,463
2015-09-17,463
2015-09-18,463
2015-09-19,465
2015-09-20,465
2015-09-21,465
2015-09-22,469
2015-09-23,469
2015-09-24,469
2015-09-25,475
2015-09-27,479
2015-09-28,479
2015-09-29,479
2015-09-30,463
2015-10-05,479
2015-10-06,479
2015-10-07,479
2015-10-08,489
2015-10-09,489
2015-10-10,489
2015-10-11,486
2015-10-12,486
2015-10-13,486
2015-10-14,491
2015-10-15,491
2015-10-16,494
2015-10-17,494
2015-10-18,494
2015-10-19,496
2015-10-20,496
2015-10-22,509
2015-10-23,509
2015-10-24,508
2015-10-25,508
2015-10-26,522
2015-10-27,522
2015-10-28,522
2015-10-29,530
2015-10-30,530
2015-10-31,544
2015-11-01,544
2015-11-02,544
2015-11-03,545
2015-11-04,545
2015-11-05,549
2015-11-06,549
2015-11-07,549
2015-11-08,551
2015-11-09,551
2015-11-10,551
2015-11-11,567
2015-11-12,567
2015-11-13,567
2015-11-14,567
2015-11-15,580
2015-11-16,580
2015-11-17,580
2015-11-18,586
2015-11-19,586
2015-11-20,586
2015-11-21,598
2015-11-22,598
2015-11-23,598
2015-11-24,615
2015-11-25,615
2015-11-26,615
2015-11-27,620
2015-11-28,620
2015-11-29,650
2015-11-30,650
2015-12-01,650
2015-12-02,682
2015-12-03,682
2015-12-04,682
2015-12-05,703
2015-12-06,703
2015-12-07,711
2015-12-08,711
2015-12-09,728
2015-12-10,728
2015-12-11,728
2015-12-12,759
2015-12-13,759
2015-12-14,759
2015-12-15,782
2015-12-16,782
2015-12-17,805
2015-12-18,805
2015-12-19,820
2015-12-20,820
2015-12-21,819
2015-12-22,819
2015-12-23,819
2015-12-24,819
2015-12-25,819
2015-12-26,847
2015-12-27,847
2015-12-28,848
2015-12-29,848
2015-12-30,860
2015-12-31,860
2016-01-01,860
2016-01-02,874
2016-01-03,874
