date_obj,Uncut%20emerald price
2015-03-26,1332
2015-03-27,1385
2015-03-28,1398
2015-03-29,1426
2015-03-30,1446
2015-03-31,1463
2015-04-01,1483
2015-04-02,1496
2015-04-03,1532
2015-04-04,1592
2015-04-05,1593
2015-04-06,1633
2015-04-07,1623
2015-04-08,1649
2015-04-09,1645
2015-04-10,1665
2015-04-11,1677
2015-04-12,1611
2015-04-13,1565
2015-04-14,1522
2015-04-15,1472
2015-04-16,1412
2015-04-17,1362
2015-04-18,1322
2015-04-19,1293
2015-04-20,1277
2015-04-21,1247
2015-04-22,1247
2015-04-23,1233
2015-04-24,1247
2015-04-25,1289
2015-04-26,1342
2015-04-27,1380
2015-04-28,1386
2015-04-29,1362
2015-04-30,1348
2015-05-01,1358
2015-05-02,1386
2015-05-03,1424
2015-05-04,1445
2015-05-05,1483
2015-05-06,1455
2015-05-07,1469
2015-05-08,1540
2015-05-09,1592
2015-05-10,1625
2015-05-11,1629
2015-05-12,1636
2015-05-13,1635
2015-05-14,1670
2015-05-15,1703
2015-05-16,1659
2015-05-17,1637
2015-05-18,1634
2015-05-19,1639
2015-05-20,1638
2015-05-21,1704
2015-05-22,1691
2015-05-23,1615
2015-05-24,1609
2015-05-25,1624
2015-05-26,1615
2015-05-27,1606
2015-05-28,1593
2015-05-29,1594
2015-05-30,1633
2015-05-31,1695
2015-06-01,1682
2015-06-02,1682
2015-06-03,1660
2015-06-04,1668
2015-06-05,1734
2015-06-06,1811
2015-06-07,1834
2015-06-08,1883
2015-06-09,1921
2015-06-10,1869
2015-06-11,1843
2015-06-12,1877
2015-06-13,1873
2015-06-14,1919
2015-06-15,1832
2015-06-16,1788
2015-06-17,1779
2015-06-18,1790
2015-06-19,1778
2015-06-20,1765
2015-06-21,1736
2015-06-22,1678
2015-06-23,1666
2015-06-24,1683
2015-06-25,1670
2015-06-26,1652
2015-06-27,1631
2015-06-28,1598
2015-06-29,1579
2015-06-30,1571
2015-07-01,1553
2015-07-02,1551
2015-07-03,1538
2015-07-04,1503
2015-07-05,1502
2015-07-06,1516
2015-07-07,1506
2015-07-08,1487
2015-07-09,1515
2015-07-10,1499
2015-07-11,1508
2015-07-12,1488
2015-07-13,1435
2015-07-14,1416
2015-07-15,1386
2015-07-16,1386
2015-07-17,1423
2015-07-18,1471
2015-07-19,1497
2015-07-20,1518
2015-07-21,1535
2015-07-22,1515
2015-07-23,1533
2015-07-24,1536
2015-07-25,1502
2015-07-26,1489
2015-07-27,1511
2015-07-28,1491
2015-07-29,1513
2015-07-30,1493
2015-07-31,1489
2015-08-01,1538
2015-08-02,1498
2015-08-03,1485
2015-08-04,1468
2015-08-05,1439
2015-08-06,1460
2015-08-07,1435
2015-08-08,1423
2015-08-09,1421
2015-08-10,1414
2015-08-11,1396
2015-08-12,1404
2015-08-13,1399
2015-08-14,1419
2015-08-15,1456
2015-08-16,1455
2015-08-17,1451
2015-08-18,1465
2015-08-19,1454
2015-08-20,1464
2015-08-21,1474
2015-08-22,1483
2015-08-23,1526
2015-08-24,1542
2015-08-25,1544
2015-08-26,1538
2015-08-27,1517
2015-08-28,1481
2015-08-29,1477
2015-08-30,1491
2015-08-31,1500
2015-09-01,1487
2015-09-02,1451
2015-09-03,1461
2015-09-04,1461
2015-09-05,1463
2015-09-06,1434
2015-09-07,1409
2015-09-08,1370
2015-09-09,1341
2015-09-10,1330
2015-09-11,1300
2015-09-12,1324
2015-09-13,1354
2015-09-14,1320
2015-09-15,1347
2015-09-16,1390
2015-09-17,1391
2015-09-18,1384
2015-09-19,1345
2015-09-20,1287
2015-09-21,1233
2015-09-22,1205
2015-09-23,1206
2015-09-24,1202
2015-09-25,1212
2015-09-27,1215
2015-09-28,1202
2015-09-29,1214
2015-09-30,1253
2015-10-05,1273
2015-10-06,1240
2015-10-07,1222
2015-10-08,1229
2015-10-09,1237
2015-10-10,1219
2015-10-11,1179
2015-10-12,1199
2015-10-13,1235
2015-10-14,1228
2015-10-15,1229
2015-10-16,1193
2015-10-17,1161
2015-10-18,1147
2015-10-19,1156
2015-10-20,1171
2015-10-22,1198
2015-10-23,1207
2015-10-24,1184
2015-10-25,1194
2015-10-26,1177
2015-10-27,1179
2015-10-29,1143
2015-10-30,1135
2015-10-31,1147
2015-11-01,1165
2015-11-02,1177
2015-11-03,1192
2015-11-04,1198
2015-11-05,1211
2015-11-06,1245
2015-11-07,1252
2015-11-08,1271
2015-11-09,1273
2015-11-10,1289
2015-11-11,1299
2015-11-12,1330
2015-11-13,1391
2015-11-14,1461
2015-11-15,1457
2015-11-16,1469
2015-11-17,1483
2015-11-18,1486
2015-11-19,1514
2015-11-20,1549
2015-11-21,1597
2015-11-22,1665
2015-11-23,1670
2015-11-24,1712
2015-11-25,1783
2015-11-26,1869
2015-11-27,1917
2015-11-28,1976
2015-11-29,2034
2015-11-30,2114
2015-12-01,2146
2015-12-02,2149
2015-12-03,2228
2015-12-04,2330
2015-12-05,2447
2015-12-06,2529
2015-12-07,2547
2015-12-08,2675
2015-12-09,2653
2015-12-10,2695
2015-12-11,2624
2015-12-13,2527
2015-12-14,2544
2015-12-15,2418
2015-12-16,2297
2015-12-17,2182
2015-12-18,2072
2015-12-19,1968
2015-12-20,1873
2015-12-21,1790
2015-12-22,1741
2015-12-23,1714
2015-12-24,1694
2015-12-25,1710
2015-12-26,1703
2015-12-27,1652
2015-12-28,1607
2015-12-29,1614
2015-12-30,1640
2015-12-31,1686
2016-01-01,1742
2016-01-02,1801
2016-01-03,1852
2016-01-04,1884
2016-01-05,1917
2016-01-06,1960
2016-01-07,1975
2016-01-08,1911
2016-01-09,1953
2016-01-10,1958
2016-01-11,1890
2016-01-12,1881
2016-01-13,1901
2016-01-14,1872
2016-01-15,1884
2016-01-16,1912
2016-01-17,1916
2016-01-18,1887
2016-01-19,1915
2016-01-20,1900
2016-01-21,1939
2016-01-22,1918
2016-01-23,1904
2016-01-24,1846
2016-01-25,1863
2016-01-26,1929
2016-01-27,1968
2016-01-28,1964
2016-01-29,1996
2016-01-30,2057
2016-01-31,2051
2016-02-01,2014
2016-02-02,2059
2016-02-03,2109
2016-02-04,2137
2016-02-05,2182
2016-02-06,2205
2016-02-07,2119
2016-02-08,2029
2016-02-09,1998
2016-02-10,2051
2016-02-11,2067
2016-02-12,2146
2016-02-13,2166
2016-02-14,2166
2016-02-15,2155
2016-02-16,2245
2016-02-17,2305
2016-02-18,2271
2016-02-19,2184
2016-02-20,2084
2016-02-21,1995
2016-02-22,1949
2016-02-23,1932
2016-02-24,1961
2016-02-25,2025
2016-02-26,1993
2016-02-27,1967
2016-02-28,1922
2016-02-29,1876
2016-03-01,1865
2016-03-02,1846
2016-03-03,1842
2016-03-04,1872
2016-03-05,1896
2016-03-06,1865
2016-03-07,1930
2016-03-08,1895
2016-03-09,1879
2016-03-10,1856
2016-03-11,1841
2016-03-12,1804
2016-03-13,1779
2016-03-14,1741
2016-03-15,1782
2016-03-16,1814
2016-03-17,1808
2016-03-18,1804
2016-03-19,1798
2016-03-20,1754
2016-03-21,1778
