date_obj,Fremennik%20blue%20cloak price
2015-03-04,10000
2015-03-05,10000
2015-03-06,10000
2015-03-07,10000
2015-03-08,10000
2015-03-09,10000
2015-03-10,10000
2015-03-11,10000
2015-03-12,10000
2015-03-13,10000
2015-03-14,10000
2015-03-15,10000
2015-03-16,10000
2015-03-17,10000
2015-03-18,10000
2015-03-19,10000
2015-03-20,10000
2015-03-21,9550
2015-03-22,9550
2015-03-23,9550
2015-03-24,9550
2015-03-25,9550
2015-03-26,9550
2015-03-27,9550
2015-03-28,9550
2015-03-29,9550
2015-03-30,9550
2015-03-31,9550
2015-04-01,9550
2015-04-02,9550
2015-04-03,9550
2015-04-04,9550
2015-04-05,9550
2015-04-06,9550
2015-04-07,9550
2015-04-08,9550
2015-04-09,9550
2015-04-10,9550
2015-04-11,9181
2015-04-12,9181
2015-04-13,9181
2015-04-14,9181
2015-04-15,9181
2015-04-16,9181
2015-04-17,9181
2015-04-18,9181
2015-04-19,9181
2015-04-20,9181
2015-04-21,9181
2015-04-22,9181
2015-04-23,9181
2015-04-24,9181
2015-04-25,9181
2015-04-26,9181
2015-04-27,9181
2015-04-28,9181
2015-04-29,9181
2015-04-30,9181
2015-05-01,9181
2015-05-02,8723
2015-05-03,8723
2015-05-04,8723
2015-05-05,8723
2015-05-06,8723
2015-05-07,8723
2015-05-08,8723
2015-05-09,8723
2015-05-10,8723
2015-05-11,8723
2015-05-12,8723
2015-05-13,8723
2015-05-14,8723
2015-05-15,8723
2015-05-16,8723
2015-05-17,8723
2015-05-18,8723
2015-05-19,8723
2015-05-20,8723
2015-05-21,8723
2015-05-22,8723
2015-05-23,8723
2015-05-24,8723
2015-05-25,8723
2015-05-26,8723
2015-05-27,8305
2015-05-28,8305
2015-05-29,8305
2015-05-30,8305
2015-05-31,8305
2015-06-01,8305
2015-06-02,8305
2015-06-03,8305
2015-06-04,8305
2015-06-05,8305
2015-06-06,8305
2015-06-07,8305
2015-06-08,8305
2015-06-09,8305
2015-06-10,8305
2015-06-11,8305
2015-06-12,8305
2015-06-13,8305
2015-06-14,7893
2015-06-15,7893
2015-06-16,7893
2015-06-17,7893
2015-06-18,7893
2015-06-19,7893
2015-06-20,7893
2015-06-21,7893
2015-06-22,7893
2015-06-23,7893
2015-06-24,7893
2015-06-25,7893
2015-06-26,7893
2015-06-27,7893
2015-06-28,7893
2015-06-29,7893
2015-06-30,7893
2015-07-01,7893
2015-07-02,7715
2015-07-03,7715
2015-07-04,7715
2015-07-05,7715
2015-07-06,7715
2015-07-07,7715
2015-07-08,7715
2015-07-09,7715
2015-07-10,7715
2015-07-11,7715
2015-07-12,7715
2015-07-13,7715
2015-07-14,7715
2015-07-15,7715
2015-07-16,7395
2015-07-17,7395
2015-07-18,7395
2015-07-19,7395
2015-07-20,7395
2015-07-21,7395
2015-07-22,7395
2015-07-23,7395
2015-07-24,7395
2015-07-25,7395
2015-07-26,7395
2015-07-27,7395
2015-07-28,7395
2015-07-29,7395
2015-07-30,7079
2015-07-31,7079
2015-08-01,7079
2015-08-02,7079
2015-08-03,7079
2015-08-04,7079
2015-08-05,7079
2015-08-06,7079
2015-08-07,7079
2015-08-08,7079
2015-08-09,7079
2015-08-10,7079
2015-08-11,7079
2015-08-12,7079
2015-08-13,6727
2015-08-14,6727
2015-08-15,6727
2015-08-16,6727
2015-08-17,6727
2015-08-18,6727
2015-08-19,6727
2015-08-20,6727
2015-08-21,6727
2015-08-22,6727
2015-08-23,6727
2015-08-24,6727
2015-08-25,6727
2015-08-26,6395
2015-08-27,6395
2015-08-28,6395
2015-08-29,6395
2015-08-30,6395
2015-08-31,6395
2015-09-02,6395
2015-09-07,6395
2015-09-08,6093
2015-09-10,6093
2015-09-14,6093
2015-09-16,6093
2015-09-22,6093
2015-09-23,5790
2015-09-24,5790
2015-09-25,5790
2015-09-27,5790
2015-09-28,5790
2015-09-29,5790
2015-09-30,5790
2015-10-05,5790
2015-10-06,5790
2015-10-07,5790
2015-10-08,5790
2015-10-09,5511
2015-10-10,5511
2015-10-11,5511
2015-10-12,5511
2015-10-13,5511
2015-10-14,5511
2015-10-15,5511
2015-10-16,5511
2015-10-17,5511
2015-10-18,5511
2015-10-19,5511
2015-10-20,5511
2015-10-22,5511
2015-10-23,5511
2015-10-24,5511
2015-10-25,5239
2015-10-26,5239
2015-10-27,5239
2015-10-29,5239
2015-10-30,5239
2015-10-31,5239
2015-11-01,5239
2015-11-02,5239
2015-11-03,5239
2015-11-04,5239
2015-11-05,5239
2015-11-06,5239
2015-11-07,5239
2015-11-08,5239
