date_obj,Saradomin%20full%20helm price
2015-03-26,131405
2015-03-27,131405
2015-03-28,127521
2015-03-29,127521
2015-03-30,123189
2015-03-31,123189
2015-04-01,123189
2015-04-02,118541
2015-04-03,118541
2015-04-04,113470
2015-04-05,113470
2015-04-06,113470
2015-04-07,108155
2015-04-08,108155
2015-04-09,108155
2015-04-10,102799
2015-04-11,102799
2015-04-12,98286
2015-04-13,98286
2015-04-14,98286
2015-04-15,94595
2015-04-16,94595
2015-04-17,94595
2015-04-18,91165
2015-04-19,91165
2015-04-20,91165
2015-04-21,89092
2015-04-22,89092
2015-04-23,89092
2015-04-24,86773
2015-04-25,86773
2015-04-26,86773
2015-04-27,86160
2015-04-28,86160
2015-04-29,86160
2015-04-30,86760
2015-05-01,86760
2015-05-02,85532
2015-05-03,85532
2015-05-04,85532
2015-05-05,82926
2015-05-06,82926
2015-05-07,80195
2015-05-08,80195
2015-05-09,80195
2015-05-10,77039
2015-05-11,77039
2015-05-12,77039
2015-05-13,75375
2015-05-14,75375
2015-05-15,75375
2015-05-16,74483
2015-05-17,74483
2015-05-18,72860
2015-05-19,72860
2015-05-20,72860
2015-05-21,72860
2015-05-22,70042
2015-05-23,70042
2015-05-24,70042
2015-05-25,67667
2015-05-26,67667
2015-05-27,67667
2015-05-28,66973
2015-05-29,66973
2015-05-30,65380
2015-05-31,65380
2015-06-01,64569
2015-06-02,64569
2015-06-03,65627
2015-06-04,65627
2015-06-05,67372
2015-06-06,67372
2015-06-07,68668
2015-06-08,68668
2015-06-09,69992
2015-06-10,69992
2015-06-11,68830
2015-06-12,68830
2015-06-13,67476
2015-06-14,67476
2015-06-15,65296
2015-06-16,65296
2015-06-17,64693
2015-06-18,64693
2015-06-19,63716
2015-06-20,63716
2015-06-21,63854
2015-06-22,63854
2015-06-23,63432
2015-06-24,63098
2015-06-25,63098
2015-06-26,63546
2015-06-27,63546
2015-06-28,63315
2015-06-29,63315
2015-06-30,63222
2015-07-01,63222
2015-07-02,63421
2015-07-03,64560
2015-07-04,64560
2015-07-05,66864
2015-07-06,66864
2015-07-07,68238
2015-07-08,68238
2015-07-09,71080
2015-07-10,71080
2015-07-11,73133
2015-07-12,73133
2015-07-13,73745
2015-07-14,73745
2015-07-15,74597
2015-07-16,74597
2015-07-17,75554
2015-07-18,75554
2015-07-19,77748
2015-07-20,77748
2015-07-21,77775
2015-07-22,78411
2015-07-23,78411
2015-07-24,79117
2015-07-25,79117
2015-07-26,79808
2015-07-27,79808
2015-07-28,81246
2015-07-29,81246
2015-07-30,82448
2015-07-31,82448
2015-08-01,83513
2015-08-02,85279
2015-08-03,85279
2015-08-04,87065
2015-08-05,87065
2015-08-06,88932
2015-08-07,88932
2015-08-08,90849
2015-08-09,90849
2015-08-10,92715
2015-08-11,92715
2015-08-12,92715
2015-08-13,93847
2015-08-14,93847
2015-08-15,93166
2015-08-16,93166
2015-08-17,92366
2015-08-18,92366
2015-08-19,92472
2015-08-20,92472
2015-08-21,90716
2015-08-22,90716
2015-08-23,90535
2015-08-24,90535
2015-08-25,90190
2015-08-26,90190
2015-08-27,90715
2015-08-28,90715
2015-08-29,91286
2015-08-30,91286
2015-08-31,89538
2015-09-01,89538
2015-09-02,88794
2015-09-03,88794
2015-09-04,88984
2015-09-05,88984
2015-09-06,88984
2015-09-07,90260
2015-09-08,90260
2015-09-09,91014
2015-09-10,91014
2015-09-11,92121
2015-09-12,92121
2015-09-13,92789
2015-09-14,92789
2015-09-15,93924
2015-09-16,93924
2015-09-17,94023
2015-09-18,94023
2015-09-19,92345
2015-09-20,92345
2015-09-21,89634
2015-09-22,89634
2015-09-23,89737
2015-09-24,89737
2015-09-25,89737
2015-09-27,89823
2015-09-28,91025
2015-09-29,91025
2015-09-30,92645
2015-10-05,98407
2015-10-06,101731
2015-10-07,101731
2015-10-08,104709
2015-10-09,104709
2015-10-10,108310
2015-10-11,108310
2015-10-12,108939
2015-10-13,108939
2015-10-14,108939
