date_obj,Mithril%20battleaxe price
2015-03-26,2531
2015-03-27,2531
2015-03-28,2531
2015-03-29,2410
2015-03-30,2410
2015-03-31,2410
2015-04-01,2410
2015-04-02,2291
2015-04-03,2291
2015-04-04,2291
2015-04-05,2177
2015-04-06,2177
2015-04-07,2177
2015-04-08,2177
2015-04-09,2074
2015-04-10,2074
2015-04-11,2074
2015-04-12,1973
2015-04-13,1973
2015-04-14,1973
2015-04-15,1973
2015-04-16,1889
2015-04-17,1889
2015-04-18,1889
2015-04-19,1796
2015-04-20,1796
2015-04-21,1796
2015-04-22,1796
2015-04-23,1707
2015-04-24,1707
2015-04-25,1707
2015-04-26,1707
2015-04-27,1625
2015-04-28,1625
2015-04-29,1625
2015-04-30,1625
2015-05-01,1545
2015-05-02,1545
2015-05-03,1545
2015-05-04,1545
2015-05-05,1469
2015-05-06,1469
2015-05-07,1469
2015-05-08,1399
2015-05-09,1399
2015-05-10,1399
2015-05-11,1399
2015-05-12,1330
2015-05-13,1330
2015-05-14,1330
2015-05-15,1330
2015-05-16,1272
2015-05-17,1272
2015-05-18,1272
2015-05-19,1212
2015-05-20,1212
2015-05-21,1212
2015-05-22,1212
2015-05-23,1212
2015-05-24,1153
2015-05-25,1153
2015-05-26,1153
2015-05-27,1153
2015-05-28,1095
2015-05-29,1095
2015-05-30,1042
2015-05-31,1042
2015-06-01,1042
2015-06-02,1042
2015-06-03,990
2015-06-04,990
2015-06-05,990
2015-06-06,944
2015-06-07,944
2015-06-08,944
2015-06-09,944
2015-06-10,900
2015-06-11,900
2015-06-12,900
2015-06-13,900
2015-06-14,894
2015-06-15,894
2015-06-16,894
2015-06-17,894
2015-06-18,896
2015-06-19,896
2015-06-20,896
2015-06-21,896
2015-06-22,856
2015-06-23,856
2015-06-24,856
2015-06-25,856
2015-06-26,824
2015-06-27,824
2015-06-28,824
2015-06-29,824
2015-06-30,797
2015-07-01,797
2015-07-02,797
2015-07-03,797
2015-07-04,788
2015-07-05,788
2015-07-06,788
2015-07-07,788
2015-07-08,802
2015-07-09,802
2015-07-10,802
2015-07-11,802
2015-07-12,802
2015-07-13,793
2015-07-14,793
2015-07-15,793
2015-07-16,793
2015-07-17,793
2015-07-18,782
2015-07-19,782
2015-07-20,782
2015-07-21,782
2015-07-22,769
2015-07-23,769
2015-07-24,769
2015-07-25,769
2015-07-26,769
2015-07-27,784
2015-07-28,784
2015-07-29,784
2015-07-30,784
2015-07-31,783
2015-08-01,783
2015-08-02,783
2015-08-03,783
2015-08-04,778
2015-08-05,778
2015-08-06,778
2015-08-07,778
2015-08-08,788
2015-08-09,788
2015-08-10,788
2015-08-11,788
2015-08-12,788
2015-08-13,788
2015-08-14,788
2015-08-15,788
2015-08-16,791
2015-08-17,791
2015-08-18,791
2015-08-19,791
2015-08-20,806
2015-08-21,806
2015-08-22,806
2015-08-23,806
2015-08-24,811
2015-08-25,811
2015-08-26,811
2015-08-27,811
2015-08-28,822
2015-08-29,822
2015-08-30,822
2015-08-31,822
2015-09-01,817
2015-09-02,817
2015-09-03,817
2015-09-04,817
2015-09-05,817
2015-09-06,790
2015-09-07,790
2015-09-08,790
2015-09-09,790
2015-09-10,789
2015-09-11,789
2015-09-12,789
2015-09-13,789
2015-09-14,780
2015-09-15,780
2015-09-16,780
2015-09-17,793
2015-09-18,793
2015-09-19,793
2015-09-20,793
2015-09-21,793
2015-09-22,805
2015-09-23,805
2015-09-24,805
2015-09-25,805
2015-09-27,811
2015-09-28,811
2015-09-29,811
2015-09-30,811
2015-10-05,802
2015-10-06,802
2015-10-07,802
2015-10-08,802
2015-10-09,799
2015-10-10,799
2015-10-11,799
2015-10-12,799
2015-10-13,796
2015-10-14,796
2015-10-15,796
2015-10-16,796
2015-10-17,806
2015-10-18,806
2015-10-19,806
2015-10-20,806
2015-10-22,812
2015-10-23,812
2015-10-24,812
2015-10-25,825
2015-10-26,825
2015-10-27,825
2015-10-29,823
2015-10-30,823
2015-10-31,823
2015-11-01,823
2015-11-02,806
2015-11-03,806
2015-11-04,806
2015-11-05,806
2015-11-06,802
2015-11-07,802
2015-11-08,802
2015-11-09,812
2015-11-10,812
2015-11-11,812
2015-11-12,812
2015-11-13,813
2015-11-14,813
2015-11-15,813
2015-11-16,813
2015-11-17,824
2015-11-18,824
2015-11-19,824
2015-11-20,812
2015-11-21,812
2015-11-22,812
2015-11-23,812
2015-11-24,829
2015-11-25,829
2015-11-26,829
2015-11-27,829
2015-11-28,849
2015-11-29,849
2015-11-30,849
2015-12-01,849
2015-12-02,860
2015-12-03,860
2015-12-04,860
2015-12-05,860
2015-12-06,861
2015-12-07,861
2015-12-08,861
2015-12-09,861
2015-12-10,852
2015-12-11,852
2015-12-12,852
2015-12-13,852
2015-12-14,852
2015-12-15,853
2015-12-16,853
2015-12-17,853
2015-12-18,853
2015-12-19,851
2015-12-20,851
2015-12-21,851
2015-12-22,851
2015-12-23,836
2015-12-24,836
2015-12-25,836
2015-12-26,836
2015-12-27,838
2015-12-28,838
2015-12-29,838
2015-12-30,819
2015-12-31,819
2016-01-01,819
2016-01-02,819
2016-01-03,813
2016-01-04,813
2016-01-05,813
2016-01-06,813
