date_obj,Red%20partyhat price
2015-03-26,33255
2015-03-27,33255
2015-03-28,33915
2015-03-29,32780
2015-03-30,31549
2015-03-31,30173
2015-04-01,30173
2015-04-02,28664
2015-04-03,27234
2015-04-04,25872
2015-04-05,25872
2015-04-06,24578
2015-04-07,23349
2015-04-08,23349
2015-04-09,22181
2015-04-10,21071
2015-04-11,20382
2015-04-12,20783
2015-04-13,21030
2015-04-14,21030
2015-04-15,21479
2015-04-16,21479
2015-04-17,21698
2015-04-18,21769
2015-04-19,22200
2015-04-20,22200
2015-04-21,22779
2015-04-22,22779
2015-04-23,22773
2015-04-24,22773
2015-04-25,23168
2015-04-26,23168
2015-04-27,22566
2015-04-28,21891
2015-04-29,21891
2015-04-30,21723
2015-05-01,21993
2015-05-02,21993
2015-05-03,22813
2015-05-04,22813
2015-05-05,23951
2015-05-06,25046
2015-05-07,25046
2015-05-08,26282
2015-05-09,26282
2015-05-10,27461
2015-05-11,27461
2015-05-12,28374
2015-05-13,28374
2015-05-14,29548
2015-05-15,29548
2015-05-16,30836
2015-05-17,31271
2015-05-18,31271
2015-05-19,30422
2015-05-20,30422
2015-05-21,30422
2015-05-22,29382
2015-05-23,29382
2015-05-24,28211
2015-05-25,26885
2015-05-26,26885
2015-05-27,25883
2015-05-28,25883
2015-05-29,24732
2015-05-30,24200
2015-05-31,24200
2015-06-01,23832
2015-06-02,23832
2015-06-03,23340
2015-06-04,23340
2015-06-05,22975
2015-06-06,22734
2015-06-07,23046
2015-06-08,23046
2015-06-09,23343
2015-06-10,24145
2015-06-11,24145
2015-06-12,25336
2015-06-13,26584
2015-06-14,27865
2015-06-15,29147
2015-06-16,30605
2015-06-17,32034
2015-06-18,32826
2015-06-19,33869
2015-06-20,35428
2015-06-21,35428
2015-06-22,36641
2015-06-23,36641
2015-06-24,35626
2015-06-25,35626
2015-06-26,35190
2015-06-27,35190
2015-06-28,34072
2015-06-29,34072
2015-06-30,34411
2015-07-01,35454
2015-07-02,35454
2015-07-03,36310
2015-07-04,36310
2015-07-05,36373
2015-07-06,36373
2015-07-07,35026
2015-07-08,33521
2015-07-09,33521
2015-07-10,32362
2015-07-11,32362
2015-07-12,31274
